name,entity_type,coordinator,city,country
Adaptation Fund Board,Intergovernmental organizations,Mr. Mikko Antti Ollikainen,Washington DC,United States of America
African Centre of Meteorological Application for Development,Intergovernmental organizations,Ms. Safia Alfa,Niamey,Niger
African Development Bank Group,Intergovernmental organizations,Ms. Louise Helen Brown,Tunis,Tunisia
African Union Commission,Intergovernmental organizations,Mr. Harsen Nyambe Nyambe,Addis Ababa,Ethiopia
"African, Caribbean and Pacific Group of States",Intergovernmental organizations,Mr. Israel Olusola Ojo,Brussels,Belgium
Asian Development Bank,Intergovernmental organizations,Ms. Preety Malhotra Bhandari,Mandaluyong City,Philippines
Association of Southeast Asian Nations,Intergovernmental organizations,Mr. Vong Sok,Jakarta Selatan,Indonesia
Autorité de développement intégré de la région du Liptako-Gourma,Intergovernmental organizations,M. Donseg Salvador Aristide Somda,Ouagadougou 1,Burkina Faso
Banque Ouest Africaine de Developpement,Intergovernmental organizations,M. Bio Dabo Yacoubou Bio Sawe,Lome,Togo
CAB International,Intergovernmental organizations,Mr. Jonathan Casey,Oxon,United Kingdom of Great Britain and Northern Ireland
Caribbean Community Climate Change Centre,Intergovernmental organizations,Ms. Ethlyn Valladares,Belmopan,Belize
Caribbean Community Secretariat,Intergovernmental organizations,Ms. Patricia Ann Nelson,Georgetown,Guyana
Center for International Forestry Research,Intergovernmental organizations,Ms. Amy Duchelle,Bogor,Indonesia
Comité permanent inter-états de lutte contre la sécheresse au Sahel,Intergovernmental organizations,Mr. Philippe Zoungrana,Ouagadougou 03,Burkina Faso
Commission de l'ocean Indien,Intergovernmental organizations,Ms. Gina Bonne,Quatre Bornes,Mauritius
Commonwealth Secretariat,Intergovernmental organizations,Mr. Unnikrishnan Divakaran Nair,London,United Kingdom of Great Britain and Northern Ireland
Consortium of International Agricultural Research Centers,Intergovernmental organizations,,,
Convention on Wetlands of International Importance especially as Waterfowl Habitat,Intergovernmental organizations,Ms. Delphine Bremond,Gland,Switzerland
Corporación Andina de Fomento,Intergovernmental organizations,Mr. Ubaldo Elizondo,Caracas,Venezuela (Bolivarian Republic of)
Council of Europe,Intergovernmental organizations,Ms. Marité Moras Rodriguez,Strasbourg,France
East African Community,Intergovernmental organizations,Mr. Ladislaus Leonidas Kyaruzi,Arusha,United Republic of Tanzania
Economic Community of West African States,Intergovernmental organizations,Mr. Johnson Boanuh,Abuja,Nigeria
ECOWAS Regional Centre for Renewable Energy and Energy Efficiency,Intergovernmental organizations,Ms. Adeola Adebiyi,Praia,Cabo Verde
European Bank for Reconstruction and Development,Intergovernmental organizations,Ms. Beatriz De Lorenzi,London,United Kingdom of Great Britain and Northern Ireland
European Forest Institute,Intergovernmental organizations,Mr. Jerker Brolén,Joensuu,Finland
European Investment Bank,Intergovernmental organizations,Mr. Ambroise Fayolle,Luxembourg,Luxembourg
European Patent Office,Intergovernmental organizations,Mr. Gerard Owens,Munich,Germany
European Space Agency,Intergovernmental organizations,Mr. Frank Martin Seifert,Paris,France
Global Green Growth Institute,Intergovernmental organizations,Mr. Yoon Suk Choi,Seoul,Republic of Korea
Global Water Partnership Organisation,Intergovernmental organizations,Mr. Steven Downey,Stockholm,Sweden
Institut International du Froid,Intergovernmental organizations,Mr. Didier Coulomb,Paris,France
Instituto Interamericano de Cooperación para la Agricultura,Intergovernmental organizations,Mr. Federico Villarreal,San Isidro,Costa Rica
Inter-American Development Bank,Intergovernmental organizations,Mr. Graham George Watkins,Washington,United States of America
Inter-American Institute for Global Change Research,Intergovernmental organizations,Ms. Ione Anderson,Sao Jose dos Campos,Brazil
Inter-Parliamentary Union,Intergovernmental organizations,Ms. Aleksandra Blagojevic,Geneva,Switzerland
International Centre for Integrated Mountain Development,Intergovernmental organizations,Mr. Udayan Mishra,Kathmandu,Nepal
International Centre for Research in Agroforestry,Intergovernmental organizations,Mr. Peter Minang,Nairobi,Kenya
International Coffee Organization,Intergovernmental organizations,Mr. Christoph Saenger,London,United Kingdom of Great Britain and Northern Ireland
International Energy Agency,Intergovernmental organizations,Ms. Jinsun Lim,Paris,France
International Federation of Red Cross and Red Crescent Societies,Intergovernmental organizations,Ms. Elaine Roxas Angeles,Geneva,Switzerland
International Network for Bamboo and Rattan,Intergovernmental organizations,Mr. Borja De La Peña Escardó,Beijing,China
International Organization for Migration,Intergovernmental organizations,,,
International Potato Center,Intergovernmental organizations,Mr. Oscar Ortiz,Lima,Peru
International Renewable Energy Agency,Intergovernmental organizations,Ms. Elizabeth Press,Abu Dhabi,United Arab Emirates
Islamic Development Bank,Intergovernmental organizations,Mr. Olatunji Yusuf,Jeddah,Saudi Arabia
IUCN - International Union for Conservation of Nature,Intergovernmental organizations,,,
