name,entity_type,TotalMembers,MaleMembers,FemaleMembers,coordinator,city,country
Adaptation Fund Board,Intergovernmental organizations,11,4,7,Mr. Mikko Antti Ollikainen,Washington DC,United States of America
African Centre of Meteorological Application for Development,Intergovernmental organizations,14,10,4,Ms. Safia Alfa,Niamey,Niger
African Development Bank Group,Intergovernmental organizations,16,8,8,Ms. Louise Helen Brown,Tunis,Tunisia
African Union Commission,Intergovernmental organizations,32,18,14,Mr. Harsen Nyambe Nyambe,Addis Ababa,Ethiopia
"African, Caribbean and Pacific Group of States",Intergovernmental organizations,4,2,2,Mr. Israel Olusola Ojo,Brussels,Belgium
Asian Development Bank,Intergovernmental organizations,10,7,3,Ms. Preety Malhotra Bhandari,Mandaluyong City,Philippines
Autorité de développement intégré de la région du Liptako-Gourma,Intergovernmental organizations,12,10,2,M. Donseg Salvador Aristide Somda,Ouagadougou 1,Burkina Faso
Banco Centroamericano de Integración Económica,Intergovernmental organizations,1,1,0,Mr. Randall Joseph Hooker Urroz,Tegucigalpa,Honduras
CAB International,Intergovernmental organizations,1,0,1,Mr. Jonathan Casey,Oxon,United Kingdom of Great Britain and Northern Ireland
Caribbean Community Climate Change Centre,Intergovernmental organizations,9,4,5,Ms. Ethlyn Valladares,Belmopan,Belize
Caribbean Community Secretariat,Intergovernmental organizations,2,1,1,Ms. Patricia Ann Nelson,Georgetown,Guyana
Center for International Forestry Research,Intergovernmental organizations,16,6,10,Ms. Amy Duchelle,Bogor,Indonesia
CGIAR System Organization,Intergovernmental organizations,10,6,4,Mr. André Zandstra,Montpellier,France
Comisión Centroamericana de Ambiente y Desarrollo,Intergovernmental organizations,5,4,1,Sr. Salvador Ernesto Nieto Cárcamo,Antiguo Cuscatlán,El Salvador
Comité permanent inter-états de lutte contre la sécheresse au Sahel,Intergovernmental organizations,6,6,0,Mr. Philippe Zoungrana,Ouagadougou 03,Burkina Faso
Commonwealth Secretariat,Intergovernmental organizations,11,5,6,Mr. Unnikrishnan Divakaran Nair,London,United Kingdom of Great Britain and Northern Ireland
Convention on Wetlands of International Importance especially as Waterfowl Habitat,Intergovernmental organizations,2,2,0,Ms. Delphine Bremond,Gland,Switzerland
