Official Name,City,Country,Phone,Fax,Email,Coordinator
Adaptation Fund Board (AFB),Washington DC,United States of America,+1 202 458 7347,+1 202 522 3240,afbsec@adaptation-fund.org,Mr. Mikko Antti Ollikainen
African Centre of Meteorological Application for Development (ACMAD),Niamey,Niger,(227-20) 72-3627,(227-20) 72-3627,dgacmad@acmad.org,Ms. Safia Alfa
African Development Bank Group (AfDB),Tunis,Tunisia,(216) 7110-3900,(216) 7133-5929,afdb@afdb.org,Ms. Louise Helen Brown
African Regional Centre for Technology (ARCT),Dakar,Senegal,(221)23-7712,(221)23-7713,arct@sonatel.senet.net,Mr. Ousmane Kane
African Union Commission (AUC),Addis Ababa,Ethiopia,(251-115) 51-7700,(251-115) 51-7844,NyambeH@africa-union.org,Mr. Harsen Nyambe Nyambe
"African, Caribbean and Pacific Group of States (ACP Group)",Brussels,Belgium,(32-2) 743-0600,,info@acp.int,Mr. Israel Olusola Ojo
Amazon Cooperation Treaty Organization (ACTO),Brasilia,Brazil,(55-61) 3248-4119,(55-61) 3248-4238,secretaria.permanente@otca.org.br,Mr. Carlos Alfredo Lazary Teixeira
Asian Development Bank (ADB),Mandaluyong City,Philippines,(63-2) 632-4444,(63-2) 636-2444,information@adb.org,Ms. Preety Malhotra Bhandari
Asian Productivity Organization (APO),Tokyo,Japan,(81-3)3830 0415,(81-3)3830 5324,rp@apo-tokyo.org,Mr. Yasuko Asano
Asian-African Legal Consultative Organization (AALCO)H.E. ,New Delhi,India,(91-11) 2611-7641 / 2419-7000,(91-11) 2611-7640,mail@aalco.int,Mr. Roy Lee
Association of Southeast Asian Nations (ASEAN),Jakarta Selatan,Indonesia,(62-21)726-2991/724-3372,(62-21)724-3502/739-8234,environment@asean.org,Mr. Vong Sok
Autorité de développement intégré de la région du Liptako-Gourma (ALG),Ouagadougou 1,Burkina Faso,(226) 2530-6148/49,(226) 2530-8588,dg@liptakogourma.org,M. Donseg Salvador Aristide Somda
Banco Centroamericano de Integración Económica (BCIE),Tegucigalpa,Honduras,(504) 22402264,,hookerr@bcie.org,Mr. Randall Joseph Hooker Urroz
Banque Ouest Africaine de Developpement (BOAD),Lome,Togo,(228) 2223 2692,,itraore@boad.org,M. Bio Dabo Yacoubou Bio Sawe
Black Sea Trade and Development Bank (BSTDB),Thessaloniki,Greece,(30) 2310290400,,info@bstdb.org,Mr. Mircea Cojocaru
CAB International (CABI),Oxon,United Kingdom of Great Britain and Northern Ireland,(44-149)183-2111,(44-149)183-3508,enquiries@cabi.org,Mr. Jonathan Casey
Caribbean Community Climate Change Centre (CCCCC),Belmopan,Belize,(501) 822-1104 / 1094,(501) 822-1365,evalladares@caribbeanclimate.bz,Ms. Ethlyn Valladares
Caribbean Community Secretariat (CARICOM),Georgetown,Guyana,(592)2-2200-01 to 75,(592)222-0171,registry@caricom.org,Ms. Patricia Ann Nelson
Caribbean Development Bank (CDB),St. Michael,Barbados,(1-246)431-1600,(1-246)426-7269,info@caribank.org,Ms. Cheryl Dixon
Caribbean Meteorological Organization (CMO),Port of Spain,Trinidad and Tobago,(1-868)622-4711,(1-868)622-0277,cmohq@cmo.org.tt,Ms. Arlene Laing
Center for International Forestry Research (CIFOR),Bogor,Indonesia,(62-251) 862-2622,(62-251) 862-2100,cifor@cgiar.org,Ms. Amy Duchelle
Centre for Environment & Development for Arab Region & Europe (CEDARE),Cairo,Egypt,+2 02 2451 3921/2/3/4,(20-2)2451 3918,mail@cedare.int,Ms. Mayar Sabet
Centro de coordinación para la Prevención de los Desastres Naturales en America Central (CEPREDENAC),Ciudad de Guatemala,Guatemala,502-2390-0221,,jvasquez@sica.int,Mr. Juan Vasquez
Centro del Agua del Trópico Húmedo para América Latina y el Caribe (CATHALAC),Ciudad de Panama,Panama,(507)317-3200,(507)317-3299,cathalac@cathalac.org,Ms. Roxana Segundo
CGIAR System Organization,Montpellier,France,+33467047575,,contact@cgiar.org,Mr. André Zandstra
Comisión Centroamericana de Ambiente y Desarrollo (CCAD),Antiguo Cuscatlán,El Salvador,(503) 2248-8800,(503) 2248-8894,snieto@sica.int,Sr. Salvador Ernesto Nieto Cárcamo
Comité permanent inter-états de lutte contre la sécheresse au Sahel (CILSS),Ouagadougou 03,Burkina Faso,(226) 25 499600 / (226) 25 374125/26,(226) 2537-4132,administration.se@cilss.int,Mr. Philippe Zoungrana
Commission de l'ocean Indien (COI),Quatre Bornes,Mauritius,(230) 425-9564,(230) 425-2487,secretariat@coi-ioc.org,Ms. Gina Bonne
Commission des Forêts d'Afrique Centrale (COMIFAC),Yaounde,Cameroon,(237-22) 21-3511,(237-22) 21-3512,comifac@comifac.org,M. Chouaibou Nchoutpouen
Commission for Environmental Cooperation (CEC),Montreal,Canada,(1-514)350-4300,(1-514)350-4314,ndaoust@cec.org,Ms. Nathalie Daoust
Common Market for Eastern and Southern Africa (COMESA),Lusaka,Zambia,(260-211) 22-9725 / 32,(260-211) 22-5107,secgen@comesa.int,Mr. Mclay Lynden Kanyangarara
Commonwealth Foundation,London,United Kingdom of Great Britain and Northern Ireland,(44-20) 7747-6506,(44-20) 7839-8157,t.andrews@commonwealth.int,Ms. Anne Therese Gallagher
Commonwealth Secretariat (COMSEC),London,United Kingdom of Great Britain and Northern Ireland,+44 75 87 63 45 92 / +44 20 7747-6500,+44-20 7004 3745,u.nair@commonwealth.int,Mr. Unnikrishnan Divakaran Nair
Communauté éconmomique et monétaire de l'Afrique centrale (CEMAC),Bangui,Central African Republic,(236)61-2135,(236)61-2135,sgudeac@intnet.cf,M. Pierre Randah
Congress of Local and Regional Authorities of the Council of Europe (The Congress),Strasbourg,France,(33-3) 8841-2010,(33-3) 8841-3747,congress.com@coe.int,Ms. Marité Moras Rodriguez
Convention on Wetlands of International Importance especially as Waterfowl Habitat (Ramsar Convention),Gland,Switzerland,(41-22) 999-0179,(41-22) 999-0169,ramsar@ramsar.org,Ms. Delphine Bremond
Cooperation Council for The Arab States of the Gulf (GCC),Riyadh,Saudi Arabia,(966-1)482-7777,(966-1)482-9089,abastaki@gccsg.org,Mr. Adel Bastaki
Corporación Andina de Fomento (CAF),Caracas,Venezuela (Bolivarian Republic of),(58-212)209-2111,(58-212)209-2437,uelizondo@caf.com,Mr. Ubaldo Elizondo
Council of Europe (COE),Strasbourg,France,(33-3) 8841-2000,(33-3) 8841-2717,assembly@coe.int,Ms. Aiste Ramanauskaite
Council of Europe Development Bank (CEB),Paris,France,+33(0)147555500,+33(0)147550338,info@coebank.org,Ms. Isabelle Marie Madeleine Brun
East African Community (EAC),Arusha,United Republic of Tanzania,+255 27 250 4253/8,+255 27 250 4255,eac@eachq.org,Mr. Ladislaus Leonidas Kyaruzi
Economic Community of Central African States (CEEAC),Libreville,Gabon,+24101444731,+24101444732,secretariat@ceeac-eccas.org,Mr. Dominique Kuitsouc
Economic Community of West African States (ECOWAS),Abuja,Nigeria,"(+234 9) 314 7647-9, 314 7427-9","(+234 9) 314 7646, 314 3005",info@ecowas.int,Mr. Johnson Boanuh
Economic Cooperation Organization (ECO),Tehran,Iran (Islamic Republic of),+98 21 2283 1733,+98 21 2283 1732,registry@ecosecretariat.org,Mr. Abolfazl Azizipanah
ECOWAS Regional Centre for Renewable Energy and Energy Efficiency (ECREEE),Praia,Cabo Verde,(238) 260-4630,(238) 262-4614,info@ecreee.org,Ms. Adeola Adebiyi
Energy Charter Conference (ECS),Brussels,Belgium,(32-2) 775-9800,(32-2) 775-9801,ee@encharter.org,Ms. Sarah Keay-Bright
Energy Community,Vienna,Austria,+431535222211,,sustainability@energy-community.org,Ms. Irina Lazzerini
EUROFISH International Organisation (EUROFISH),Copenhagen,Denmark,(45) 3337-7755,(45) 3337-7756,gilles.vandewalle@eurofish.dk,Mr. Gilles van de Walle
European Bank for Reconstruction and Development (EBRD),London,United Kingdom of Great Britain and Northern Ireland,(44-20) 7338-6000,(44-20) 7338-6100,tanakaj@ebrd.com,Ms. Beatriz De Lorenzi
European Forest Institute (EFI),Joensuu,Finland,(358-10) 773-4300,,efisec@efi.int,Mr. Jerker Brolén
European Free Trade Association,Geneva 20,Switzerland,(41-22)749-1111,(41-22)733-9291,efta-mailbox@secrbru.efta.be,Mr. Glúmur Baldvinsson
European Investment Bank (EIB),Luxembourg,Luxembourg,(35-2) 4-3791,(35-2) 43-7904,info@eib.org,Mr. Ambroise Fayolle
European Patent Office (EPO),Munich,Germany,(49-89) 2-3990,(49-89) 2399-4560,gowens@epo.org,Mr. Gerard Owens
European Space Agency (ESA),Paris,France,(33-1) 5369-7654,(33-1) 5369-7560,contactesa@esa.int,Mr. Frank Martin Seifert
European University Institute (EUI),"San Domenico di Fiesole, Florence",Italy,(39-055)4-6815,(39-055)468-5444,roberto.nocentini@iue.it,Mr. Albert Ugo Alex Ferrari
Facultad Latinoamericana de Ciencias Sociales (FLACSO),Buenos Aires,Argentina,+541152389300,+ 541143751373,cambioclimatico@flacso.org.ar,Sra. Soledad Aguilar
Fondo para el Desarrollo de los Pueblos Indígenas de América Latina y el Caribe (FILAC),La Paz,Bolivia (Plurinational State of),+591 22423233,,filac@filac.org,Sra. Amparo Morales Bacherer
Gas Exporting Countries Forum (GECF),Doha,Qatar,+974 4404 8400/09,+974 4404 8415/16,sg.office@gecf.org,Ms. Ulunma Angela Agoawike
Global Biodiversity Information Facility (GBIF),Copenhagen,Denmark,(45-35) 32-1470,(45-35) 32-1480,gbif@gbif.org,Ms. Susanne Lønstrup Sheldon
Global Development Network (GDN),New Delhi,India,+91 11 4323 9494,,fobino@gdn.int,Mr. Francesco Obino
Global Green Growth Institute (GGGI),Seoul,Republic of Korea,(82-2)2096-9991,(82-2)2096-9990,info@gggi.org,Mr. Yoon Suk Choi
Global Water Partnership Organisation (GWPO),Stockholm,Sweden,(46-8) 1213-8600,,gwp@gwp.org,Mr. Steven Downey
Greater Virunga Transboundary Collaboration (GVTC),Kigali,Rwanda,+250252580429,,info@greatervirunga.org,Mr. Juvénal Mukeshimana
Gulf Organization for Industrial Consulting (GOIC),Doha,Qatar,+974 4485 8888,+974 4483 1465,goic@goic.org.qa,Mr. Nawaf Shahata Al Sharif
Helsinki Commission (HELCOM),Helsinki,Finland,(358-20) 741-2649,(358 -20) 741-2639,info@helcom.fi,Mr. Dominik Littfass
IGAD Climate Prediction and Applications Centre (IGAD-ICPAC),Nairobi,Kenya,254 (0)20 3514456,,director@icpac.net,Mr. Artan Guleid
Independent World Commission on the Oceans,Geneva,Switzerland,(41-22)710-0711,(41-22)710-0722,,
Institut International du Froid (IIF),Paris,France,(33-1) 4227-3235,(33-1) 4763-1798,iif-iir@iifiir.org,Mr. Didier Coulomb
Instituto Interamericano de Cooperación para la Agricultura (IICA),San Isidro,Costa Rica,(506) 2216 0222,(506) 2216 0233,iicahq@iica.cr,Mr. Federico Villarreal
Integrated Carbon Observation System European Research Infrastructure Consortium (ICOS ERIC),Helsinki,Finland,+358 50 448 4598,,info@icos-ri.eu,Mr. Emmanuel Salmon
Inter-American Development Bank (IDB),Washington,United States of America,(1-202) 623-1000,(1-202) 623-3096,gwatkins@iadb.org,Mr. Graham George Watkins
Inter-American Institute for Global Change Research (IAI),Sao Jose dos Campos,Brazil,(55-12) 3945-6869 / 71,(55-12) 3941-4410,ianderson@dir.iai.int,Ms. Ione Anderson
Inter-Parliamentary Union (IPU),Geneva,Switzerland,(41-22) 919-4150,(41-22) 919-4160,postbox@.ipu.org,Ms. Aleksandra Blagojevic
International Association of Economic and Social Councils and Similar Institutions (AICESIS),Brussels,Belgium,(32-2) 230 2878,,aicesis@aicesis.org,Ms. Samira Azarba
International Center for Agricultural Research in the Dry Areas (ICARDA),Beirut,Lebanon,9611843472/813303,9611804071/01-843473,V.Nangia@cgiar.org,Mr. Vinay Nangia
International Centre for Integrated Mountain Development (ICIMOD),Kathmandu,Nepal,(977-1)527 5222,(977-1)527 5238,Pema.Gyamtsho@icimod.org,Mr. Udayan Mishra
International Centre for Research in Agroforestry (ICRAF),Nairobi,Kenya,(254-20) 722-4000,(254-20) 722-4001,a.minang@cgiar.org,Mr. Peter Minang
International Cocoa Organization (ICCO),Abidjan,Côte d'Ivoire,(+225) 22 51 49 50/51,(+225) 22 51 49 79,registration.icco@icco.org,Mr. Michele Nardella
International Coffee Organization (ICO),London,United Kingdom of Great Britain and Northern Ireland,+41(0)2076120604,+44 (0)20 7612 0630,info@ico.org,Mr. Christoph Saenger
International Development Law Organization (IDLO),Rome,Italy,(39-06) 4040-3200,(39-06) 4040-3232,dgoffice@idlo.int,Ms. Ilaria Bottigliero
International Energy Agency (IEA),Paris,France,(33-1) 4057-6500,(33-1) 4057-6509 / 19,info@iea.org,Ms. Jinsun Lim
International Federation of Red Cross and Red Crescent Societies (IFRC),Geneva,Switzerland,(41-22) 730-4222,(41-22) 733-0395,secretariat@ifrc.org,Ms. Elaine Roxas Angeles
International Livestock Research Institute (ILRI),Nairobi,Kenya,(254-20) 422-3000,(254-20) 422-3001,ILRI-Kenya@cgiar.org,Ms. Polly Ericksen
International Network for Bamboo and Rattan (INBAR),Beijing,China,(86-10) 6470-6180,(86-10) 6470-2166,info@inbar.int,Mr. Borja De La Peña Escardó
International Potato Center (CIP),Lima,Peru,(51 1) 349 6017,(51 1) 317 5326,cip@cgiar.org,Mr. Oscar Ortiz
International Renewable Energy Agency (IRENA),Abu Dhabi,United Arab Emirates,(971-2) 417-9000,(971-2) 658-1726,info@irena.org,Ms. Elizabeth Press
International Rice Research Institute (IRRI),"Los Baños, Laguna, Philippines",Philippines,+63 2 580 5600,+63 2 580 5699,info@irri.org,Ms. Kris Jovet Garcia
International Solar Alliance (ISA),"Gurugram, Haryana",India,+91 124 2853090,,info@isolaralliance.org,Ms. Cécile Martin-Phipps
"International Transport Forum, Organisation for Economic Co-operation and Development (ITF)",Paris,France,(33-1) 4524-9710,(33-1) 4524-9742 / 1322,contact@itf-oecd.org,Ms. Wei-shiuen Ng
International Tropical Timber Organization (ITTO),Yokohama,Japan,(81-45) 223-1110,(81-45) 223-1111,itto@itto.int,Mr. Steven Johnson
International Union for Conservation of Nature (IUCN),Gland,Switzerland,(41-22) 999-0000,(41-22) 999-0002,sandeep.sengupta@iucn.org,Mr. Sandeep Sengupta
International Water Management Institute (IWMI),Battarmulla,Sri Lanka,(94-11) 288-0000,(94-11) 278-6854,iwmi@cgiar.org,Ms. Rachael Andrea McDonnell
Islamic Development Bank (IsDB),Jeddah,Saudi Arabia,(966-12)636-1400,(966-12)636-6871,info@isdb.org,Mr. Olatunji Yusuf
ITER International Fusion Energy Organization (ITER Organization),Saint Paul les Durance,France,(33) -442176615,,sabina.griffith@iter.org,Ms. Sabina Griffith
League of Arab States (LAS),Cairo,Egypt,(20-2) 575-0511 / 2966,(20-2) 574-0331 / 576-1017 / 577-5946,llas@pop.thewayout.net,Ms. Fatma El-Mallah
