name,entity_type,constituency,coordinator,city,country,remarks
2° Investing Initiative,Non-governmental organizations,Constituency - Research and independent,Mr. Thibaut Ghirardi,Paris,France,completed manually from UNFCCC website
A SEED Europe,Non-governmental organizations,Constituency - Environmental,Mr. Flip Vonk,Amsterdam,Netherlands,
Aarhus University,Non-governmental organizations,Constituency - Research and independent,Mr. Knud Warming,Aarhus C,Denmark,
Abibimman Foundation,Non-governmental organizations,Constituency - Environmental CAN,Mr. Kenneth Nana Amoateng,Tena,Ghana,
Academy for Mountain Environics,Non-governmental organizations,Constituency - Environmental,Mr. Sreedhar Ramamurthi,New Delhi,India,
ACT Alliance - Action by Churches Together,Non-governmental organizations,Constituency - Environmental CAN,Mr. Thorsten Göbel,Geneva,Switzerland,
Action Against Hunger,Non-governmental organizations,Constituency - Environmental,Mme Peggy Pascal,Paris,France,
Action pour la taxation des transactions pour l'aide aux citoyens,Non-governmental organizations,Constituency - Research and independent,Ms. Jeanne Planche,Paris,France,
Action Solidarité Tiers-Monde a.s.b.l.,Non-governmental organizations,Constituency - ENGO,M. Dietmar Mirkes,Luxembourg,Luxembourg,
ActionAid International,Non-governmental organizations,Constituency - Environmental CAN,Ms. Teresa Maria Isabel Anderson,Johannesburg,South Africa,
Adelphi Research,Non-governmental organizations,Constituency - Research and independent,Mr. Dennis Taenzler,Berlin,Germany,
Africa Youths International Development Foundation,Non-governmental organizations,Constituency - Youth,Mr. Tunji John Asaolu,Abuja,Nigeria,
African Climate Change Research Centre,Non-governmental organizations,Constituency - Research and independent,Mr. Nura Jibo,Dutse,Nigeria,
African Forest Forum,Non-governmental organizations,Constituency - Environmental,Mr. Godwin Kowero,Nairobi,Kenya,
African Wildlife Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Charly Facheux,Nairobi,Kenya,
Agence régionale de l'environnement et des nouvelles energies d'Ile-de-France,Non-governmental organizations,Constituency - Environmental,Ms. Tiphaine Durand,Pantin,France,
Agriconsulting S.p.A.,Non-governmental organizations,Constituency - Business and Industry,Mr. Giorgio Andreoli,Rome,Italy,
