,City,Count
0,Paris,5
1,Helsinki,3
2,Vienna,2
3,London,2
4,Tunis,2
5,Brussels,2
6,Geneva,2
7,Nairobi,2
8,Gland,2
9,Riyadh,1
10,St. Julians,1
11,Libreville,1
12,St. Michael,1
13,Beijing,1
14,Innsbruck,1
15,Mandaluyong City,1
16,Saint Paul les Durance,1
17,Abu Dhabi,1
18,Caracas,1
19,Brasilia,1
20,Barcelona,1
21,Cairo,1
22,Strasbourg,1
23,Rabat,1
24,The Hague,1
25,Joensuu,1
26,Wageningen,1
27,Arusha,1
28,Quebec,1
29,Suva,1
30,Ciudad de Panama,1
31,Addis Ababa,1
32,Jeddah 21583,1
33,Luxembourg,1
34,Sao Jose dos Campos,1
35,Abuja,1
36,Seoul,1
37,Georgetown,1
38,Washington,1
39,Munich,1
40,Lima,1
41,Battarmulla,1
42,Bogor,1
43,Praia,1
44,Jeddah,1
45,Ciudad Colón,1
46,Montpellier,1
47,Washington DC,1
48,Colombo 06,1
49,Ouagadougou 03,1
50,Yokohama,1
51,"San Domenico di Fiesole, Florence",1
52,Kuwait,1
53,Thessaloniki,1
54,Ouagadougou 01,1
55,Noumea,1
56,Kathmandu,1
57,Belmopan,1
58,Oxon,1
59,Copenhagen,1
60,Niamey,1
