Constituency,Count
Constituency - Research and independent,277
Constituency - Environmental,251
Constituency - Environmental CAN,107
Constituency - Business and Industry,106
Constituency - Youth,39
Constituency - ENGO,38
not yet affiliated/no data,30
Constituency - Indigenous peoples,29
Constituency - Local government and Municipal authorities,20
Constituency - Women and Gender,19
Constituency - Environmental CJN,11
Constituency - Business and Industry2,10
Constituency - Farmers,9
Constituency - Trade Unions,7
