name,entity_type,constituency,coordinator,city,country
2050 Climate Group,Non-governmental organizations,Constituency - Youth,Ms. Sophie Eastwood,Edinburgh,United Kingdom of Great Britain and Northern Ireland
2° investing initiative,Non-governmental organizations,Constituency - Research and independent,Mr. Thibaut Ghirardi,Paris,France
350 the Climate Movement in Denmark,Non-governmental organizations,Constituency - Youth,Ms. Esther Michelsen Kjeldahl,Copenhagen,Denmark
350.org,Non-governmental organizations,Constituency - Environmental CJN,Ms. Cansin Leylim Ilgaz,Brooklyn,United States of America
A Rocha International,Non-governmental organizations,Constituency - Environmental,Mr. Samuel Chiu,London,United Kingdom of Great Britain and Northern Ireland
A Sud Ecology and Cooperation - Onlus,Non-governmental organizations,Constituency - Environmental,Ms. Lucie Greyl,Rome,Italy
A Well-Fed World,Non-governmental organizations,Constituency - Environmental,Ms. Dawn Moncrief,"Washington, DC",United States of America
Abdullah Bin Hamad Al-Attiyah International Foundation for Energy and Sustainable Development,Non-governmental organizations,Constituency - Research and independent,Mr. John Kilani,Doha,Qatar
Abertay University,Non-governmental organizations,Constituency - Research and independent,Ms. Rebecca Wade,Dundee,United Kingdom of Great Britain and Northern Ireland
Abibimman Foundation,Non-governmental organizations,Constituency - Environmental CAN,Mr. Kenneth Nana Amoateng,Tena,Ghana
Academy of Science of South Africa,Non-governmental organizations,Constituency - Research and independent,Ms. Susan Veldsman,Pretoria,South Africa
ACT Alliance - Action by Churches Together,Non-governmental organizations,Constituency - Environmental CAN,Mr. Thorsten Göbel,Geneva,Switzerland
Action des Chrétiens Activistes des Droits de l’Homme à Shabunda,Non-governmental organizations,,,,
"Action Group on Erosion, Technology and Concentration (ETC Group)",Non-governmental organizations,Constituency - Environmental,Mr. Thomas John Wakeford,Val David,Canada
Action pour la taxation des transactions pour l’aide aux citoyens,Non-governmental organizations,,,,
Action pour le Respect et la Protection de l’Environnement,Non-governmental organizations,,,,
Action Solidarité Tiers-Monde a.s.b.l.,Non-governmental organizations,,,,
ActionAid International - South Africa,Non-governmental organizations,Constituency - Environmental CAN,Ms. Teresa Maria Isabel Anderson,Johannesburg,South Africa
Adelphi Research,Non-governmental organizations,Constituency - Research and independent,Mr. Dennis Taenzler,Berlin,Germany
Advocates for International Development,Non-governmental organizations,Constituency - Business and Industry,Ms. Yasmin Batliwala,London,United Kingdom of Great Britain and Northern Ireland
Africa Centre for Citizens Orientation,Non-governmental organizations,Constituency - Environmental,Mr. Peter Olugbenga Adeleye,Kurudu,Nigeria
Africa Youths International Development Foundation,Non-governmental organizations,Constituency - Youth,Mr. Tunji John Asaolu,Abuja,Nigeria
African Centre for Climate Actions and Rural Development Initiative,Non-governmental organizations,Constituency - Environmental,Sr. Prof.Augustine Arukwe,Effurun-Delta State,Nigeria
African Climate Change Research Centre,Non-governmental organizations,Constituency - Research and independent,Mr. Nura Jibo,Dutse,Nigeria
African Forest Forum,Non-governmental organizations,Constituency - Environmental,Mr. Godwin Kowero,Nairobi,Kenya
African Network of Young Leaders for Peace and Sustainable Development,Non-governmental organizations,Constituency - Environmental,Mr. Ismail Joel Eboa Eyoum,Yaoundé,Cameroon
African Smart Cities Innovation Foundation,Non-governmental organizations,Constituency - Local government and Municipal authorities,Mr. David Olatunji,Utako,Nigeria
African Wildlife,Non-governmental organizations,Constituency - Environmental,Mr. Charly Facheux,Nairobi,Kenya
Agriconsulting S.p.A.,Non-governmental organizations,Constituency - Business and Industry,Mr. Giorgio Andreoli,Rome,Italy
Agricord vzw,Non-governmental organizations,Constituency - Farmers,Ms. Gabriela Quiroga Gilardoni,Brussels,Belgium
AgroParisTech,Non-governmental organizations,Constituency - Research and independent,Mme Bluteau Hélène,Paris,France
Air and Waste Management Association,Non-governmental organizations,Constituency - Environmental,Ms. Stephanie Glyptis,Pittsburgh,United States of America
Airlines for America,Non-governmental organizations,Constituency - Business and Industry,Ms. Nancy Young,Washington,United States of America
AJEMALEBU Self Help,Non-governmental organizations,Constituency - Environmental,Mr. Harrison Ajebe Nnoko Ngaaje,Kumba,Cameroon
Akatu Institute,Non-governmental organizations,Constituency - Environmental,Mr. Helio Mattar,São Paulo,Brazil
Alana,Non-governmental organizations,Constituency - Environmental,Mr. JP Amaral,São Paulo,Brazil
