name,entity_type
Albania,Parties
Algeria,Parties
Andorra,Parties
Angola,Parties
Antigua and Barbuda,Parties
Argentina,Parties
Armenia,Parties
Australia,Parties
Austria,Parties
Azerbaijan,Parties
Bahamas,Parties
Bahrain,Parties
Bangladesh,Parties
Barbados,Parties
Belarus,Parties
Belgium,Parties
Belize,Parties
Benin,Parties
Bhutan,Parties
Bolivia (Plurinational State of),Parties
Bosnia and Herzegovina,Parties
Botswana,Parties
Brazil,Parties
Brunei Darussalam,Parties
Bulgaria,Parties
Burkina Faso,Parties
Burundi,Parties
Cabo Verde,Parties
Cambodia,Parties
Cameroon,Parties
Canada,Parties
Central African Republic,Parties
Chad,Parties
Chile,Parties
China,Parties
Colombia,Parties
Comoros,Parties
Congo,Parties
Cook Islands,Parties
Costa Rica,Parties
Côte d’Ivoire,Parties
Croatia,Parties
Cuba,Parties
Cyprus,Parties
Czechia,Parties
Democratic People ’s Republic of Korea,Parties
Democratic Republic of the Congo,Parties
Denmark,Parties
Djibouti,Parties
Dominica,Parties
Dominican Republic,Parties
Ecuador,Parties
Egypt,Parties
El Salvador,Parties
Equatorial Guinea,Parties
Eritrea,Parties
Estonia,Parties
Eswatini,Parties
Ethiopia,Parties
European Union,Parties
Fiji,Parties
Finland,Parties
France,Parties
Gabon,Parties
Gambia,Parties
Georgia,Parties
Germany,Parties
Ghana,Parties
Greece,Parties
Grenada,Parties
Guatemala,Parties
Guinea,Parties
Guinea-Bissau,Parties
Guyana,Parties
Haiti,Parties
Honduras,Parties
Hungary,Parties
Iceland,Parties
India,Parties
Indonesia,Parties
Iran (Islamic Republic of),Parties
Iraq,Parties
Ireland,Parties
Israel,Parties
Italy,Parties
Jamaica,Parties
Japan,Parties
Jordan,Parties
Kazakhstan,Parties
Kenya,Parties
Kuwait,Parties
Kyrgyzstan,Parties
Lao People’s Democratic Republic,Parties
Latvia,Parties
Lebanon,Parties
Lesotho,Parties
Liberia,Parties
Libya,Parties
Liechtenstein,Parties
Lithuania,Parties
Luxembourg,Parties
Madagascar,Parties
Malawi,Parties
Malaysia,Parties
Maldives,Parties
Mali,Parties
Malta,Parties
Marshall Islands,Parties
Mauritania,Parties
Mauritius,Parties
Mexico,Parties
Micronesia (Federated States of),Parties
Monaco,Parties
Mongolia,Parties
Montenegro,Parties
Morocco,Parties
Mozambique,Parties
Namibia,Parties
Nauru,Parties
Nepal,Parties
Netherlands,Parties
New Zealand,Parties
Nicaragua,Parties
Niger,Parties
Nigeria,Parties
Niue,Parties
North Macedonia,Parties
Norway,Parties
Oman,Parties
Pakistan,Parties
Palau,Parties
Panama,Parties
Papua New Guinea,Parties
Paraguay,Parties
Peru,Parties
Philippines,Parties
Poland,Parties
Portugal,Parties
Qatar,Parties
Republic of Korea,Parties
Republic of Moldova,Parties
Romania,Parties
Russian Federation,Parties
Rwanda,Parties
Saint Kitts and Nevis,Parties
Saint Lucia,Parties
Saint Vincent and the Grenadines,Parties
Samoa,Parties
San Marino,Parties
Sao Tome and Principe,Parties
Saudi Arabia,Parties
Senegal,Parties
Serbia,Parties
Seychelles,Parties
Sierra Leone,Parties
Singapore,Parties
Slovakia,Parties
Slovenia,Parties
Solomon Islands,Parties
Somalia,Parties
South Africa,Parties
South Sudan,Parties
Spain,Parties
Sri Lanka,Parties
State of Palestine,Parties
Sudan,Parties
Suriname,Parties
Sweden,Parties
Switzerland,Parties
Syrian Arab Republic,Parties
Tajikistan,Parties
Thailand,Parties
Timor-Leste,Parties
Togo,Parties
Tonga,Parties
Trinidad and Tobago,Parties
Tunisia,Parties
Turkey,Parties
Turkmenistan,Parties
Tuvalu,Parties
Uganda,Parties
Ukraine,Parties
United Arab Emirates,Parties
United Kingdom of Great Britain and Northern Ireland,Parties
United Republic of,Parties
Tanzania,Parties
United States of America,Parties
Uruguay,Parties
Uzbekistan,Parties
Vanuatu,Parties
Venezuela (Bolivarian Republic of),Parties
Viet Nam,Parties
Yemen,Parties
Zambia,Parties
Zimbabwe,Parties
Holy See,Observer States
United Nations Secretariat,United Nations Secretariat units and bodies
Department of Economic and Social Affairs,United Nations Secretariat units and bodies
Economic and Social Commission for Asia and the Pacific,United Nations Secretariat units and bodies
Economic and Social Commission for Western Asia,United Nations Secretariat units and bodies
Economic Commission for Africa,United Nations Secretariat units and bodies
Economic Commission for Europe,United Nations Secretariat units and bodies
Economic Commission for Latin America and the Caribbean,United Nations Secretariat units and bodies
Office for the Coordination of Humanitarian Affairs,United Nations Secretariat units and bodies
"Office of the High Representative for the Least Developed Countries, Landlocked Developing Countries and Small Island Developing States",United Nations Secretariat units and bodies
Office of the United Nations High Commissioner for Human Rights,United Nations Secretariat units and bodies
Office of the United Nations High Commissioner for Refugees,United Nations Secretariat units and bodies
Secretariat of the Convention on Biological Diversity,United Nations Secretariat units and bodies
Secretariat of the United Nations Convention to Combat Desertification,United Nations Secretariat units and bodies
Sustainable Energy for All,United Nations Secretariat units and bodies
United Nations Capital Development Fund,United Nations Secretariat units and bodies
United Nations Children’s Fund,United Nations Secretariat units and bodies
United Nations Conference on Trade and Development,United Nations Secretariat units and bodies
United Nations Department of Global Communications,United Nations Secretariat units and bodies
United Nations Development Programme,United Nations Secretariat units and bodies
United Nations Entity for Gender Equality and the Empowerment of Women,United Nations Secretariat units and bodies
United Nations Environment Programme,United Nations Secretariat units and bodies
United Nations General Assembly,United Nations Secretariat units and bodies
United Nations Human Settlements Programme,United Nations Secretariat units and bodies
United Nations Institute for Training and Research,United Nations Secretariat units and bodies
United Nations Office for Disaster Risk Reduction,United Nations Secretariat units and bodies
United Nations Office for Project Services,United Nations Secretariat units and bodies
United Nations Population Fund,United Nations Secretariat units and bodies
United Nations Research Institute for Social Development,United Nations Secretariat units and bodies
United Nations University,United Nations Secretariat units and bodies
Universal Postal Union,United Nations Secretariat units and bodies
World Food Programme,United Nations Secretariat units and bodies
Food and Agriculture Organization of the United Nations,Specialized agencies and related organizations
Global Environment Facility,Specialized agencies and related organizations
Green Climate Fund,Specialized agencies and related organizations
Intergovernmental Oceanographic Commission of UNESCO,Specialized agencies and related organizations
International Atomic Energy Agency,Specialized agencies and related organizations
International Civil Aviation Organization,Specialized agencies and related organizations
International Finance Corporation,Specialized agencies and related organizations
International Fund for Agricultural Development,Specialized agencies and related organizations
International Labour Organization,Specialized agencies and related organizations
International Maritime Organization,Specialized agencies and related organizations
International Monetary Fund,Specialized agencies and related organizations
International Organization for Migration,Specialized agencies and related organizations
International Telecommunication Union,Specialized agencies and related organizations
"United Nations Educational, Scientific and Cultural Organization",Specialized agencies and related organizations
United Nations Global Compact,Specialized agencies and related organizations
United Nations Industrial Development Organization,Specialized agencies and related organizations
WMO/UNEP Intergovernmental Panel on Climate Change,Specialized agencies and related organizations
World Bank Group,Specialized agencies and related organizations
World Health Organization,Specialized agencies and related organizations
World Meteorological Organization,Specialized agencies and related organizations
World Trade Organization,Specialized agencies and related organizations
Adaptation Fund Board,Intergovernmental organizations
African Centre of Meteorological Application for Development,Intergovernmental organizations
African Development Bank Group,Intergovernmental organizations
African Union Commission,Intergovernmental organizations
"African, Caribbean and Pacific of States",Intergovernmental organizations
Asian Development Bank,Intergovernmental organizations
Asian Infrastructure Investment Bank,Intergovernmental organizations
Autorité de développement intégré de la région du Liptako-Gourma,Intergovernmental organizations
CAB International,Intergovernmental organizations
Caribbean Community Climate Change Centre,Intergovernmental organizations
Caribbean Community Secretariat,Intergovernmental organizations
Center for International Forestry Research,Intergovernmental organizations
Centre for Environment & Development for Arab Region & Europe,Intergovernmental organizations
CGIAR System Organization,Intergovernmental organizations
Comité permanent inter-états de lutte contre la sécheresse au Sahel,Intergovernmental organizations
Commission des Forêts d’Afrique Centrale,Intergovernmental organizations
Commission for Environmental Cooperation,Intergovernmental organizations
Commonwealth Foundation,Intergovernmental organizations
Commonwealth Secretariat,Intergovernmental organizations
Convention on Wetlands of International Importance especially as Waterfowl Habitat,Intergovernmental organizations
Corporación Andina de Fomento,Intergovernmental organizations
Council of Europe,Intergovernmental organizations
Council of Europe Development Bank,Intergovernmental organizations
East African Community,Intergovernmental organizations
Economic Community of West African States,Intergovernmental organizations
Energy Community,Intergovernmental organizations
European Bank for Reconstruction and Development,Intergovernmental organizations
European Forest Institute,Intergovernmental organizations
European Investment Bank,Intergovernmental organizations
European Molecular Biology Laboratory,Intergovernmental organizations
European Space Agency,Intergovernmental organizations
European University Institute,Intergovernmental organizations
Facultad Latinoamericana de Ciencias Sociales,Intergovernmental organizations
Gas Exporting Countries Forum,Intergovernmental organizations
Global Green Growth Institute,Intergovernmental organizations
Global Water Partnership Organisation,Intergovernmental organizations
Greater Virunga Transbounday Collaboration,Intergovernmental organizations
IGAD Climate Prediction and Applications Centre,Intergovernmental organizations
Institut International du Froid,Intergovernmental organizations
Instituto Interamericano de Cooperación para la Agricultura,Intergovernmental organizations
Integrated Carbon Observation System European Research Infrastructure Consortium,Intergovernmental organizations
Inter-American Development Bank,Intergovernmental organizations
Inter-Parliamentary Union,Intergovernmental organizations
International Center for Agricultural Research in the Dry Areas,Intergovernmental organizations
International Centre for Integrated Mountain Development,Intergovernmental organizations
International Centre for Research in Agroforestry,Intergovernmental organizations
International Development Law Organization,Intergovernmental organizations
International Energy Agency,Intergovernmental organizations
International Federation of Red Cross and Red Crescent Societies,Intergovernmental organizations
International Livestock Research Institute,Intergovernmental organizations
International Network for Bamboo and Rattan,Intergovernmental organizations
International Renewable Energy Agency,Intergovernmental organizations
International Solar Alliance,Intergovernmental organizations
"International Transport Forum, Organisation for Economic Co-operation and Development",Intergovernmental organizations
International Tropical Timber Organization,Intergovernmental organizations
International Union for Conservation of Nature,Intergovernmental organizations
International Water Management Institute,Intergovernmental organizations
Islamic Development Bank,Intergovernmental organizations
ITER International Fusion Energy Organization,Intergovernmental organizations
League of Arab States,Intergovernmental organizations
Nordic Council,Intergovernmental organizations
Nordic Council of Ministers,Intergovernmental organizations
Nordic Development Fund,Intergovernmental organizations
Nordic Environment Finance Corporation,Intergovernmental organizations
Nordic Investment Bank,Intergovernmental organizations
Observatoire du Sahara et du Sahel,Intergovernmental organizations
Organisation for Economic Co-operation and Development,Intergovernmental organizations
Organisation Internationale de la Francophonie,Intergovernmental organizations
Organization of Arab Petroleum Exporting Countries,Intergovernmental organizations
Organization of the Petroleum Exporting Countries,Intergovernmental organizations
Pacific Islands Forum Secretariat,Intergovernmental organizations
Parliamentary Assembly of the Mediterranean,Intergovernmental organizations
Regional Community Forestry Training Center for Asia and the Pacific,Intergovernmental organizations
South Asia Co-operative Environment Programme,Intergovernmental organizations
Union for the Mediterranean,Intergovernmental organizations
2050 Climate Group,Non-governmental organizations
2° investing initiative,Non-governmental organizations
350 the Climate Movement in Denmark,Non-governmental organizations
350.org,Non-governmental organizations
A Rocha International,Non-governmental organizations
A Sud Ecology and Cooperation - Onlus,Non-governmental organizations
A Well-Fed World,Non-governmental organizations
Abdullah Bin Hamad Al-Attiyah International Foundation for Energy and Sustainable Development,Non-governmental organizations
Abertay University,Non-governmental organizations
Abibimman Foundation,Non-governmental organizations
Academy of Science of South Africa,Non-governmental organizations
ACT Alliance - Action by Churches Together,Non-governmental organizations
Action des Chrétiens Activistes des Droits de l’Homme à Shabunda,Non-governmental organizations
"Action Group on Erosion, Technology and Concentration (ETC Group)",Non-governmental organizations
Action pour la taxation des transactions pour l’aide aux citoyens,Non-governmental organizations
Action pour le Respect et la Protection de l’Environnement,Non-governmental organizations
Action Solidarité Tiers-Monde a.s.b.l.,Non-governmental organizations
ActionAid International - South Africa,Non-governmental organizations
Adelphi Research,Non-governmental organizations
Advocates for International Development,Non-governmental organizations
Africa Centre for Citizens Orientation,Non-governmental organizations
Africa Youths International Development Foundation,Non-governmental organizations
African Centre for Climate Actions and Rural Development Initiative,Non-governmental organizations
African Climate Change Research Centre,Non-governmental organizations
African Forest Forum,Non-governmental organizations
African Network of Young Leaders for Peace and Sustainable Development,Non-governmental organizations
African Smart Cities Innovation Foundation,Non-governmental organizations
African Wildlife,Non-governmental organizations
Agriconsulting S.p.A.,Non-governmental organizations
Agricord vzw,Non-governmental organizations
AgroParisTech,Non-governmental organizations
Air and Waste Management Association,Non-governmental organizations
Airlines for America,Non-governmental organizations
AJEMALEBU Self Help,Non-governmental organizations
Akatu Institute,Non-governmental organizations
Alana,Non-governmental organizations
Aldersgate Group,Non-governmental organizations
All Africa Conference of Churches,Non-governmental organizations
All China Environment Federation,Non-governmental organizations
All India Women’s Conference,Non-governmental organizations
AllForClimate,Non-governmental organizations
Alliance for Climate Education,Non-governmental organizations
Alliance for Global Water Adaptation,Non-governmental organizations
Alliance for Responsible Atmospheric Policy,Non-governmental organizations
Alliance for Rural Electrification,Non-governmental organizations
Alliance of Nurses for Healthy Environments,Non-governmental organizations
Alliance to Save Energy,Non-governmental organizations
Alziras Institute,Non-governmental organizations
Amazon Center for Environmental Education and Research Foundation,Non-governmental organizations
Amazon Environmental Research Institute,Non-governmental organizations
Amazon Institute of People and the Environment,Non-governmental organizations
Amazon Watch,Non-governmental organizations
American Anthropological Association,Non-governmental organizations
American Bar Association,Non-governmental organizations
American Chemical Society,Non-governmental organizations
American Federation of Labor and Congress of Industrial Organizations,Non-governmental organizations
American Forests,Non-governmental organizations
American Nuclear Society,Non-governmental organizations
American Psychological Association,Non-governmental organizations
"American Society of Heating, Refrigerating and Air-Conditioning Engineers, Inc.",Non-governmental organizations
American Sustainable Business Council,Non-governmental organizations
American University,Non-governmental organizations
Amnesty International,Non-governmental organizations
An Organization for Socio-Economic Development,Non-governmental organizations
Angel Support Foundation,Non-governmental organizations
Anglican Consultative Council,Non-governmental organizations
Antarctic and Southern Ocean Coalition,Non-governmental organizations
Aotearoa Youth Leadership Institute,Non-governmental organizations
Appalachian State University,Non-governmental organizations
AQOCI,Non-governmental organizations
Arab Network for Environment and Develoment,Non-governmental organizations
Arapyaú Institute,Non-governmental organizations
Architecture 2030 Inc.,Non-governmental organizations
Arctic Athabaskan Council,Non-governmental organizations
Arizona State University,Non-governmental organizations
