,Topic,BINGO,ENGO,Farmers,IPO,LGMA,RINGO,TUNGO,Women and Gender,Youth,not yet affiliated/no data
0,Topic4,0.059422876638275314,0.08069162498161729,0.08782242411204301,0.1257301608500962,0.06145359787842606,0.11624797575239178,0.1664513716407652,0.02927104331943799,0.05924911032955357,0.05595132168345625
1,Topic7,0.01576205940447892,0.03186156592708043,0.09377150788714057,0.03375935305854813,0.00018943432960439357,0.01393629100899628,0.014849527891523617,0.01723008431993848,0.02064672504552202,0.03957857471697014
2,Topic8,0.18446301866909684,0.060680904452123846,0.023971056701157026,0.010681979538966132,0.016660320717346584,0.04086159876991904,0.015482044716398857,0.039324033209552293,0.019086870975611788,0.05176572577461278
3,Topic9,0.02419985137379307,0.05064131245182429,0.02899467249274793,0.043465222494981776,0.06342553664871954,0.26831605556256677,0.05161639352445486,0.02512631197099658,0.10065721160638282,0.02277049986006892
4,Topic10,0.03387983843135266,0.07855789072215627,0.030624318685113335,0.3363822787229357,0.044683061884279555,0.037447632694524495,0.03363481854986662,0.27190836740521174,0.12747041620836666,0.06985972955813989
5,Topic11,0.01640644545229391,0.020020893433414306,0.026396987971262775,0.012443329349793933,0.026202998811822892,0.01533730177749343,0.015217018918130093,0.025478674016561648,0.026758939793002,0.12181020075497523
6,Topic13,0.13429300113438375,0.08421198517600854,0.15346008882321863,0.1091736471701959,0.13823776491262835,0.09274552481330349,0.3465048596262932,0.09771653464849803,0.1799841450743274,0.15331605541427712
7,Topic14,0.1658773935300165,0.33295566304998875,0.30927628961702186,0.20662921593235484,0.17200130966957658,0.18059113141333055,0.13192599742407238,0.2867476310403574,0.2838145979172127,0.1494326147220128
8,Topic15,0.1655030592646942,0.1499122830583243,0.11926530084989885,0.059478509727843354,0.22231699591939105,0.11617467529702535,0.008517203813036184,0.15815335308226558,0.09416801608585955,0.1440772435350112
9,Topic16,0.08161599733475236,0.08140488757609093,0.0829199904837878,0.05291089495259598,0.21867533554395777,0.08948543031986517,0.19379376460398942,0.02860524388268541,0.06926506395608487,0.15040271415701073
10,Topic18,0.0908699497220455,0.015910903024873174,0.020484117138494153,0.004574782500891014,0.027441919103603125,0.01921486755311837,0.01914420972648904,0.002966664851295949,0.011153681239275905,0.027478850799995118
