,City,Count
0,Paris,4
1,Geneva,4
2,London,3
3,Helsinki,2
4,Vienna,2
5,Gland,2
6,Tunis,2
7,Stockholm,1
8,Bangkok,1
9,Kathmandu,1
10,Joensuu,1
11,Bogor,1
12,Sao Jose dos Campos,1
13,Cairo,1
14,Washington DC,1
15,Luxembourg,1
16,Strasbourg,1
17,Belmopan,1
18,Lima,1
19,Quebec,1
20,Mandaluyong City,1
21,Castries,1
22,Abuja,1
23,Lome,1
24,Ouagadougou 1,1
25,Jeddah 21583,1
26,Arusha,1
27,Kuwait,1
28,Wageningen,1
29,Abu Dhabi,1
30,Seoul,1
31,Georgetown,1
32,The Hague,1
33,Oxon,1
34,Nairobi,1
35,Jeddah,1
36,Niamey,1
37,Innsbruck,1
38,Ouagadougou 03,1
39,Montpellier,1
40,San Isidro,1
41,Madrid,1
42,Brussels,1
43,Addis Ababa,1
44,Szentendre,1
45,Beijing,1
46,Washington,1
47,Jakarta Selatan,1
48,St. Julians,1
49,Quatre Bornes,1
50,Praia,1
51,Caracas,1
52,Munich,1
53,Suva,1
