,Constituency,Count
3,Constituency - Business and Industry,106
11,Constituency - Business and Industry2,10
5,Constituency - ENGO,38
1,Constituency - Environmental,251
2,Constituency - Environmental CAN,107
10,Constituency - Environmental CJN,11
12,Constituency - Farmers,9
7,Constituency - Indigenous peoples,29
8,Constituency - Local government and Municipal authorities,20
0,Constituency - Research and independent,277
13,Constituency - Trade Unions,7
9,Constituency - Women and Gender,19
4,Constituency - Youth,39
6,not yet affiliated/no data,30
