,name,entity_type,constituency,coordinator,city,country,remarks,const
0,A SEED Europe,Non-governmental organizations,Constituency - Environmental,Mr. Flip Vonk,Amsterdam,Netherlands,,ENGO
1,Abibimman Foundation,Non-governmental organizations,Constituency - Environmental CAN,Mr. Kenneth Nana Amoateng,Tena,Ghana,,ENGO
2,Academy for Mountain Environics,Non-governmental organizations,Constituency - Environmental,Mr. Sreedhar Ramamurthi,New Delhi,India,,ENGO
3,ACT Alliance - Action by Churches Together,Non-governmental organizations,Constituency - Environmental CAN,Mr. Thorsten Göbel,Geneva,Switzerland,,ENGO
4,Action Against Hunger,Non-governmental organizations,Constituency - Environmental,Mme Peggy Pascal,Paris,France,,ENGO
5,Action Planéterre,Non-governmental organizations,Constituency - Environmental,Mr. Mahamadoun Abdoulaye Traore,Aubervilliers,France,,ENGO
6,Action Solidarité Tiers-Monde a.s.b.l.,Non-governmental organizations,Constituency - ENGO,M. Dietmar Mirkes,Luxembourg,Luxembourg,,ENGO
7,ActionAid International,Non-governmental organizations,Constituency - Environmental CAN,Ms. Teresa Maria Isabel Anderson,Johannesburg,South Africa,,ENGO
8,African Centre for Technology Studies,Non-governmental organizations,Constituency - Environmental,Mr. Kennedy Liti Mbeva,Nairobi,Kenya,,ENGO
9,African Climate Change Research Centre,Non-governmental organizations,Constituency - Research and independent,Mr. Nura Jibo,Dutse,Nigeria,,RINGO
10,African Forest Forum,Non-governmental organizations,Constituency - Environmental,Mr. Godwin Kowero,Nairobi,Kenya,,ENGO
11,African Wildlife Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Charly Facheux,Nairobi,Kenya,,ENGO
12,Agriconsulting S.p.A.,Non-governmental organizations,Constituency - Business and Industry,Mr. Giorgio Andreoli,Rome,Italy,,BINGO
13,Albertine Rift Conservation Society,Non-governmental organizations,Constituency - Environmental,Mr. Samuel Kanyamibwa,Cambridge,United Kingdom of Great Britain and Northern Ireland,,ENGO
14,All India Women's Conference,Non-governmental organizations,Constituency - Women and Gender,Ms. Rakesch Dhawan,New Delhi,India,,Women and Gender
15,Alliance for Responsible Atmospheric Policy,Non-governmental organizations,Constituency - Business and Industry,Mr. Stephen Van Maren,Arlington,United States of America,,BINGO
16,Alliance for Rural Electrification,Non-governmental organizations,Constituency - Business and Industry,Mr. David Lecoque,Brussels,Belgium,,BINGO
17,Alliance to Save Energy,Non-governmental organizations,Constituency - Business and Industry,Ms. Laura Van Wie McGrory,Washington,United States of America,,BINGO
18,Amazon Environmental Research Institute,Non-governmental organizations,Constituency - Environmental,Ms. Gabriela Savian,Belem,Brazil,,ENGO
19,Amazon Watch,Non-governmental organizations,Constituency - Environmental,Mr. Andrew Miller,San Francisco,United States of America,,ENGO
20,American Anthropological Association,Non-governmental organizations,Constituency - Environmental,Ms. Julie Raymond,Arlington,United States of America,,ENGO
21,American Chemical Society,Non-governmental organizations,Constituency - Research and independent,Mr. James C. Maxwell,Washington DC,United States of America,,RINGO
22,American Federation of Labor and Congress of Industrial Organizations,Non-governmental organizations,Constituency - ENGO,Mr. Brad Markell,Washington,United States of America,,ENGO
23,American Meteorological Society,Non-governmental organizations,Constituency - Research and independent,Mr. Paul Higgins,Boston,United States of America,,RINGO
24,American Nuclear Society,Non-governmental organizations,Constituency - Research and independent,Ms. Aubrey Whittington,La Grange Park,United States of America,,RINGO
25,American Sustainable Business Council,Non-governmental organizations,Constituency - Business and Industry,Mr. Michael Green,Washington DC,United States of America,,BINGO
26,American University,Non-governmental organizations,Constituency - Research and independent,Ms. Sikina Jinnah,Washington,United States of America,,RINGO
27,American University of Beirut,Non-governmental organizations,Constituency - Research and independent,Ms. Rana El Hajj,Beirut,Lebanon,,RINGO
28,An Organization for Socio-Economic Development,Non-governmental organizations,Constituency - Environmental CAN,Mr. Shamim Arfeen,Khulna,Bangladesh,,ENGO
29,Antarctic and Southern Ocean Coalition,Non-governmental organizations,Constituency - Environmental,Ms. Claire Christian,"Washington, DC",United States of America,,ENGO
30,Aotearoa Youth Leadership Institute,Non-governmental organizations,Constituency - Youth,Mr. Benjamin Brooking,Auckland,New Zealand,,Youth
31,Arab Network for Environment and Development,Non-governmental organizations,Constituency - Environmental,Ms. Ghada Ahmadein,Cairo,Egypt,,ENGO
32,Arizona State University,Non-governmental organizations,Constituency - Research and independent,Mr. Daniel Bodansky,Glendale,United States of America,,RINGO
33,"Asheville-Buncombe Sustainable Community Initiatives, Inc.",Non-governmental organizations,Constituency - Environmental,Ms. Virginie Fayolle,Asheville,United States of America,,ENGO
34,Asia Indigenous Peoples Pact Foundation,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Lakpa Nuri Sherpa,Chiang Mai,Thailand,,IPO
35,"Asia Pacific Forum on Women, Law and Development",Non-governmental organizations,Constituency - Women and Gender,Ms. Kavita Naidu,Chiangmai,Thailand,,Women and Gender
36,Asian Institute of Technology,Non-governmental organizations,Constituency - ENGO,Mr. Said Irandoust,"Pathumthani, Bangkok",Thailand,,ENGO
