,name,entity_type,TotalMembers,MaleMembers,FemaleMembers,constituency,coordinator,city,country,const
0,Technical Centre for Agricultural and Rural Cooperation EU-ACP,Non-governmental organizations,1,1,0,,Mr. Michael Hailu,Wageningen,Netherlands,not yet affiliated/no data
1,The European Organisation for the Exploitation of Meteorological Satellites,Non-governmental organizations,1,1,0,,,Darmstadt,Germany,not yet affiliated/no data
2,2° investing initiative (2°ii),Non-governmental organizations,2,1,1,Constituency - Research and independent,Mr. Thibaut Ghirardi,Paris,France,RINGO
3,A SEED Europe,Non-governmental organizations,3,0,3,Constituency - Environmental,Mr. Flip Vonk,Amsterdam,Netherlands,ENGO
4,A Sud Ecology and Cooperation - Onlus,Non-governmental organizations,4,1,3,Constituency - Environmental,Ms. Lucie Greyl,Rome,Italy,ENGO
5,Abibimman Foundation,Non-governmental organizations,6,5,1,Constituency - Environmental CAN,Mr. Kenneth Nana Amoateng,Tena,Ghana,ENGO
6,Academy for Mountain Environics,Non-governmental organizations,2,0,2,Constituency - Environmental,Mr. Sreedhar Ramamurthi,New Delhi,India,ENGO
7,ACT Alliance - Action by Churches Together,Non-governmental organizations,8,4,4,Constituency - Environmental CAN,Mr. Thorsten Göbel,Geneva,Switzerland,ENGO
8,Action Planéterre,Non-governmental organizations,1,1,0,Constituency - Environmental,Mr. Mahamadoun Abdoulaye Traore,Aubervilliers,France,ENGO
9,Action Solidarité Tiers-Monde a.s.b.l.,Non-governmental organizations,4,2,2,Constituency - ENGO,M. Dietmar Mirkes,Luxembourg,Luxembourg,ENGO
10,ActionAid International,Non-governmental organizations,5,2,3,Constituency - Environmental CAN,Ms. Teresa Maria Isabel Anderson,Johannesburg,South Africa,ENGO
11,Adelphi Research,Non-governmental organizations,5,3,2,Constituency - Research and independent,Mr. Dennis Taenzler,Berlin,Germany,RINGO
12,"Advocates for the Environment, Inc.",Non-governmental organizations,1,1,0,Constituency - Environmental,Mr. Dean Wallraff,Shadow Hills,United States of America,ENGO
13,Africa Centre for Citizens Orientation,Non-governmental organizations,3,2,1,Constituency - Environmental,Mr. Peter Olugbenga Adeleye,Kurudu,Nigeria,ENGO
14,Africa Youths International Development Foundation,Non-governmental organizations,3,2,1,Constituency - Youth,Mr. Tunji John Asaolu,Abuja,Nigeria,Youth
15,African Centre for Technology Studies,Non-governmental organizations,4,2,2,Constituency - Environmental,Mr. Kennedy Liti Mbeva,Nairobi,Kenya,ENGO
16,African Climate Change Research Centre,Non-governmental organizations,14,11,3,Constituency - Research and independent,Mr. Nura Jibo,Dutse,Nigeria,RINGO
17,African Forest Forum,Non-governmental organizations,2,0,2,Constituency - Environmental,Mr. Godwin Kowero,Nairobi,Kenya,ENGO
18,African Wildlife Foundation,Non-governmental organizations,1,1,0,Constituency - Environmental,Mr. Charly Facheux,Nairobi,Kenya,ENGO
19,Agriconsulting S.p.A.,Non-governmental organizations,1,1,0,Constituency - Business and Industry,Mr. Giorgio Andreoli,Rome,Italy,BINGO
20,Air and Waste Management Association,Non-governmental organizations,3,2,1,Constituency - Environmental,Ms. Stephanie Glyptis,Pittsburgh,United States of America,ENGO
21,All China Environment Federation,Non-governmental organizations,10,6,4,Constituency - Environmental,Ms. Xiaoyi Gao,Beijing,China,ENGO
22,All India Women’s Conference,Non-governmental organizations,2,0,2,,Mrs. Sheela Kakde,Delhi,India,not yet affiliated/no data
23,Alliance to Save Energy,Non-governmental organizations,4,1,3,Constituency - Business and Industry,Ms. Laura Van Wie McGrory,Washington,United States of America,BINGO
24,Amazon Environmental Research Institute,Non-governmental organizations,3,2,1,Constituency - Environmental,Ms. Gabriela Savian,Belem,Brazil,ENGO
25,Amazon Institute of People and the Environment,Non-governmental organizations,5,2,3,Constituency - Research and independent,Sra. Brenda Brito do Carmo,Belém,Brazil,RINGO
26,Amazon Watch,Non-governmental organizations,14,10,4,Constituency - Environmental,Mr. Andrew Miller,San Francisco,United States of America,ENGO
27,American Anthropological Association,Non-governmental organizations,7,1,6,Constituency - Environmental,Ms. Julie Raymond,Arlington,United States of America,ENGO
28,American Chemical Society,Non-governmental organizations,8,4,4,Constituency - Research and independent,Mr. James C. Maxwell,Washington DC,United States of America,RINGO
29,American Federation of Labor and Congress of Industrial Organizations,Non-governmental organizations,4,3,1,Constituency - ENGO,Mr. Brad Markell,Washington,United States of America,ENGO
30,American Sustainable Business Council,Non-governmental organizations,6,6,0,Constituency - Business and Industry,Mr. Michael Green,Washington DC,United States of America,BINGO
31,American University,Non-governmental organizations,4,0,4,Constituency - Research and independent,Ms. Sikina Jinnah,Washington,United States of America,RINGO
32,American University of Beirut,Non-governmental organizations,1,1,0,Constituency - Research and independent,Ms. Rana El Hajj,Beirut,Lebanon,RINGO
33,Amnesty International,Non-governmental organizations,6,3,3,Constituency - Research and independent,Mr. Ashfaq Khalfan,London,United Kingdom of Great Britain and Northern Ireland,RINGO
34,An Organization for Socio-Economic Development,Non-governmental organizations,8,5,3,Constituency - Environmental CAN,Mr. Shamim Arfeen,Khulna,Bangladesh,ENGO
35,Antarctic and Southern Ocean Coalition,Non-governmental organizations,8,1,7,Constituency - Environmental,Ms. Claire Christian,"Washington, DC",United States of America,ENGO
36,Architecture 2030 Inc.,Non-governmental organizations,2,0,2,Constituency - Environmental,Mr. Tighe Glennon Lanning,Santa Fe,United States of America,ENGO
37,Arizona State University,Non-governmental organizations,9,2,7,Constituency - Research and independent,Mr. Daniel Bodansky,Glendale,United States of America,RINGO
38,"Asheville-Buncombe Sustainable Community Initiatives, Inc.",Non-governmental organizations,4,1,3,Constituency - Environmental,Ms. Virginie Fayolle,Asheville,United States of America,ENGO
39,Asia Indigenous Peoples Pact Foundation,Non-governmental organizations,11,5,6,Constituency - Indigenous peoples,Mr. Lakpa Nuri Sherpa,Chiang Mai,Thailand,IPO
40,"Asia Pacific Forum on Women, Law and Development",Non-governmental organizations,4,0,4,Constituency - Women and Gender,Ms. Kavita Naidu,Chiangmai,Thailand,Women and Gender
41,Asia-Europe Foundation,Non-governmental organizations,5,1,4,Constituency - Research and independent,Ms. Grazyna Pulawska,Singapore,Singapore,RINGO
42,Asian Institute of Technology,Non-governmental organizations,3,2,1,Constituency - ENGO,Mr. Said Irandoust,"Pathumthani, Bangkok",Thailand,ENGO
