,organization,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,most_prevalent_topic,entity_type,coordinator,city,country,constituency,const
0,2° investing initiative (2°ii),1.7110620319726877e-05,4.203295702609466e-06,4.289671323931543e-06,0.0132145602256059,0.0092691779136657,6.187380677147303e-06,8.873186743585393e-05,0.1414437741041183,0.0158874932676553,0.0001775656128302,9.437919652555138e-05,1.7587975889910012e-05,0.0947492569684982,0.2483295649290084,0.2500976324081421,0.004390190821141,4.169289695710177e-06,0.2222041636705398,15,Non-governmental organizations,Mr. Thibaut Ghirardi,Paris,France,Constituency - Research and independent,RINGO
1,A SEED Europe,1.2419849554134998e-05,3.05098819808336e-06,3.1136846700974274e-06,0.0743503049015998,0.0037568209227174,4.491148501983844e-06,0.1890056878328323,0.0001440122141502,0.0071275625377893,0.0154662784188985,6.848495831945911e-05,1.2766340660164133e-05,0.0522699132561683,0.3978439271450043,0.0002634520642459,0.2462540119886398,3.026304739250918e-06,0.0134106772020459,14,Non-governmental organizations,Mr. Flip Vonk,Amsterdam,Netherlands,Constituency - Environmental,ENGO
2,A Sud Ecology and Cooperation - Onlus,8.190531843865756e-06,2.0120387489441782e-06,2.053385060207802e-06,0.0001440573105355,1.5657009498681873e-05,2.961782911370392e-06,0.060152992606163,9.433302329853176e-05,0.0474462956190109,0.216386467218399,4.5170861994847655e-05,8.419033292739186e-06,0.0210281871259212,0.286142885684967,0.1114770770072937,0.2569975554943084,1.9957606127718464e-06,4.3670595914591104e-05,14,Non-governmental organizations,Ms. Lucie Greyl,Rome,Italy,Constituency - Environmental,ENGO
3,ACT Alliance - Action by Churches Together,6.413609753508354e-06,1.575530291120231e-06,1.6079065972007811e-06,0.0081898728385567,1.2260246876394376e-05,2.319228997293976e-06,3.325989382574335e-05,7.344017649302259e-05,0.0230826139450073,0.1995863318443298,0.0299672614783048,0.0040657869540154,0.5222289562225342,0.0846371799707412,0.1219684034585952,0.006106964778155,1.562783722874883e-06,3.419666245463304e-05,13,Non-governmental organizations,Mr. Thorsten Göbel,Geneva,Switzerland,Constituency - Environmental CAN,ENGO
4,Abibimman Foundation,9.631384273234287e-06,2.365989985264605e-06,2.4146099804056576e-06,0.0279900133609771,1.841133962443564e-05,3.482810143395909e-06,0.0471128486096859,0.0346494503319263,0.0027252703439444,0.0407517775893211,0.0056913909502327,9.900082659441978e-06,0.0002158792631234,0.62108314037323,0.1728828847408294,0.0467974245548248,2.3468485323974164e-06,5.135776154929772e-05,14,Non-governmental organizations,Mr. Kenneth Nana Amoateng,Tena,Ghana,Constituency - Environmental CAN,ENGO
5,Academy for Mountain Environics,1.964389593922533e-05,4.8256056288664695e-06,4.924769655190175e-06,0.0241184551268816,3.755124271265231e-05,7.103440111677628e-06,0.0310051366686821,0.0002272094134241,0.1228883937001228,0.2003867030143737,0.001105475006625,2.0191924704704437e-05,0.0004552005848381,0.4560236930847168,0.084311805665493,0.0792741253972053,4.786565114045516e-06,0.0001047396435751,14,Non-governmental organizations,Mr. Sreedhar Ramamurthi,New Delhi,India,Constituency - Environmental,ENGO
6,Action Planéterre,6.926812784513459e-05,1.701600558590144e-05,1.7365677194902673e-05,0.0011855117045342,0.000132412838866,2.504808435332961e-05,0.0003591644635889,0.0189487859606742,0.0014544491423293,0.0535897985100746,0.0003819308185484,7.120057853171602e-05,0.0014613883104175,0.3291113376617431,0.0839700773358345,0.508819043636322,1.687834082986228e-05,0.0003693741455208,16,Non-governmental organizations,Mr. Mahamadoun Abdoulaye Traore,Aubervilliers,France,Constituency - Environmental,ENGO
7,Action Solidarité Tiers-Monde a.s.b.l.,4.1486709960736334e-05,1.0191384717472827e-05,1.040081315295538e-05,0.0007065848913043,0.178859680891037,1.500203234172659e-05,0.0002151058579329,0.0004744320758618,0.0008434911142103,0.1277806162834167,0.0002287936076754,4.264411472831853e-05,0.08418969810009,0.2734411358833313,0.0009021483710967,0.3124025166034698,1.0108933565788902e-05,0.0198259875178337,16,Non-governmental organizations,M. Dietmar Mirkes,Luxembourg,Luxembourg,Constituency - ENGO,ENGO
8,ActionAid International,6.567454875039402e-06,1.613322979210352e-06,1.6464759937662166e-06,0.211018219590187,0.0045690294355154,2.3748609692120226e-06,3.405462484806776e-05,0.0007507095579057,0.0001535070477984,0.1957418024539947,0.0909291431307792,6.750675311195664e-06,0.0471667349338531,0.2829985916614532,0.0533037818968296,0.1132788732647895,1.600270707058371e-06,3.501614628476091e-05,14,Non-governmental organizations,Ms. Teresa Maria Isabel Anderson,Johannesburg,South Africa,Constituency - Environmental CAN,ENGO
9,Adaptation Fund Board,5.124866675032536e-06,1.258945076187956e-06,1.2848157666667248e-06,0.0028170163277536,9.796687663765624e-06,1.853205844781769e-06,0.0049525815993547,5.917833186686039e-05,0.0001092637830879,0.0382966287434101,0.0569133758544921,5.2678410611406434e-06,0.0001103815375245,0.2303877472877502,0.6243102550506592,0.041990365833044,1.2487597587096388e-06,2.7326570489094596e-05,15,Intergovernmental organizations,Mr. Mikko Antti Ollikainen,Washington DC,United States of America,,not yet affiliated/no data
