City,Count
Paris,6
Washington DC,3
London,2
Helsinki,2
Cairo,2
Geneva,2
Tunis,2
Nairobi,2
Gland,2
Ouagadougou,2
Tegucigalpa,1
Quebec,1
La Paz,1
Bogor,1
Barcelona,1
Strasbourg,1
Suva,1
Bangkok,1
Doha,1
Kuwait,1
Beijing,1
Joensuu,1
Oxon,1
Nouakchott,1
Brussels,1
Antiguo Cuscatlán,1
San Isidro,1
Abidjan,1
Seoul,1
Caracas,1
Kathmandu,1
"Gurugram, Haryana",1
Abu Dhabi,1
Addis Ababa,1
Abuja,1
Georgetown,1
Montpellier,1
Battarmulla,1
Lima,1
St. Julians,1
Libreville,1
Beirut,1
Vienna,1
Jeddah,1
Madrid,1
Yokohama,1
Belmopan,1
Noumea,1
Luxembourg,1
Mandaluyong City,1
Stockholm,1
Rabat,1
"Los Baños, Laguna, Philippines",1
Arusha,1
Niamey,1
Copenhagen,1
