name,entity_type,TotalMembers,MaleMembers,FemaleMembers
Afghanistan,Parties,15,13,2
Albania,Parties,2,1,1
Algeria,Parties,26,16,10
Andorra,Parties,8,5,3
Angola,Parties,23,16,7
Antigua and Barbuda,Parties,13,6,7
Argentina,Parties,51,36,15
Armenia,Parties,9,4,5
Australia,Parties,21,8,13
Austria,Parties,36,19,17
Azerbaijan,Parties,5,5,0
Bahamas,Parties,9,5,4
Bahrain,Parties,9,7,2
Bangladesh,Parties,113,97,16
Barbados,Parties,6,5,1
Belarus,Parties,7,6,1
Belgium,Parties,41,29,12
Belize,Parties,27,14,13
Benin,Parties,51,38,13
Bhutan,Parties,32,20,12
Bolivia (Plurinational State of),Parties,3,1,2
Bosnia and Herzegovina,Parties,4,3,1
Botswana,Parties,26,11,15
Brazil,Parties,159,118,41
Brunei Darussalam,Parties,5,1,4
Bulgaria,Parties,13,3,10
Burkina Faso,Parties,43,41,2
Burundi,Parties,15,12,3
Cabo Verde,Parties,32,14,18
Cambodia,Parties,23,20,3
Cameroon,Parties,31,24,7
Canada,Parties,118,55,63
Central African Republic,Parties,8,7,1
Chad,Parties,23,21,2
Chile,Parties,117,68,49
China,Parties,66,45,21
Colombia,Parties,27,10,17
Comoros,Parties,8,7,1
Congo,Parties,84,68,16
Cook Islands,Parties,11,4,7
Costa Rica,Parties,47,17,30
Côte d'Ivoire,Parties,130,106,24
Croatia,Parties,26,11,15
Cuba,Parties,8,5,3
Cyprus,Parties,5,2,3
Czechia,Parties,35,20,15
Democratic People's Republic of Korea,Parties,3,1,2
Democratic Republic of the Congo,Parties,71,61,10
Denmark,Parties,46,23,23
Djibouti,Parties,6,5,1
Dominica,Parties,4,2,2
Dominican Republic,Parties,73,42,31
Ecuador,Parties,41,31,10
Egypt,Parties,28,19,9
El Salvador,Parties,12,7,5
Equatorial Guinea,Parties,30,25,5
Eritrea,Parties,3,3,0
Estonia,Parties,16,5,11
Eswatini,Parties,14,8,6
Ethiopia,Parties,42,33,9
European Union,Parties,128,75,53
Fiji,Parties,36,23,13
Finland,Parties,53,11,42
France,Parties,8,6,2
Gabon,Parties,2,2,0
Gambia,Parties,38,24,14
Georgia,Parties,12,7,5
Germany,Parties,101,55,46
Ghana,Parties,61,45,16
Greece,Parties,36,24,12
Grenada,Parties,12,8,4
Guatemala,Parties,37,23,14
Guinea,Parties,71,52,19
Guinea-Bissau,Parties,19,12,7
Guyana,Parties,5,3,2
Haiti,Parties,21,15,6
Honduras,Parties,72,49,23
Hungary,Parties,17,7,10
Iceland,Parties,7,3,4
India,Parties,36,24,12
Indonesia,Parties,142,91,51
Iran (Islamic Republic of),Parties,15,13,2
Iraq,Parties,41,29,12
Ireland,Parties,22,14,8
Israel,Parties,24,11,13
Italy,Parties,66,42,24
Jamaica,Parties,13,3,10
Japan,Parties,126,94,32
Jordan,Parties,6,5,1
Kazakhstan,Parties,18,13,5
Kenya,Parties,64,39,25
Kiribati,Parties,13,7,6
Kuwait,Parties,26,23,3
Kyrgyzstan,Parties,2,0,2
Lao People's Democratic Republic,Parties,9,7,2
