,Word,Frequency,Category
0,International,19,
1,Development,10,
2,African,8,
3,Research,5,
4,European,5,
5,Pacific,4,
6,Economic,4,
7,Energy,4,
8,Caribbean,3,
9,Inter,3,
10,Nordic,3,
11,Exporting Countries,3,
12,Application,2,
13,Climate,2,
14,Forestry,2,
15,System,2,
16,Sahel,2,
17,Europe,2,
18,Global,2,
19,Green,2,
20,Water,2,
21,Integrated,2,
22,American,2,
23,Red,2,
24,Renewable,2,
25,operation,2,
26,Arab,2,
27,Petroleum,2,
28,Mediterranean,2,
29,Adaptation,1,
30,Board,1,
31,Meteorological,1,
32,Asian,1,
33,développement,1,
34,intégré,1,
35,Liptako,1,
36,Gourma,1,
37,Centroamericano,1,
38,Integración,1,
39,Económica,1,
40,CAB,1,
41,Change,1,
42,CGIAR,1,
43,Centroamericana,1,
44,Ambiente,1,
45,permanent,1,
46,lutte,1,
47,sécheresse,1,
48,Commonwealth,1,
49,Wetlands,1,
50,Importance,1,
51,Waterfowl,1,
52,Habitat,1,
53,Andina,1,
54,Fomento,1,
55,East,1,
56,Central,1,
57,West,1,
58,Reconstruction,1,
59,Forest,1,
60,Investment,1,
61,Space,1,
62,Pueblos,1,
63,Indígenas,1,
64,América,1,
65,Latina,1,
66,Caribe,1,
67,Gas,1,
68,Growth,1,
69,IGAD,1,
70,Prediction,1,
71,Froid,1,
72,Interamericano,1,
73,Cooperación,1,
74,Agricultura,1,
75,Carbon,1,
76,Observation,1,
77,Infrastructure,1,
78,Consortium,1,
79,Agricultural,1,
80,Dry,1,
81,Areas,1,
82,Mountain,1,
83,Agroforestry,1,
84,Cocoa,1,
85,Cross,1,
86,Crescent,1,
87,Societies,1,
88,Bamboo,1,
89,Rattan,1,
90,Potato,1,
91,Rice,1,
92,Solar,1,
93,Transport,1,
94,Tropical,1,
95,Timber,1,
96,Conservation,1,
97,Nature,1,
98,Management,1,
99,Islamic,1,
100,Ministers,1,
101,Environment,1,
102,Finance,1,
103,Observatoire,1,
104,Sahara,1,
105,Internationale,1,
106,Francophonie,1,
107,Islands,1,
108,Pan,1,
109,Great,1,
110,Wall,1,
111,Efficiency,1,
112,Training,1,
113,Asia,1,
114,Iberoamericana,1,
115,Secrétariat,1,
116,général,1,
117,Maghreb,1,
118,Arabe,1,
