,Word,Frequency,Category
0,International,111,
1,University,107,
2,Institute,86,
3,Association,79,
4,Foundation,77,
5,Climate,56,
6,Inc,51,
7,Environmental,42,
8,Development,41,
9,Environment,39,
10,Center,39,
11,Centre,38,
12,Energy,33,
13,Global,32,
14,Network,30,
15,World,30,
16,Research,27,
17,Council,27,
18,Society,24,
19,Federation,21,
20,Initiative,19,
21,Organization,19,
22,National,19,
23,Fundación,19,
24,Green,18,
25,Sustainable Development,18,
26,European,17,
27,Alliance,17,
28,Women,17,
29,Technology,16,
30,Forest,16,
31,Resource,16,
32,Asociación,16,
33,Union,16,
34,Economic,15,
35,Forum,14,
36,People,14,
37,Sustainable,14,
38,Policy,14,
39,Science,14,
40,Climate Change,14,
41,Youth,13,
42,Research Institute,13,
43,Cooperation,12,
44,Law,12,
45,Protection,12,
46,Environnement,12,
47,Industry,12,
48,Group,12,
49,College,12,
50,Japan,12,
51,Conservation,11,
52,Ltd,11,
53,China,10,
54,Ecological,10,
55,Carbon,10,
56,Fund,10,
57,Limited,10,
58,Earth,10,
59,Climate Action,10,
60,Studies,9,
61,American,9,
62,Asia,9,
63,Indigenous,9,
64,Public,9,
65,Justice,9,
66,Trust,9,
67,Club,9,
68,Action Network,9,
69,Rural,8,
70,Organisation,8,
71,Europe,8,
72,Management,8,
73,Développement,8,
74,Social,8,
75,South,8,
76,Movement,8,
77,Partnership,8,
78,Peace,8,
79,Sustainable Energy,8,
80,African,7,
81,Industrial,7,
82,Business,7,
83,Gas,7,
84,NGO,7,
85,Sustainability,7,
86,Centro,7,
87,Church,7,
88,Health,7,
89,German,7,
90,Instituto,7,
91,Université,7,
92,Business Council,7,
93,Africa,6,
94,Ocean,6,
95,Coalition,6,
96,Desarrollo,6,
97,Regional,6,
98,Nature,6,
99,C,6,
100,Canadian,6,
101,Internationale,6,
102,Recherche,6,
103,Chamber,6,
104,Commerce,6,
105,Exchange,6,
106,Danish,6,
107,Water,6,
108,Transport,6,
109,Norwegian,6,
110,Agricultural,5,
111,Mountain,5,
112,Watch,5,
113,Ambiente,5,
114,Overseas,5,
115,Australian,5,
116,Storage,5,
117,Catholic,5,
118,Clean,5,
119,United,5,
120,America,5,
121,New,5,
122,Education,5,
123,Nepal,5,
124,Canada,5,
125,Project,5,
126,Committee,5,
127,Confederation,5,
128,Innovation,5,
129,Transportation,5,
130,Future,5,
131,Taiwan,5,
132,Institut,5,
133,Student,5,
134,Human Rights,5,
135,Ecology,4,
136,Academy,4,
