"name","country","entity_type","iso","region","state","raw_commitment","ghg_reduction_target_type","percent_reduction","target_year","baseline_year","data_source"
"Albany, NY","United States of America","City","USA","North America"," NY","2035 - Achieve 100% clean, renewable energy","","","","","ClimateMayors"
"Albany, NY","United States of America","City","USA","North America"," NY","2020 - Achieve 20% energy reduction in municipal buildings","GHG emission reduction target:Local Government","","","","ClimateMayors"
"Albany, NY","United States of America","City","USA","North America"," NY","2030 - Divert 65% of waste from landfill","","","","","ClimateMayors"
"Albany, NY","United States of America","City","USA","North America"," NY","2030 - Reduce CO2 emissions from wastewater and water treatment by 10%","","","","","ClimateMayors"
"Ann Arbor, MI","United States of America","City","USA","North America"," MI","2025: reduce GHGs 25% from 2000 levels","","","","","ClimateMayors"
"Ann Arbor, MI","United States of America","City","USA","North America"," MI","2050: reduce GHGs 90% from 2000 levels","","","","","ClimateMayors"
"Ashville, NC","United States of America","City","USA","North America"," NC","80% below 2002 GHG levels by 2050","GHG emission reduction target:Local Government","","","","ClimateMayors"
"Ashville, NC","United States of America","City","USA","North America"," NC","4% Municipal carbon reductions - yearly (1,114 Metric Tons/Year)","GHG emission reduction target:Local Government","","","","ClimateMayors"
"Ashville, NC","United States of America","City","USA","North America"," NC","50% Waste reduction goal","GHG emission reduction target:Local Government","","","","ClimateMayors"
"Ashville, NC","United States of America","City","USA","North America"," NC","Food Policy Action Plan","GHG emission reduction target:Local Government","","","","ClimateMayors"
"Ashville, NC","United States of America","City","USA","North America"," NC","Presently being created through the Energy Innovation Task Force to prevent Duke Energy Progress’ peaker unit from being built. - IN  PROGRESS ","GHG emission reduction target:Community","","","","ClimateMayors"
"Aspen, CO","United States of America","City","USA","North America"," CO","30% by 2010 and 80% by 2050 below 2004 GHG baseline","","","","","ClimateMayors"
"Aspen, CO","United States of America","City","USA","North America"," CO","100% renewable utility by 2015 – achieved","","","","","ClimateMayors"
"Atlanta, GA","United States of America","City","USA","North America"," GA","20% by 2020, 40% by 2030, and 100% by 2035, below 2009 GHG baseline","","","","","ClimateMayors"
"Austin, TX","United States of America","City","USA","North America"," TX","Net zero community-wide greenhouse gas emissions by 2050.","GHG emission reduction target:Community","","","","ClimateMayors"
"Austin, TX","United States of America","City","USA","North America"," TX","Municipal operations powered by 100% renewable energy by 2012 and all operations carbon neutral 2020. ","","","","","ClimateMayors"
"Austin, TX","United States of America","City","USA","North America"," TX","Austin Energy: 55% renewable energy delivered to customers by 2015. This includes goals of 1000 MW of demand side management, over 1500MW of wind,  600MW of solar, energy storage, and all coal ownership retirement. ","","","","","ClimateMayors"
"Berkeley, CA","United States of America","City","USA","North America"," CA","Community-wide GHG reductions of 80% below 2000 levels by 2050; this translates to 33% below 2000 levels by 2020. ","","","","","ClimateMayors"
"Berkeley, CA","United States of America","City","USA","North America"," CA","Zero waste by 2020.","","","","","ClimateMayors"
"Boston, MA","United States of America","City","USA","North America"," MA","25% reduction in greenhouse gas emissions by 2020, below 2005 level, and carbon neutral by 2050 ","","","","","ClimateMayors"
"Boulder, CO","United States of America","City","USA","North America"," CO","80% reduction in community-wide GHG emissions by 2050, below 2005 baseline","GHG emission reduction target:Community","","","","ClimateMayors"
"Boulder, CO","United States of America","City","USA","North America"," CO","100% clean, renewable electricity by 2030","","","","","ClimateMayors"
"Boulder, CO","United States of America","City","USA","North America"," CO","80% reduction in city operation GHG emissions by 2030, below 2008 baseline","","","","","ClimateMayors"
"Boulder, CO","United States of America","City","USA","North America"," CO","Member of the 22 city member Carbon Neutral Cities Alliance (CNCA)","","","","","ClimateMayors"
"Burlingame, CA","United States of America","City","USA","North America"," CA","15% reduction in greenhouse gas emissions by 2020, below 2005 level","","","","","ClimateMayors"
