,action_co2_reduction,action_cost,action_description,action_end_year,action_start_year,action_website,country,language,name
0,910,300000,"Durante los últimos años se ha implantado una Plataforma para la Gestión Centralizada de la Energía en 52 edificios municipales, que en la actualidad permite llevar un registro en tiempo real de los consumos de electricidad y calor.
En los proximos años se ampliarán los parámetros de energía a otras fuentes, como el gas natural, y se integrará en la Plataforma Smart Coruña.
La implantación de la ISO 50001 para la gestión de este sistema, ha permitirá llevar a cabo la reducción de emisiones de CO2 a partir de la implantación de buenas prácticas entre los usuarios de los edificios y con las actuaciones destinadas a reducir los consumos innecesarios.",2020,2013,,Spain,es,A Coruña
1,,5000,"Este programa es la aplicación de la metodología 50/50 en los colegios. Debe ir destinado a sensibilizar a todos los miembros de la comunidad educativa sobre la problemática ambiental de su entorno inmediato, concienciarlos de su responsabilidad individual y colectiva, y buscar la resolución de estos problemas estimulando su participación directa en la mejora de la gestión ambiental de los centros.",2022,2020,,Spain,es,AIELO DE RUGAT
2,,61,"Se llevarán a cabo campañas puntuales, que informen sobre la posibilidad de contratación de energía ""verde"" por parte de los usuarios. Se pretende que el Ayuntamiento beneficie con una reducción parcial de los impuestos municipales para los comercios que compren electricidad procedente de fuentes de energía renovables certificada.",2024,2020,,Spain,es,AIELO DE RUGAT
3,,25950,"La redacción de un Plan de Movilidad Urbana Sostenible (PMUS) es la herramienta básica de la planificación futura y desarrollo de la gestión de la movilidad sostenible dentro del término municipal. Los objetivos principales son potenciar el transporte sostenible y promover el desplazamiento eficiente, en detrimento del vehículo privado.",2027,2020,,Spain,es,AIELO DE RUGAT
4,,25000,Cuando el municipio sufre episodios de precipitaciones torrenciales pueden existir problemas de drenaje y alcantarillo. En materia de adaptación al Cambio Climático es relevante estudiar el uso de infraestructuras existentes para las descargas de sistemas de pluviales. ,2030,2020,,Spain,,AIELO DE RUGAT
5,,3000,Se trata de diseñar un municipio amable que implique mejora de la calidad de vida para la ciudadanía a la vez que atractivo para el visitante. Es muy necesario por tanto elaborar un Plan de Sombras en las calles más transitadas y que peor acondicionadas están para la época estival.,2030,2020,,Spain,,AIELO DE RUGAT
6,,,"Ante la situación actual y futura del municipio frente a las consecuencias del Cambio Climático, se hace imprescindible el replantearse la planificación urbanística municipal. Elaborar o revisar el PGOU, pues el municipio debe reordenarse y adaptarse al futuro previsto de riesgos climáticos ",2030,2020,,Spain,,AIELO DE RUGAT
7,,12500,"Este programa es la aplicación de la metodología 50/50 en los colegios. Debe ir destinado a sensibilizar a todos los miembros de la comunidad educativa sobre la problemática ambiental de su entorno inmediato, concienciarlos de su responsabilidad individual y colectiva, y buscar la resolución de estos problemas estimulando su participación directa en la mejora de la gestión ambiental de los centros.",2003,2020,,Spain,es,ALBAIDA
8,,1.858,"Se llevarán a cabo campañas puntuales, que informen sobre la posibilidad de contratación de energía ""verde"" por parte de los usuarios. Se pretende que el Ayuntamiento beneficie con una reducción parcial de los impuestos municipales para los comercios que compren electricidad procedente de fuentes de energía renovables certificada.",2024,2020,,Spain,es,ALBAIDA
9,,898050,"La redacción de un Plan de Movilidad Urbana Sostenible (PMUS) es la herramienta básica de la planificación futura y desarrollo de la gestión de la movilidad sostenible dentro del término municipal. Los objetivos principales son potenciar el transporte sostenible y promover el desplazamiento eficiente, en detrimento del vehículo privado.",2027,2020,,Spain,es,ALBAIDA
10,,40000,Cuando el municipio sufre episodios de precipitaciones torrenciales pueden existir problemas de drenaje y alcantarillo. En materia de adaptación al Cambio Climático es relevante estudiar el uso de infraestructuras existentes para las descargas de sistemas de pluviales. ,2030,2020,,Spain,,ALBAIDA
11,,5000,Se trata de diseñar un municipio amable que implique mejora de la calidad de vida para la ciudadanía a la vez que atractivo para el visitante. Es muy necesario por tanto elaborar un Plan de Sombras en las calles más transitadas y que peor acondicionadas están para la época estival.,2030,2020,,Spain,,ALBAIDA
12,,3000,La contratación de obras y servicios por parte del Ayuntamiento para que se ejecuten por empresas externas es un ámbito de actuación municipal muy propicio para la promoción de actuaciones de lucha contra el Cambio Climático,2030,2020,,Spain,,ALBAIDA
13,,,"Perform a hydrogeological study of the municipality in order to assess the availability of groundwater, the opportunities to take advantage of its quality.
The study may consider measures and proposals to obtain available uses for agriculture, livestock or other uses.",2020,2018,,Spain,,ALMENAR
14,,8000,"Este programa es la aplicación de la metodología 50/50 en los colegios. Debe ir destinado a sensibilizar a todos los miembros de la comunidad educativa sobre la problemática ambiental de su entorno inmediato, concienciarlos de su responsabilidad individual y colectiva, y buscar la resolución de estos problemas estimulando su participación directa en la mejora de la gestión ambiental de los centros.",2022,2020,,Spain,es,ANNA
15,,1334,"Se llevarán a cabo campañas puntuales, que informen sobre la posibilidad de contratación de energía ""verde"" por parte de los usuarios. Se pretende que el Ayuntamiento beneficie con una reducción parcial de los impuestos municipales para los comercios que compren electricidad procedente de fuentes de energía renovables certificada.",2024,2020,,Spain,es,ANNA
16,,406800,"La redacción de un Plan de Movilidad Urbana Sostenible (PMUS) es la herramienta básica de la planificación futura y desarrollo de la gestión de la movilidad sostenible dentro del término municipal. Los objetivos principales son potenciar el transporte sostenible y promover el desplazamiento eficiente, en detrimento del vehículo privado.",2027,2020,,Spain,es,ANNA
17,,40000,Cuando el municipio sufre episodios de precipitaciones torrenciales pueden existir problemas de drenaje y alcantarillo. En materia de adaptación al Cambio Climático es relevante estudiar el uso de infraestructuras existentes para las descargas de sistemas de pluviales,2030,2020,,Spain,,ANNA
18,,25.92,"Para fomentar un uso eficiente del agua en el sector agrícola, se promueve el estudio de incentivos para la implantación de una gestión sostenible del recurso en cultivos de regadío",2030,2020,,Spain,,ANNA
19,,5000,Se trata de diseñar un municipio amable que implique mejora de la calidad de vida para la ciudadanía a la vez que atractivo para el visitante. Es muy necesario por tanto elaborar un Plan de Sombras en las calles más transitadas y que peor acondicionadas están para la época estival.,2030,2020,,Spain,,ANNA
20,125.65,1145912,"Installazione di 12 impianti fotovoltaici sulle coperture degli edifici pubblici (3 a San Pietro, 6 aPieve di soligo e 3 a Reforntolo)",2020,2007,,Italy,it,AREA SAN PIETRO DI FELETTO - PIEVE DI SOLIGO - REFRONTOLO
21,,,,1990,1990,,Spain,,ASPA
22,,,,2020,2018,,Spain,,ASPA
23,,,,2025,2020,,Spain,,ASPA
24,,,,2020,2018,,Spain,,ASPA
