,name,country,emissions_baseline_year,percent_emissions_municipal,percent_emissions_tertiary,percent_emissions_residential,percent_emissions_public lighting,percent_emissions_transport,tons_co2_municipal,tons_co2_tertiary,tons_co2_residential,tons_co2_public lighting,tons_co2_transport,energy_consumption_baseline_year,percent_energy_consumption_municipal,percent_energy_consumption_tertiary,percent_energy_consumption_residential,percent_energy_consumption_public lighting,percent_energy_consumption_transport,mwh_energy_consumption_municipal,mwh_energy_consumption_tertiary,mwh_energy_consumption_residential,mwh_energy_consumption_public lighting,mwh_energy_consumption_transport,percent_energy_consumption_from_electricity,percent_energy_consumption_from_fossil fuels,mwh_energy_consumption_from_electricity,mwh_energy_consumption_from_fossil fuels,emissions_factor,tons_co2_per_capita,mwh_per_capita,percent_emissions_non-energy related,tons_co2_non-energy related,percent_energy_consumption_from_renewables,mwh_energy_consumption_from_renewables,percent_emissions_industry,tons_co2_industry,percent_energy_consumption_industry,mwh_energy_consumption_industry,percent_emissions_other,tons_co2_other,percent_energy_consumption_other,mwh_energy_consumption_other,percent_energy_consumption_from_heat/cold,mwh_energy_consumption_from_heat/cold
0,A BAÑA ,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A Bakonyért,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A Bola,Spain,2007,3.57,2.82,36.28,2.68,54.66,100.18482,79.21112,1019.27392,75.268,1535.78568,2007,3.18,2.58,33.98,2.31,57.96,334.24,271.58,3576.37,242.8,6100.45,22.77,77.23,2397.09,8128.35,IPCC,1.88,7.03,,,,,,,,,,,,,,
3,A Coruña,Spain,2009,1.93,21.17,36.47,,31.47,14505.8984,159403.283,274586.1674,,236974.056,2009,1.87,19.65,39.67,0.99,37.82,45664,481032,970963,24318,925723,35.68,64.01,864561,1551307,IPCC,3.06,9.82,8.97,67536,0.31,7514,,,,,,,,,,
4,A Estrada,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,IPCC,,,,,,,,,,,,,,,,
5,A GUARDA,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,IPCC,,,,,,,,,,,,,,,,
6,A ILLA DE AROUSA,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,IPCC,,,,,,,,,,,,,,,,
7,A LARACHA ,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,National/sub-national,,,,,,,,,,,,,,,,
8,A MERCA,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,A Mezquita,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A POBRA DO BROLLÓN,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,IPCC,,,,,,,,,,,,,,,,
11,A POBRA DO CARAMIÑAL,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,National/sub-national,,,,,,,,,,,,,,,,
12,A PONTENOVA,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,IPCC,,,,,,,,,,,,,,,,
13,A Peroxa,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,IPCC,,,,,,,,,,,,,,,,
14,A Pobra de Trives,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,A RÚA,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,National/sub-national,,,,,,,,,,,,,,,,
16,A TEIXEIRA,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,National/sub-national,,,,,,,,,,,,,,,,
17,ACERED,Spain,2010,7.13,71.40,,2.17,19.30,47.48841,475.71945,,14.4364,128.61993,2010,5.34,71.33,,1.46,21.87,120.05,1602.77,,32.81,491.33,34.18,63.18,767.95,1419.71,IPCC,3.03,10.21,,,2.64,59.3,,,,,,,,,,
18,ADEMUZ,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ADOR,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,AGGREGAZIONE ALBARETTO DELLA TORRE,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,AGGREGAZIONE CASTELLETTO STURA,Italy,2008,1.94,3.64,20.65,0.96,39.41,1375.69788,2578.18963,14610.47428,681.73518,27880.27488,2008,2.24,2.56,23.01,0.56,42.50,5591.67,6397.26,57516.39,1411.46,106216.07,17.49,80.94,43702.77,202276.02,IPCC,7.59,26.81,1.35,956.73,1.58,3944.94,32.03,22654.63889,29.13,72790.88,,,,,,
22,AGGREGAZIONE DIANO D'ALBA,Italy,2007,0.87,12.24,32.20,2.68,35.13,351.56852,4947.75028,13014.11371,1081.35489,14198.96716,2007,0.94,9.31,42.09,1.35,32.68,1563.13,15452.68,69851.71,2238.83,54246.26,13.81,77.33,22926.11,128346.92,IPCC,7.81,32.06,,,8.85,14695.25,16.89,6827.12483,13.63,22615.67,,,,,,
23,AGGREGAZIONE GENOLA,Italy,2008,0.55,8.12,17.69,0.78,42.76,567.65704,8321.94713,18136.24552,802.37892,43827.46095,2008,0.65,6.73,19.71,0.46,46.55,2340.95,24255.03,71030.89,1661.24,167733.7,18.86,79.90,67956.6,287934.57,IPCC,9.05,31.82,,,1.24,4467.48,30.10,30850.21288,25.90,93336.84,,,,,,
