,name,country,action_description,language,action_start_year,action_end_year,action_cost,action_website,action_co2_reduction
0,A Coruña,Spain,"Durante los últimos años se ha implantado una Plataforma para la Gestión Centralizada de la Energía en 52 edificios municipales, que en la actualidad permite llevar un registro en tiempo real de los consumos de electricidad y calor.
En los proximos años se ampliarán los parámetros de energía a otras fuentes, como el gas natural, y se integrará en la Plataforma Smart Coruña.
La implantación de la ISO 50001 para la gestión de este sistema, ha permitirá llevar a cabo la reducción de emisiones de CO2 a partir de la implantación de buenas prácticas entre los usuarios de los edificios y con las actuaciones destinadas a reducir los consumos innecesarios.",es,2013,2020,300000,,910
1,AIELO DE RUGAT,Spain,"Este programa es la aplicación de la metodología 50/50 en los colegios. Debe ir destinado a sensibilizar a todos los miembros de la comunidad educativa sobre la problemática ambiental de su entorno inmediato, concienciarlos de su responsabilidad individual y colectiva, y buscar la resolución de estos problemas estimulando su participación directa en la mejora de la gestión ambiental de los centros.",es,2020,2022,5000,,
2,AIELO DE RUGAT,Spain,"Se llevarán a cabo campañas puntuales, que informen sobre la posibilidad de contratación de energía ""verde"" por parte de los usuarios. Se pretende que el Ayuntamiento beneficie con una reducción parcial de los impuestos municipales para los comercios que compren electricidad procedente de fuentes de energía renovables certificada.",es,2020,2024,61,,
3,AIELO DE RUGAT,Spain,"La redacción de un Plan de Movilidad Urbana Sostenible (PMUS) es la herramienta básica de la planificación futura y desarrollo de la gestión de la movilidad sostenible dentro del término municipal. Los objetivos principales son potenciar el transporte sostenible y promover el desplazamiento eficiente, en detrimento del vehículo privado.",es,2020,2027,25950,,
4,AIELO DE RUGAT,Spain,Cuando el municipio sufre episodios de precipitaciones torrenciales pueden existir problemas de drenaje y alcantarillo. En materia de adaptación al Cambio Climático es relevante estudiar el uso de infraestructuras existentes para las descargas de sistemas de pluviales. ,,2020,2030,25000,,
5,AIELO DE RUGAT,Spain,Se trata de diseñar un municipio amable que implique mejora de la calidad de vida para la ciudadanía a la vez que atractivo para el visitante. Es muy necesario por tanto elaborar un Plan de Sombras en las calles más transitadas y que peor acondicionadas están para la época estival.,,2020,2030,3000,,
6,AIELO DE RUGAT,Spain,"Ante la situación actual y futura del municipio frente a las consecuencias del Cambio Climático, se hace imprescindible el replantearse la planificación urbanística municipal. Elaborar o revisar el PGOU, pues el municipio debe reordenarse y adaptarse al futuro previsto de riesgos climáticos ",,2020,2030,,,
7,ALBAIDA,Spain,"Este programa es la aplicación de la metodología 50/50 en los colegios. Debe ir destinado a sensibilizar a todos los miembros de la comunidad educativa sobre la problemática ambiental de su entorno inmediato, concienciarlos de su responsabilidad individual y colectiva, y buscar la resolución de estos problemas estimulando su participación directa en la mejora de la gestión ambiental de los centros.",es,2020,2003,12500,,
8,ALBAIDA,Spain,"Se llevarán a cabo campañas puntuales, que informen sobre la posibilidad de contratación de energía ""verde"" por parte de los usuarios. Se pretende que el Ayuntamiento beneficie con una reducción parcial de los impuestos municipales para los comercios que compren electricidad procedente de fuentes de energía renovables certificada.",es,2020,2024,1.858,,
9,ALBAIDA,Spain,"La redacción de un Plan de Movilidad Urbana Sostenible (PMUS) es la herramienta básica de la planificación futura y desarrollo de la gestión de la movilidad sostenible dentro del término municipal. Los objetivos principales son potenciar el transporte sostenible y promover el desplazamiento eficiente, en detrimento del vehículo privado.",es,2020,2027,898050,,
