,adhesion_date,country,latitude,longitude,name,population,url,ACTION,MONITOR
0,30/01/2019,Spain,42.961997275678996,-8.7582278251648,A BAÑA ,3967,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=26039,0,0
1,04/04/2012,Spain,43.371181488037,-8.3957395553589,A Coruña,245711,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=15473,1,0
2,02/03/2014,Spain,41.171138763428004,-1.6038500070572002,ACERED,243,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=18135,1,0
3,14/05/2019,Spain,41.901482497496,-8.8740804791451,A GUARDA,10013,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=26416,1,0
4,27/12/2019,Spain,42.44053793603,-7.7942601106452,A Peroxa,1819,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=27226,1,0
5,17/06/2020,Spain,42.012785786831,-7.0444035530089995,A Mezquita,1013,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=27576,0,0
6,12/12/2016,Spain,40.061340332031,-1.2869999408722,ADEMUZ,1092,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20019,0,0
7,01/08/2019,Hungary,47.263321758903,17.871921594532,A Bakonyért,27000,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=26995,0,0
8,28/11/2019,Spain,43.347526859512996,-7.1924400329589995,A PONTENOVA,2283,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=27409,1,0
9,26/01/2016,Spain,43.131999969482,-8.115699768066401,A Bola,1339,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19594,1,1
10,02/04/2019,Spain,42.391200890638,-7.4724278365081,A TEIXEIRA,332,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=26349,1,1
11,24/02/2021,Spain,42.212737839664996,-8.273423910141,A Cañiza,5122,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=28141,1,1
12,31/01/2019,Spain,43.248563160269,-8.582189083099399,A LARACHA ,11302,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=26033,1,1
13,28/02/2019,Spain,42.603265454838,-8.938995477786198,A POBRA DO CARAMIÑAL,9390,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=26202,1,1
14,01/04/2019,Spain,42.219093566707,-7.9085032579651,A MERCA,1911,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=26271,1,1
15,03/10/2019,Spain,42.688626391434,-8.4894704818726,A Estrada,20661,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=26914,1,1
16,12/09/2019,Spain,42.563851706118,-8.873863220214801,A ILLA DE AROUSA,4958,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=26990,1,1
17,20/04/2019,Spain,42.557245246661,-7.3932328820229,A POBRA DO BROLLÓN,1685,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=26344,1,1
18,01/06/2020,Spain,42.395081362428,-7.114055156707799,A RÚA,4314,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=27460,1,1
19,27/07/2020,Spain,42.339405103087,-7.253791780920401,A Pobra de Trives,2118,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=28013,1,1
20,01/03/2017,Italy,44.393001556396,8.142000198364299,AGGREGAZIONE DIANO D'ALBA,5643,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20117,1,1
21,03/08/2016,Italy,44.215301513671996,7.5149002075195,AGGREGAZIONE VICOFORTE,8567,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19973,1,1
22,17/02/2017,Italy,44.275699615479,8.710000038147,AGGREGAZIONE SALICETO,5018,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20194,1,1
23,28/11/2016,Italy,44.351501464844,7.395100116729701,AGGREGAZIONE GENOLA,1160,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20047,1,1
24,27/10/2016,Spain,38.918308258056996,-0.22563999891281,ADOR,1374,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19950,1,1
25,26/04/2014,Spain,41.814071655273,-1.5172300338745002,AINZÓN,1214,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=17918,1,1
26,07/03/2016,Greece,38.62377166748,21.409589767456,AGRINIO,92608,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19501,1,1
27,04/07/2016,Italy,44.444110870361,7.6392202377319,AGGREGAZIONE CASTELLETTO STURA,9322,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19797,1,1
28,22/11/2018,Spain,39.883,4.2669999999999995,AJUNTAMENT DES CASTELL,7348,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=26093,1,1
29,18/12/2015,Italy,44.465671539307,7.823009967804,AGGREGAZIONE MAGLIANO ALPI,9450,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19370,1,1
30,25/02/2019,Spain,42.762673259812004,-8.0190539360046,AGOLADA,2370,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=26225,1,1
31,18/04/2016,Spain,46890.0,-0.5494099855422999,AGULLENT,2395,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19631,1,1
32,23/02/2017,Italy,44.595951080321996,8.0643301010132,AGGREGAZIONE ALBARETTO DELLA TORRE,5952,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20075,1,1
33,14/04/2016,Spain,42.427318572998,3.1602001190185,AJUNTAMENT DE PORTBOU,1100,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20460,1,1
34,23/01/2020,Spain,38.876668174653,-0.5922746658325201,AIELO DE MALFERIT,4646,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=27521,1,1
35,06/09/2016,Spain,38.882110595703004,-0.34365999698639,AIELO DE RUGAT,200,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19977,1,1
36,21/06/2017,Spain,42.515609741211,1.245120048523,AJUNTAMENT DE TIRVIA,116,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20306,1,1
37,06/02/2015,Greece,38.249591827393,22.080759048462,AIGIALEIA,49872,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=18855,1,1
38,19/07/2012,Spain,42.0,2.6414299011230002,AJUNTAMENT D'ARGELAGUER,430,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=15912,1,1
39,19/11/2014,Greece,38.008060455321996,23.826419830322,AGIA PARASKEVI,59704,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=18746,1,1
40,01/07/2013,Spain,41.244869232178004,-1.1641000509262,ALADREN,67,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=17129,1,1
41,29/03/2016,Spain,38.839660644531,-0.52020001411438,ALBAIDA,5987,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19563,1,1
42,30/09/2015,Spain,39.544048309326,-0.34705001115799,ALBALAT DELS SORELLS,3937,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19223,1,1
43,29/09/2016,Spain,39.456340789795,-0.45985001325607,ALAQUÀS,29965,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19911,1,1
44,23/02/2017,Italy,,,ALBARETTO DELLA TORRE,CAMOCASTINOCERRETTO LANGHETREZZO TINELLAROCCHETTA BELBOCOSSANO BELBOPERLETTOSERRAVALLE LANGHELEQUIO BERRIAALBARETTO DELLA TORREBORGOMALEBENEVELLOCASTIGLIONE TINELLACISSONEARGUELLO,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20552,1,1
45,27/06/2013,Spain,41.827968597412,-1.4990799427032,ALBETA,149,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=17130,1,0
46,21/08/2013,Spain,41.819961547852,-1.4707100391388,ALBERITE DE SAN JUAN,99,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=18136,0,0
47,28/04/2016,Spain,39.39363861084,-0.7753099799156199,ALBORACHE,1136,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19639,1,0
48,20/06/2016,Spain,39.497959136963,-0.3512099981308,ALBORAYA,23572,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19767,1,1
49,11/09/2014,Spain,38.038459777831996,-1.3742699623108,ALBUDEITE,1423,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=18656,1,1
50,25/05/2016,Spain,39.544700622559,-0.3236800134182,ALBUIXECH,3920,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19709,1,1
51,17/05/2013,Spain,41.786098480225,-1.6961200237274,ALCALA DE MONCAYO,205,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=17131,1,1
52,27/06/2013,Spain,41.814758300781,-1.1947100162506001,ALCALÁ DE EBRO,283,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=17344,1,1
53,20/05/2012,Spain,37.969509124755994,-1.2151099443436002,ALCANTARILLA,41331,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=18335,1,1
54,25/09/2014,Italy,45.3466796875,11.867719650269,ALBIGNASEGO,25000,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=18480,1,1
55,27/07/2020,Spain,39.720876170904,-6.887597943895299,ALCÁNTARA,1420,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=27619,1,1
