"action_co2_reduction","action_cost","action_description","action_end_year","action_start_year","action_website","country","language","name"
75,162756,"Renovação da rede de Iluminação Pública no município de Santa Marta de Penaguião, através da instalação de 177 luminárias eficientes e 1.131 balastros eletrónicos",2020,2009,"","Portugal","pt"," Santa Marta de Penaguião"
266,39100,"Instalação de 2 sistemas de produção de energia solar fotovoltaica em regime de microgeração no Edifício do Paços do concelho e no Quartel dos Bombeiros Voluntários de Santa Marta de Penaguião",2020,2009,"","Portugal","en"," Santa Marta de Penaguião"
11,22116,"Implementação de equipamentos de melhoria de eficiência energética em equipamentos desportivos municipais (pavilhão gimnodesportivo) do município de Santa Marta de Penaguião.",2020,2009,"","Portugal","pt"," Santa Marta de Penaguião"
910,3e+05,"Durante los últimos años se ha implantado una Plataforma para la Gestión Centralizada de la Energía en 52 edificios municipales, que en la actualidad permite llevar un registro en tiempo real de los consumos de electricidad y calor.
En los proximos años se ampliarán los parámetros de energía a otras fuentes, como el gas natural, y se integrará en la Plataforma Smart Coruña.
La implantación de la ISO 50001 para la gestión de este sistema, ha permitirá llevar a cabo la reducción de emisiones de CO2 a partir de la implantación de buenas prácticas entre los usuarios de los edificios y con las actuaciones destinadas a reducir los consumos innecesarios.",2020,2013,"","Spain","es","A Coruña"
1,NA,"There are more and more seniors rediscovering cycling. This is because cycling is a great opportunity to keep able-bodied and agile. The ‘FahrRad in Aachen’ (Cycling in Aachen) campaign has set itself the goal of helping more citizens of Aachen start travelling by bike, a goal which is valid for all age groups. Along with this goal, great importance is also placed on the aspect of road safety. Cyclists don’t have a crush zone around them when riding around town, and so it’s important that they feel safe when on the bike.
In 2011, the City’s campaign ‘FahrRad in Aachen’ (Cycling in Aachen) for the first time offered several dates for a free training programme together with the Aachen Verkehrswacht (German Road Safety Organisation) and the Road Safety Advisory Service from the Aachen Police",2018,2011,"","Germany","en","Aachen"
NA,NA,"Electric bikes are a key element in electric mobility for the City of Aachen. To show the importance of this issue, the City has provided seven Pedelecs electric bikes for City employees from interested City offices to use for short trips for work and business around the city. Project DescriptionEvery year, employees with the various offices at the City of Aachen drive hundreds of kilometres in private cars. This contributes to the private car being used more often than is necessary for travel to work. In many cases, due to a perceived lack of alternatives and rough topography, even short inner-city trips are made with a car and not with a bike. ",2020,2011,"","Germany","en","Aachen"
580,NA,"By using the real estate register for solar power, property owners can identify at a glance whether the roof of their property is suitable for the installation of a solar power system. By entering their address owners are guided to their own ‘roof’ to see whether it is suited to heat or electricity generation from solar energy. The roof areas are shown in different colours, representing the various degrees of suitability. By clicking on the image of the building’s roof, users can obtain data on the solar potential of the building – the usable area of the roof and the amount of solar energy hitting the roof. It also allows the estimation of system dimension may be installed and how many kilograms of CO2 will thus be saved. The real estate register for solar power came online in September 2011 and is designed to give building and home owners orientation and guidance.",2013,2011," http://www.aachen.de/DE/stadt_buerger/energie_klimaschutz/solarkataster/ueberblick/index.html ","Germany","en","Aachen"
1,NA,"What is the City of Aachen doing in order to make the air in the city cleaner? In the areas of transport and energy, measures to this end were put in place in a Clean Air Action Plan in 2009. A plan of this type had to be created as the maximum permissible EU values for air pollution measured at the monitoring station in the city centre had been exceeded in past years. The introduction of the Clean Air Action Plan is an attempt to avoid implementing a low emissions tone. The City launched the ‘mitmachen-durchatmen’ (join in and breathe deeply) campaign to motivate as many people as possible to join in and support the action plan. In May of 2008 the City of Aachen launched the ‘Aachen Initiative for Clean Air’.
More information: www.mitmachen-durchatmen.de",2020,2009," http://www.aachen.de/DE/stadt_buerger/umwelt/luft-stadtklima/luftguetepartnerschaft/index.html ","Germany","en","Aachen"
1050,NA,"Since the summer of 2011, the City of Aachen’s urban energy management plan has been using E-View, an instrument designed for controlling purposes. As a result of using E-View in 196 city buildings, the City of Aachen has had around 61 % of electricity consumption, around 64 % of water consumption and 67 % of heat consumption subjected to a monitoring process. More than 1000 energy meters direct data on energy and water consumption, as well as data on internal temperatures and ambient temperatures to a central databank. E-View registers all consumption rates seven days a week, twenty-four hours a day. The comprehensive use of the E-View monitoring system creates a substantiated basis allowing for the immediate identification of consumption rates that are noticeably too high and for the institution of appropriate countermeasures. ",2011,2010," www.eview-aachen.de ","Germany","en","Aachen"
11242.51,NA,"Every spring and autumn, the energy house of the city (BEA vzw), professionally assisted by independant study and consultancy bureau Zero Emission Solutions, organises 3 group purchases to reduce the energy use, make life more agreeable and save the environment.
In autumn 2016 there was a group purchase of LED lights, high efficiency boilers, pellets and pellet stoves. These are a more environment friendly  alternative for traditional heating and lighting. 
In the spring of 2017 electric bicycles, insulation for outside walls and cavity walls and solar panels could be bought.

A group purchase enables us to get a better price. At the same time Zero Emission Solutions guards the quality of the purchases. Less concerns for the buyers is central here. BEA vzw helps our citizens trough the whole procedure and can offer them an interest free loan up to 10.000 Euro.
",2020,2015," http://www.energiegroepsaankoop.be/bea/ ","Belgium","en","Aalst"
1176,25000,"Every year the City offers 5 enterprises the chance of an energy audit and action plan. In collaboration with an energy coach they can carry out the suggested energy saving measures, for instance efficient insulation, energy-saving heating and cooling, well considered lighting…

The enterprise is coached to carry out the energy plan and gets help with making tendering specifications, consulting the market, analysing bids and monitoring installations. 

The enterprise commits itself to implement the improvements with a payback period under 2 years. With their energy action plan an enterprise can easily reduce their energy use with 20%. A good deal for the  environment and financially beneficial.

Enterprises (administration, distribution and production) and organisations (care, education) with an energy use higher than 50.000 kWh electricity can apply for the coaching. 
",2020,2016," http://www.co2coaching.be/ ","Belgium","en","Aalst"
