"adhesion_date","country","latitude","longitude","name","population","url"
"17/07/2017","Italy",42.125820159912,12.500559806824," Castelnuovo di Porto ",8900,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=10314"
"27/09/2013","Italy",45.700340270996,9.0126695632935," Cirimido",2100,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=7422"
"24/09/2015","Spain",41.565299987793,1.0693999528885," Ivars d'Urgell",1578,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=9536"
"21/03/2016","Spain",38.914619445801,-0.55059999227524," L'OLLERIA",8596,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=9626"
"05/05/2015","Spain",41.50373840332,1.3424700498581," Les Piles ",214,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=9116"
"26/09/2013","Italy",44.721599578857,9.7030897140503," MORFASSO",1070,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=7403"
"23/05/2016","Bosnia-herzegovina",43.343780517578,17.807760238648," Mostar",113169,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=9670"
"Rocca San Casciano,Portico e San Benedetto,Tredozio,Modigliana,Dovadola, Premilcuore,Santa Sofia,Meldola,Civitella di Romagna,Forlimpopoli ,Bertinoro ,Predappio,Galeata,Castrocaro Terme e Terra del Sole ","Italy",43.976718902588,11.77672958374," Premilcuore",796,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=7105"
"19/04/2013","Portugal",41.211120605469,-7.787230014801," Santa Marta de Penaguião",7274,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=7083"
"31/03/2017","Spain",28.049850463867,-15.574489593506," Valleseco",3886,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=10247"
"30/09/2015","Romania",47.233299255371,22.799999237061,"<U+0218>IMLEU SILVANIEI",17434,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=9221"
"13/09/2012","Cyprus",35.103729248047,33.33251953125,"<U+0391>glantzia",22000,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=5930"
"26/01/2016","Spain",43.131999969482,-8.1156997680664,"A Bola",1339,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=9595"
"04/04/2012","Spain",43.371181488037,-8.3957395553589,"A Coruña",247482,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=5474"
"20/03/2014","Slovenia",45.928359985352,13.640029907227,"Å empeter-Vrtojba",6451,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=8126"
"06/01/2009","Germany",50.798698425293,6.056049823761,"Aachen",244509,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=1601"
"16/06/2014","Denmark",57.255001068115,9.5517997741699,"Aalborg",205809,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=8366"
"26/11/2008","Norway",62.472198486328,6.1494798660278,"Aalesund",42317,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=1862"
