,name,country,population,adhesion_date,latitude,longitude,url,ACTION,MONITOR
0,A BAÑA ,Spain,3967,30/01/2019,42.961997275679,-8.7582278251648,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=26039,0,1
1,A Bakonyért,Hungary,27000,01/08/2019,47.263321758903,17.871921594532,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=26995,0,1
2,A Coruña,Spain,245711,04/04/2012,43.371181488037,-8.3957395553589,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=15473,1,1
3,A Estrada,Spain,20661,03/10/2019,42.688626391434,-8.4894704818726,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=26914,1,1
4,A GUARDA,Spain,10013,14/05/2019,41.901482497496,-8.8740804791451,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=26416,1,1
5,A ILLA DE AROUSA,Spain,4958,12/09/2019,42.563851706118,-8.8738632202148,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=26990,1,1
6,A LARACHA ,Spain,11302,31/01/2019,43.248563160269,-8.5821890830994,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=26033,1,1
7,A MERCA,Spain,1911,01/04/2019,42.219093566707,-7.9085032579651,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=26271,1,1
8,A Mezquita,Spain,1013,17/06/2020,42.012785786831,-7.044403553009,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=27576,0,1
9,A PONTENOVA,Spain,2283,28/11/2019,43.347526859513,-7.192440032959,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=27409,0,1
10,A Peroxa,Spain,1819,27/12/2019,42.44053793603,-7.7942601106452,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=27226,1,1
11,A Pobra de Trives,Spain,2118,27/07/2020,42.339405103087,-7.2537917809204,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=28013,1,1
12,A RÚA,Spain,4314,01/06/2020,42.395081362428,-7.1140551567078,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=27460,1,1
13,A TEIXEIRA,Spain,332,02/04/2019,42.391200890638,-7.4724278365081,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=26349,1,1
14,ACERED,Spain,243,02/03/2014,41.171138763428,-1.6038500070572,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=18135,0,1
15,ADEMUZ,Spain,1092,12/12/2016,40.061340332031,-1.2869999408722,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20019,1,1
16,ADOR,Spain,1374,27/10/2016,38.918308258057,-0.22563999891281,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19950,1,1
17,AGGREGAZIONE ALBARETTO DELLA TORRE,Italy,5952,23/02/2017,44.595951080322,8.0643301010132,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20075,1,1
18,AGGREGAZIONE CASTELLETTO STURA,Italy,9322,04/07/2016,44.444110870361,7.6392202377319,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19797,0,1
19,AGGREGAZIONE DIANO D'ALBA,Italy,5643,01/03/2017,44.393001556396,8.1420001983643,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20117,0,1
20,AGGREGAZIONE GENOLA,Italy,1160,28/11/2016,44.351501464844,7.3951001167297,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20047,0,1
21,AGGREGAZIONE MAGLIANO ALPI,Italy,9450,18/12/2015,44.465671539307,7.823009967804,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19370,1,1
22,AGGREGAZIONE SALICETO,Italy,5018,17/02/2017,44.275699615479,8.710000038147,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20194,1,1
23,AGGREGAZIONE VICOFORTE,Italy,8567,03/08/2016,44.215301513672,7.5149002075195,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19973,1,1
24,AGIA PARASKEVI,Greece,59704,19/11/2014,38.008060455322,23.826419830322,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=18746,0,1
25,AGOLADA,Spain,2370,25/02/2019,42.762673259812,-8.0190539360046,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=26225,1,1
26,AGRINIO,Greece,92608,07/03/2016,38.62377166748,21.409589767456,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19501,1,1
27,AGULLENT,Spain,2395,18/04/2016,46890.0,-0.5494099855423,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19631,1,1
28,AIELO DE MALFERIT,Spain,4646,23/01/2020,38.876668174653,-0.59227466583252,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=27521,1,1
29,AIELO DE RUGAT,Spain,200,06/09/2016,38.882110595703,-0.34365999698639,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19977,1,1
30,AIGIALEIA,Greece,49872,06/02/2015,38.249591827393,22.080759048462,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=18855,0,1
31,AINZÓN,Spain,1214,26/04/2014,41.814071655273,-1.5172300338745,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=17918,0,1
32,AJUNTAMENT D'ARGELAGUER,Spain,430,19/07/2012,42.0,2.641429901123,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=15912,1,1
33,AJUNTAMENT DE PORTBOU,Spain,1100,14/04/2016,42.427318572998,3.1602001190185,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20460,1,1
34,AJUNTAMENT DE TIRVIA,Spain,116,21/06/2017,42.515609741211,1.245120048523,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20306,1,1
35,AJUNTAMENT DES CASTELL,Spain,7348,22/11/2018,39.883,4.267,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=26093,1,1
36,ALADREN,Spain,67,01/07/2013,41.244869232178,-1.1641000509262,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=17129,1,1
37,ALAQUÀS,Spain,29965,29/09/2016,39.456340789795,-0.45985001325607,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19911,0,1
38,ALBAIDA,Spain,5987,29/03/2016,38.839660644531,-0.52020001411438,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19563,0,1
39,ALBALAT DELS SORELLS,Spain,3937,30/09/2015,39.544048309326,-0.34705001115799,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19223,1,1
40,ALBERITE DE SAN JUAN,Spain,99,21/08/2013,41.819961547852,-1.4707100391388,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=18136,0,1
41,ALBETA,Spain,149,27/06/2013,41.827968597412,-1.4990799427032,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=17130,1,1
42,ALBIGNASEGO,Italy,25000,25/09/2014,45.3466796875,11.867719650269,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=18480,0,1
43,ALBORACHE,Spain,1136,28/04/2016,39.39363861084,-0.77530997991562,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19639,1,1
44,ALBORAYA,Spain,23572,20/06/2016,39.497959136963,-0.3512099981308,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19767,1,1
45,ALBUDEITE,Spain,1423,11/09/2014,38.038459777832,-1.3742699623108,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=18656,1,1
46,ALBUIXECH,Spain,3920,25/05/2016,39.544700622559,-0.3236800134182,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19709,0,1
47,ALCALA DE MONCAYO,Spain,205,17/05/2013,41.786098480225,-1.6961200237274,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=17131,0,1
48,ALCALÁ DE EBRO,Spain,283,27/06/2013,41.814758300781,-1.1947100162506,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=17344,0,1
49,ALCANTARILLA,Spain,41331,20/05/2012,37.969509124756,-1.2151099443436,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=18335,0,1
50,ALCÀSSER,Spain,9615,28/09/2016,39.368251800537,-0.44468998908997,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19940,1,1
51,ALCÁNTARA,Spain,1420,27/07/2020,39.720876170904,-6.8875979438953,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=27619,1,1
52,ALDAIA,Spain,31246,31/05/2016,39.465068817139,-0.46154001355171,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19903,0,1
53,ALEXANDRIA,Greece,41604,16/03/2015,40.628719329834,22.444919586182,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=18932,0,1
54,ALFAFAR,Spain,20772,14/04/2016,39.416961669922,-0.40002998709679,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19588,1,1
55,ALFAMEN,Spain,1577,05/06/2013,41.438301086426,-1.2445900440216,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=17138,0,1
