,country,emissions_baseline_year,emissions_factor,energy_consumption_baseline_year,mwh_energy_consumption_from_electricity,mwh_energy_consumption_from_fossil fuels,mwh_energy_consumption_from_heat/cold,mwh_energy_consumption_from_renewables,mwh_energy_consumption_industry,mwh_energy_consumption_municipal,mwh_energy_consumption_other,mwh_energy_consumption_public lighting,mwh_energy_consumption_residential,mwh_energy_consumption_tertiary,mwh_energy_consumption_transport,mwh_per_capita,name,percent_emissions_industry,percent_emissions_municipal,percent_emissions_non-energy related,percent_emissions_other,percent_emissions_public lighting,percent_emissions_residential,percent_emissions_tertiary,percent_emissions_transport,percent_energy_consumption_from_electricity,percent_energy_consumption_from_fossil fuels,percent_energy_consumption_from_heat/cold,percent_energy_consumption_from_renewables,percent_energy_consumption_industry,percent_energy_consumption_municipal,percent_energy_consumption_other,percent_energy_consumption_public lighting,percent_energy_consumption_residential,percent_energy_consumption_tertiary,percent_energy_consumption_transport,tons_co2_industry,tons_co2_municipal,tons_co2_non-energy related,tons_co2_other,tons_co2_per_capita,tons_co2_public lighting,tons_co2_residential,tons_co2_tertiary,tons_co2_transport
0,Spain,2007,IPCC,2007,2397.09,8128.35,,,,334.24,,242.8,3576.37,271.58,6100.45,7.03,A Bola,,3.57,,,2.68,36.28,2.82,54.66,22.77,77.23,,,,3.18,,2.31,33.98,2.58,57.96,,100.18482,,,1.88,75.268,1019.27392,79.21112,1535.78568
1,Spain,2009,IPCC,2009,864561,1551307,,7514,,45664,,24318,970963,481032,925723,9.82,A Coruña,,1.93,8.97,,,36.47,21.17,31.47,35.68,64.01,,0.31,,1.87,,0.99,39.67,19.65,37.82,,14505.8984,67536,,3.06,,274586.1674,159403.283,236974.056
2,Spain,2010,IPCC,2010,767.95,1419.71,,59.3,,120.05,,32.81,,1602.77,491.33,10.21,ACERED,,7.13,,,2.17,,71.40,19.30,34.18,63.18,,2.64,,5.34,,1.46,,71.33,21.87,,47.48841,,,3.03,14.4364,,475.71945,128.61993
3,Spain,,,,,,,,,,,,,,,,ADEMUZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Spain,,,,,,,,,,,,,,,,ADOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Italy,,,,,,,,,,,,,,,,AGGREGAZIONE ALBARETTO DELLA TORRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Italy,2008,IPCC,2008,43702.77,202276.02,,3944.94,72790.88,5591.67,,1411.46,57516.39,6397.26,106216.07,26.81,AGGREGAZIONE CASTELLETTO STURA,32.03,1.94,1.35,,0.96,20.65,3.64,39.41,17.49,80.94,,1.58,29.13,2.24,,0.56,23.01,2.56,42.50,22654.63889,1375.69788,956.73,,7.59,681.73518,14610.47428,2578.18963,27880.27488
7,Italy,2007,IPCC,2007,22926.11,128346.92,,14695.25,22615.67,1563.13,,2238.83,69851.71,15452.68,54246.26,32.06,AGGREGAZIONE DIANO D'ALBA,16.89,0.87,,,2.68,32.20,12.24,35.13,13.81,77.33,,8.85,13.63,0.94,,1.35,42.09,9.31,32.68,6827.12483,351.56852,,,7.81,1081.35489,13014.11371,4947.75028,14198.96716
8,Italy,2008,IPCC,2008,67956.6,287934.57,,4467.48,93336.84,2340.95,,1661.24,71030.89,24255.03,167733.7,31.82,AGGREGAZIONE GENOLA,30.10,0.55,,,0.78,17.69,8.12,42.76,18.86,79.90,,1.24,25.90,0.65,,0.46,19.71,6.73,46.55,30850.21288,567.65704,,,9.05,802.37892,18136.24552,8321.94713,43827.46095
9,Italy,2007,IPCC,2007,17168.38,112136.58,,13945.62,14210.6,1705.29,,668.46,65270.23,13204.9,48191.1,28.55,AGGREGAZIONE SALICETO,12.44,0.99,,,0.94,36.88,12.46,36.29,11.98,78.28,,9.74,9.92,1.19,,0.47,45.56,9.22,33.64,4289.83848,342.47987,,,6.87,322.86618,12720.32132,4299.45392,12517.80954
10,Italy,2008,IPCC,2008,45082.74,390497.84,,3935.16,260894.36,6963.56,-311300,2326.24,68291.13,7347.36,93116.46,51.30,AGGREGAZIONE VICOFORTE,55.38,1.70,0.72,0.00,1.04,16.20,2.51,22.45,10.26,88.85,,0.90,204.40,5.46,-243.89,1.82,53.50,5.76,72.95,59959.43819,1844.12871,783.72,0.0020200000018812,12.64,1123.57392,17533.11254,2713.26274,24304.1492
11,Greece,2014,IPCC,2014,125765.91,366787.82,,,,6519.86,,2192.13,278618.66,96138.51,109084.57,8.25,AGIA PARASKEVI,,2.18,,,1.05,58.40,26.84,11.53,25.53,74.47,,,,1.32,,0.45,56.57,19.52,22.15,,5254.2032,,,4.04,2518.75737,140741.4315,64689.05907,27793.07481
12,Greece,,,,,,,,,,,,,,,,AGRINIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Spain,,,,,,,,,,,,,,,,AGULLENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Spain,,,,,,,,,,,,,,,,AIELO DE RUGAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Greece,2013,IPCC,2013,111866.82,359090.04,,38644.76,,32873.62,,2677.04,236134.54,12853,225063.42,10.22,AIGIALEIA,,10.52,,,0.91,50.24,2.96,35.36,21.95,70.46,,7.58,,6.45,,0.53,46.34,2.52,44.16,,17276.53608,,,3.29,1499.1424,82516.34926,4867.451,58081.55238
