country,latitude,longitude,name,population
Spain,43.13199997,-8.115699768,A Bola,1339
Spain,43.37118149,-8.395739555,A Coruña,247482
Spain,41.17113876,-1.603850007,ACERED,243
Spain,40.06134033,-1.286999941,ADEMUZ,1092
Spain,38.91830826,-0.225639999,ADOR,1374
Italy,44.59595108,8.064330101,AGGREGAZIONE ALBARETTO DELLA TORRE,5952
Italy,44.44411087,7.639220238,AGGREGAZIONE CASTELLETTO STURA,9322
Italy,44.39300156,8.142000198,AGGREGAZIONE DIANO D'ALBA,5643
Italy,44.35150146,7.395100117,AGGREGAZIONE GENOLA,1160
Italy,44.27569962,8.710000038,AGGREGAZIONE SALICETO,5018
Italy,44.21530151,7.514900208,AGGREGAZIONE VICOFORTE,8567
Greece,38.00806046,23.82641983,AGIA PARASKEVI,59704
Greece,38.62377167,21.40958977,AGRINIO,92608
Spain,46890,-0.549409986,AGULLENT,2395
Spain,38.8821106,-0.343659997,AIELO DE RUGAT,200
Greece,38.24959183,22.08075905,AIGIALEIA,49872
Spain,41.81407166,-1.517230034,AINZÓN,1214
Spain,42,2.641429901,AJUNTAMENT D'ARGELAGUER,430
Spain,42.3447113,3.065229893,AJUNTAMENT DE GARRIGUELLA,854
Spain,42.51560974,1.245120049,AJUNTAMENT DE TIRVIA,116
Spain,41.24486923,-1.164100051,ALADREN,67
Spain,39.45634079,-0.459850013,ALAQUÀS,29965
Spain,38.83966064,-0.520200014,ALBAIDA,5987
Spain,39.54404831,-0.347050011,ALBALAT DELS SORELLS,3937
Spain,41.81996155,-1.470710039,ALBERITE DE SAN JUAN,99
Spain,41.8279686,-1.499079943,ALBETA,149
Italy,45.34667969,11.86771965,ALBIGNASEGO,25000
Spain,39.39363861,-0.77530998,ALBORACHE,1136
Spain,39.49795914,-0.351209998,ALBORAYA,23572
Spain,39.54470062,-0.323680013,ALBUIXECH,3920
Spain,41.78609848,-1.696120024,ALCALA DE MONCAYO,205
Spain,41.8147583,-1.194710016,ALCALÁ DE EBRO,283
Spain,39.3682518,-0.444689989,ALCASSER,9615
Spain,39.79790115,-0.702220023,ALCUBLAS,690
Spain,39.46506882,-0.461540014,ALDAIA,31246
Greece,40.62871933,22.44491959,ALEXANDRIA,41604
Spain,39.41696167,-0.400029987,ALFAFAR,20772
Spain,41.43830109,-1.244590044,ALFAMEN,1577
Spain,39.76269913,-0.355360001,ALFARA DE LA BARONIA,535
Spain,39.54658127,-0.385430008,ALFARA DEL PATRIARCA,3228
Spain,38.90401077,-0.495249987,ALFARRASÍ,1309
Spain,38.92974091,-0.250580013,ALFAUIR,451
Spain,41.3294487,-0.385720015,ALFORQUE,86
Spain,39.78076935,-0.367190003,ALGAR DE PALANCIA,503
Spain,41.81483078,0.638180017,ALGERRI,437
Spain,39.75336838,-0.362489998,ALGIMIA DE ALFARA,1047
Spain,41.7979393,0.567659974,ALMENAR,3502
Spain,38.94372177,-0.181260005,ALMOINES,2302
Spain,41.27814102,-0.791580021,ALMONACID DE LA CUBA,270
Spain,41.3981781,-1.320600033,ALMONACID DE LA SIERRA,824
Spain,39.29277039,-0.413210005,ALMUSSAFES,8744
Greece,39.18231964,22.75881004,ALMYROS,18614
Spain,39.51047134,-0.357179999,ALMÀSSERA,7514
Spain,39.87611008,-1.013030052,ALPUENTE,640
Spain,39.15118027,-0.43336001,ALZIRA,44518
Spain,39.83644867,-0.81457001,ANDILLA,400
