,ID,URL,country,latitude,longitude,name,population,commitment_phase,inventory_phase,target_phase,plan_phase,action_plan_url,adaptation_plan_url,building_sector_emissions,transportation_sector_emissions,waste_sector_emissions,industrial_sector_emissions,other_sector_emissions
0,1203,https://www.globalcovenantofmayors.org/cities/melbourne/,Australia,-37.8142175,144.9631608,Melbourne,136336,True,True,True,True,http://www.melbourne.vic.gov.au/Sustainability/CouncilActions/Documents/zero_net_emissions_update_2014.pdf,https://www.melbourne.vic.gov.au/AboutCouncil/PlansandPublications/strategies/Documents/climate_change_adaptation_strategy.PDF,80.7,15.3,4.0,,
1,1205,https://www.globalcovenantofmayors.org/cities/copenhagen/,Denmark,55.6867243,12.5700724,Copenhagen,602504,True,True,True,True,http://subsite.kk.dk/sitecore/content/Subsites/CityOfCopenhagen/SubsiteFrontpage/Business/Growth_and_partnerships/~/media/F5A7EC91E7AC4B0891F37331642555C4.ashx,http://en.klimatilpasning.dk/media/568851/copenhagen_adaption_plan.pdf,61.1,37.5,1.4,,
2,1207,https://www.globalcovenantofmayors.org/cities/cape-town/,South Africa,-33.9289919,18.417396,Cape Town,4012441,True,True,True,True,http://www.capetown.gov.za/en/EnvironmentalResourceManagement/publications/Documents/Moving_Mountains_Energy+CC_booklet_2011-11.pdf,https://www.capetown.gov.za/en/EnvironmentalResourceManagement/publications/Documents/Framework_for_Adaptation_to_Climate_Change_(FAC4T)_08_2006_38200713832_465.pdf,61.9,26.4,11.8,,
3,1209,https://www.globalcovenantofmayors.org/cities/paris/,France,48.8566101,2.3514992,Paris,2265886,True,True,True,True,http://api-site-cdn.paris.fr/images/70921,http://api-site-cdn.paris.fr/images/70921,79.2,12.7,8.2,,
4,1379,https://www.globalcovenantofmayors.org/cities/buenos-aires/,Argentina,-34.6075615,-58.4370759,Buenos Aires,3043704,True,True,True,True,http://cdn2.buenosaires.gob.ar/espaciopublico/apra/pacc_2020.pdf,http://cdn2.buenosaires.gob.ar/espaciopublico/apra/pacc_2020.pdf,57.8,28.1,14.1,,
5,1383,https://www.globalcovenantofmayors.org/cities/sydney/,Australia,-33.8548156,151.2164539,Sydney,195929,True,True,True,True,http://sydneyyoursay.com.au/climate-change-adaptation,http://sydneyyoursay.com.au/climate-change-adaptation,84.6,5.1,10.3,,
6,1385,https://www.globalcovenantofmayors.org/cities/curitiba/,Brazil,-25.4295696,-49.2712361,Curitiba,1851215,True,True,True,True,,,,,,,
7,1387,https://www.globalcovenantofmayors.org/cities/rio-de-janeiro/,Brazil,-22.9110136,-43.2093726,Rio de Janeiro,6498837,True,True,True,True,http://www.rio.rj.gov.br/dlstatic/10112/1712030/4114527/CRJ_InventarioGEE2012_resumo_tecnicoINGLESFINAL1.pdf,http://centrodeoperacoes.rio/assets/PEF-0112-14-LVR-210x280-Resiliencia-43.pdf,54.3,32.0,13.7,,
8,1389,https://www.globalcovenantofmayors.org/cities/sao-paulo/,Brazil,-23.5506506,-46.6333823,São Paulo,11895893,True,True,True,True,,,,,,,
9,1391,https://www.globalcovenantofmayors.org/cities/vancouver/,Canada,49.2608944,-123.1139382,Vancouver,631486,True,True,True,True,http://vancouver.ca/green-vancouver/greenest-city-2020-action-plan.aspx,http://vancouver.ca/files/cov/Vancouver-Climate-Change-Adaptation-Strategy-2012-11-07.pdf,52.6,43.3,4.1,,
10,1393,https://www.globalcovenantofmayors.org/cities/santiago-metropolitan-region/,Chile,-33.60669095,-70.60538451,Santiago Metropolitan Region,7314176,False,False,False,False,,,,,,,
11,1395,https://www.globalcovenantofmayors.org/cities/bogota/,Colombia,4.5980478,-74.0760866,Bogotá,"7,980,001",True,True,True,True,http://ambientebogota.gov.co/web/cop21/plan-distrital-de-cambio-climatico,http://ambientebogota.gov.co/web/cop21/plan-distrital-de-cambio-climatico,54.7,37.8,7.5,,
12,1397,https://www.globalcovenantofmayors.org/cities/quito/,Ecuador,-0.220164,-78.5123273,Quito,2239191,True,True,True,True,http://www.quitoambiente.gob.ec/index.php?option=com_docman&task=doc_download&gid=207&Itemid=59&lang=es,http://www.quitoambiente.gob.ec/index.php?option=com_docman&task=doc_download&gid=207&Itemid=59&lang=es,34.5,52.2,13.3,,
13,1407,https://www.globalcovenantofmayors.org/cities/mexico-city/,Mexico,19.4326009,-99.1333415,Mexico City,8874724,True,True,True,True,http://www.sedema.df.gob.mx/sedema/index.php/temas-ambientales/cambio-climatico,http://www.sedema.df.gob.mx/sedema/images/archivos/temas-ambientales/cambio-climatico/ELACCM-2014-2020-completo.pdf,31.8,50.7,17.5,,
14,1413,https://www.globalcovenantofmayors.org/cities/lagos/,Nigeria,6.4550575,3.3941795,Lagos,21000000,True,True,True,True,,,49.65,17.7,32.66,,
15,1415,https://www.globalcovenantofmayors.org/cities/oslo/,Norway,59.9132694,10.7391112,Oslo,658390,True,True,True,True,http://carbonn.org/index.php?id=312&tx_datareport_pi1%5Buid%5D=339,https://www.msb.se/Upload/Forebyggande/Naturolyckor_klimat/nationell_plattform/MCR-tr%C3%A4ff%2027-28%20mars%202014/Klimatilpasningsstrategi%20Oslo%20kommune.pdf,37.9,58.0,4.1,,
16,1419,https://www.globalcovenantofmayors.org/cities/lima/,Peru,-12.0621064,-77.0365255,Lima,8755262,True,True,True,True,http://www.munlima.gob.pe/convocatorias-de-personal-pgrlm/doc_download/447511789-ordenanza-n%C2%B0-1836,http://www.munlima.gob.pe/convocatorias-de-personal-pgrlm/doc_download/447511789-ordenanza-n%C2%B0-1836,40.2,40.3,19.6,,
17,1421,https://www.globalcovenantofmayors.org/cities/warsaw/,Poland,52.2319237,21.0067265,Warsaw,1629037,True,True,True,True,,,80.67,19.02,0.31,,
18,1429,https://www.globalcovenantofmayors.org/cities/tshwane/,South Africa,-25.7451739,28.18707,Tshwane,2900000,True,True,True,True,,,44.5,16.4,39.1,,
19,1431,https://www.globalcovenantofmayors.org/cities/durban/,South Africa,-29.8618249,31.009909,Durban/eThekwini,3700000,True,True,True,True,https://www.globalcovenantofmayors.org/wp-content/uploads/2015/06/DCCS_Final_Durban.pdf,,70.2,28.3,1.5,0.0,0.3
20,1433,https://www.globalcovenantofmayors.org/cities/johannesburg/,South Africa,-26.2049999,28.049722,Johannesburg,4900000,True,True,True,True,https://www.globalcovenantofmayors.org/wp-content/uploads/2015/06/CCSF-CoJ-Final.pdf,http://www.preventionweb.net/files/38589_38507climatechangeadaptationplancit.pdf,63.82,29.15,7.03,,
21,1435,https://www.globalcovenantofmayors.org/cities/seoul/,South Korea,37.50246075,126.8604226,Seoul,10204000,True,True,True,True,http://www.globalcovenantofmayors.org/wp-content/uploads2015/06/1-1-Summary-of-Action-Plans-to-implement-Promise-of-Seoul_EN-1.pdf,http://www.globalcovenantofmayors.org/wp-content/uploads2015/06/2.-SMG_Summary_Detailed-Implementation-Plans-to-adapt-to-Climate-Change_EN-1.pdf,72.26,19.18,5.58,2.92,0.05
22,1437,https://www.globalcovenantofmayors.org/cities/stockholm/,Sweden,59.3251172,18.0710935,Stockholm,923516,True,True,True,True,http://www.stockholm.se/PageFiles/188342/Stockholm%20action%20plan%20for%20climat%20and%20energy%202012-2015.pdf,,51.3,48.2,0.4,,
23,1439,https://www.globalcovenantofmayors.org/cities/london-uk/,United Kingdom,51.507351,-0.127758,"London, UK",8600000,True,True,True,True,,https://www.london.gov.uk/sites/default/files/Adaptation-oct11.pdf,77.0,18.3,4.7,,
24,1445,https://www.globalcovenantofmayors.org/cities/australian-capital-territory/,Australia,-35.4883502,149.0026942,Australian Capital Territory (Canberra),400000,True,True,True,True,http://www.environment.act.gov.au/__data/assets/pdf_file/0006/581136/AP2_Sept12_PRINT_NO_CROPS_SML.pdf,http://www.environment.act.gov.au/__data/assets/pdf_file/0004/912478/ACT-Climate-Change-Adaptation-Strategy.pdf,,,,,
25,1449,https://www.globalcovenantofmayors.org/cities/philadelphia/,United States,39.9523993,-75.1635898,Philadelphia,1555072,True,True,True,True,https://beta.phila.gov/media/20161101174249/2016-Greenworks-Vision_Office-of-Sustainability.pdf,https://beta.phila.gov/media/20160504162056/Growing-Stronger-Toward-a-Climate-Ready-Philadelphia.pdf,73.0,17.8,9.2,,
26,1451,https://www.globalcovenantofmayors.org/cities/caracas/,Venezuela,10.506098,-66.9146016,Caracas,3319426,True,True,True,True,,,,,,,
27,1453,https://www.globalcovenantofmayors.org/cities/capivari/,Brazil,-22.9951439,-47.5071499,Capivari,51949,True,True,True,True,,,,,,,
28,1455,https://www.globalcovenantofmayors.org/cities/monclova/,Mexico,26.9007929,-101.4165915,Monclova,350000,True,True,True,True,,,,,,,
29,1489,https://www.globalcovenantofmayors.org/cities/chihuahua/,Mexico,28.660574,-106.074978,Chihuahua,878062,True,True,True,True,,,,,,,
30,1493,https://www.globalcovenantofmayors.org/cities/la-paz/,Bolivia,-16.4956385,-68.1336345,La Paz,840000,True,True,True,True,,,,,,,
31,1495,https://www.globalcovenantofmayors.org/cities/temixco/,Mexico,18.8485748,-99.2232945,Temixco,108126,False,False,False,False,,,,,,,
32,1497,https://www.globalcovenantofmayors.org/cities/catbalogan/,Philippines,11.7753199,124.8829549,Catbalogan,94317,True,True,True,True,,,,,,,
33,1501,https://www.globalcovenantofmayors.org/cities/toluca-de-lerdo/,Mexico,19.292545,-99.6569006,Toluca de Lerdo,819661,True,True,True,True,,,,,,,
34,1507,https://www.globalcovenantofmayors.org/cities/quezon-city/,Philippines,14.6509905,121.0486155,Quezon City,3005413,True,True,True,True,,,,,,,
35,1511,https://www.globalcovenantofmayors.org/cities/santa-rosa/,Philippines,14.3143529,121.112131,Santa Rosa,284670,False,False,False,False,,,,,,,
36,1513,https://www.globalcovenantofmayors.org/cities/almada/,Portugal,38.6803861,-9.1559562,Almada,174030,True,True,True,True,http://www.covenantofmayors.eu/about/signatories_en.html?city_id=359&seap,http://www.kri.sk/web_object/489.pdf,,,,,
37,1515,https://www.globalcovenantofmayors.org/cities/dakar/,Senegal,14.693425,-17.4479379,Dakar,1056000,True,True,True,True,,,,,,,
38,1519,https://www.globalcovenantofmayors.org/cities/kwadukuza/,South Africa,-29.3357219,31.296489,KwaDukuza,280000,True,True,True,True,https://www.globalcovenantofmayors.org/wp-content/uploads/2015/06/KwaDukuza_Climate_Change_Response_Strategy.pdf,,84.0,12.44,2.63,,
39,1521,https://www.globalcovenantofmayors.org/cities/nelson-mandela-bay/,South Africa,-33.89404835,25.5934847,Nelson Mandela Bay,1152115,True,True,True,True,https://www.globalcovenantofmayors.org/wp-content/uploads/2015/06/Nelson-Mandela-Bay-Climate-Change-and-Green-Economy-Action-Plan-Final.pdf,,,,,,
40,1523,https://www.globalcovenantofmayors.org/cities/pontevedra/,Spain,42.4318876,-8.6431591,Pontevedra,82946,False,False,False,False,,,,,,,
41,1525,https://www.globalcovenantofmayors.org/cities/vaxjo/,Sweden,56.8787183,14.8094385,Växjö,75000,True,True,True,True,http://www.globalcovenantofmayors.org/wp-content/uploads2015/06/Vaxjo-Energiplan_eng_webb_2011.pdf,http://www.globalcovenantofmayors.org/wp-content/uploads2015/06/Vaxjo-Klimatanpassningsplan_01.pdf,14.5,58.7,6.1,2.0,18.0
42,1529,https://www.globalcovenantofmayors.org/cities/adelaide/,Australia,-34.9274283,138.599899,Adelaide,22690,True,True,True,True,https://www.globalcovenantofmayors.org/wp-content/uploads/2015/06/carbon-neutral-action-plan_Adelaide.pdf,,56.6,38.5,4.8,,
43,1535,https://www.globalcovenantofmayors.org/cities/bristol/,United Kingdom,51.453493,-2.5973936,Bristol,432500,True,True,True,True,http://www.covenantofmayors.eu/about/signatories_en.html?city_id=378&seap,http://talkofthecities.iclei.org/blog/bristol-has-plans-for-the-future-and-they-dont-include-carbon/,,,,,
44,1537,https://www.globalcovenantofmayors.org/cities/singra/,Bangladesh,24.5015688,89.1528833,Singra,364346,False,False,False,False,,,,,,,
45,1549,https://www.globalcovenantofmayors.org/cities/belo-horizonte/,Brazil,-19.9227317,-43.9450947,Belo Horizonte,2513794,True,True,True,True,http://www.globalcovenantofmayors.org/wp-content/uploads2015/06/2.-PREGEE-Belo-Horizonte.pdf,http://www.globalcovenantofmayors.org/wp-content/uploads2015/06/2.-PREGEE-Belo-Horizonte.pdf,17.9,71.4,10.6,,
46,1559,https://www.globalcovenantofmayors.org/cities/fortaleza/,Brazil,-3.7304511,-38.5217988,Fortaleza,2315116,True,True,True,True,,,,,,,
47,1561,https://www.globalcovenantofmayors.org/cities/portland/,United States,45.5202471,-122.6741948,Portland,619360,True,True,True,True,https://www.portlandoregon.gov/bps/49989,http://www.portlandoregon.gov/bps/article/480742,61.9,36.7,1.4,,
48,1565,https://www.globalcovenantofmayors.org/cities/itu/,Brazil,-23.2638827,-47.2988919,Itu,135366,True,True,True,True,,,,,,,
49,1571,https://www.globalcovenantofmayors.org/cities/montreal/,Canada,45.4972159,-73.6103641,Montréal,1886481,True,True,True,True,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ENVIRO_FR/MEDIA/DOCUMENTS/PLAN_COLLECTIVITE_2013-2020_VF.PDF,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ENVIRO_FR/MEDIA/DOCUMENTS/2017_PACCAM_2015-020_SUMMARY.PDF,50.0,45.7,4.3,0.0,0.0
