"entity_id","name","entity_type","country","commitment","area","density","GDP","budget","population"
199,"AXA Group","Investor","France","Set an internal carbon price by 2021;;Reduce CO2e emissions from purchased utilities by 35% from 2018 to 2025;;Reduce CO2e emissions intensity of specific operations and upstream activities by 25% from 2012 to 2020;;Reduce direct CO2e emissions by 24% from 2018 to 2025;;2050 Pathways Platform;;Climate Action 100+;;InsuResilience Global Partnership Vision 2025;;Montreal Carbon Pledge;;Ocean Risk and Resilience Action Alliance (ORRAA);;Climate Ambition Alliance: Net Zero 2050;;Science Based Targets initiative;;Net Zero Asset Owner Alliance;;Responsible Corporate Engagement in Climate Policy;;RE100;;Remove Commodity-driven Deforestation","","",NA,NA,""
403,"Fuyo General Lease Co Ltd","Investor","Japan","USD 88 million of green bonds issued in 2018;;Reduce operational CO2e emissions by 12.1% from 2010 to 2022;;RE100","","",NA,NA,""
516,"Aareal Bank AG","Investor","Germany","Reduce specific CO2e emissions from employee commuting by 20% from 2017 to 2020;;Reduce specific CO2e emissions from purchased utilities by 100% from 2013 to 2020","","",NA,NA,""
756,"Gecina","Investor","France","Internal carbon price in use;;Reduce CO2e emissions intensity of operations and downstream activities by 48% from 2014 to 2030;;Science Based Targets initiative","","",NA,NA,""
1149,"Goldman Sachs Group Inc.","Investor","United States of America","Internal carbon price in use;;Reduce operational CO2e emissions by 15% from 2013 to 2020;;Reduce operational CO2e emissions by 50% from 2013 to 2036;;RE100","","",NA,NA,""
1160,"Absa Group Limited","Investor","South Africa","Internal carbon price in use","","",NA,NA,""
1226,"Grant Thornton UK","Investor","United Kingdom of Great Britain and Northern Ireland","Reduce specific CO2e emissions from upstream and downstream activities by 13% from 2018 to 2023;;Reduce specific operational CO2e emissions by 15% from 2018 to 2023;;Science Based Targets initiative","","",NA,NA,""
1248,"Great Portland Estates","Investor","United Kingdom of Great Britain and Northern Ireland","Set an internal carbon price by 2021;;Reduce CO2e emissions intensity of operations and downstream activities by 69% from 2016 to 2030","","",NA,NA,""
1259,"Great-West Lifeco Inc.","Investor","Canada","Internal carbon price in use;;Reduce specific operational CO2e emissions by 27.3% from 2013 to 2025;;Reduce specific operational CO2e emissions by 50.4% from 2013 to 2036","","",NA,NA,""
1369,"Growthpoint Properties","Investor","South Africa","USD 93 million of green bonds issued in 2018;;Reduce CO2e emissions intensity of operations by 5% from 2015 to 2020;;Science Based Targets initiative","","",NA,NA,""
1381,"Growthpoint Properties Australia","Investor","Australia","Reduce operational CO2e emissions by 10% from 2017 to 2021;;Reduce operational CO2e emissions by 100% from 2016 to 2050","","",NA,NA,""
1424,"Grupo Cooperativo Cajamar","Investor","Spain","Internal carbon price in use;;Reduce CO2e emissions from business travel by 3.11% from 2014 to 2020;;Reduce CO2e emissions from purchased utilities by 100% from 2014 to 2020;;Reduce CO2e emissions intensity of purchased utilities by 100% from 2014 to 2020;;Reduce direct CO2e emissions by 6% from 2014 to 2020;;Reduce direct CO2e emissions by 9.33% from 2014 to 2020","","",NA,NA,""
