"entity_id","name","entity_type","country","area","area_unit","area_year","density","density_unit","density_year","population","population_year","employee_range","employees_year","revenue_year","revenue_currency","business_activity","climate_action_timeframe","themes","commitment_type","commit_text","cooperative_description","climate_action_type","cross_cutting_themes","sdgs","dataprovider_link","dataprovider_name"
199,"AXA Group","Investor","France","","",NA,"","",NA,"",NA,"100,000+",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Medium term",NA,"Individual actions","Set an internal carbon price by 2021","","Carbon Price Establishment","Finance","Climate Action","https://www.cdp.net/en/responses/1287","CDP"
199,"AXA Group","Investor","France","","",NA,"","",NA,"",NA,"100,000+",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Medium term",NA,"Individual actions","Reduce CO2e emissions from purchased utilities by 35% from 2018 to 2025","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/1287","CDP"
199,"AXA Group","Investor","France","","",NA,"","",NA,"",NA,"100,000+",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Short term",NA,"Individual actions","Reduce CO2e emissions intensity of specific operations and upstream activities by 25% from 2012 to 2020","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/1287","CDP"
199,"AXA Group","Investor","France","","",NA,"","",NA,"",NA,"100,000+",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Medium term",NA,"Individual actions","Reduce direct CO2e emissions by 24% from 2018 to 2025","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/1287","CDP"
199,"AXA Group","Investor","France","","",NA,"","",NA,"",NA,"100,000+",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Cooperative initiative participation",NA,"Cooperative actions","2050 Pathways Platform","Build climate resilience for communities, farmers and workers along value chains","Cross-cutting",NA,"",NA,NA
199,"AXA Group","Investor","France","","",NA,"","",NA,"",NA,"100,000+",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Cooperative initiative participation","Industry","Cooperative actions","Climate Action 100+","Ensure the world’s largest corporate greenhouse gas emitters take necessary action on climate change","Cross-cutting",NA,"",NA,NA
199,"AXA Group","Investor","France","","",NA,"","",NA,"",NA,"100,000+",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Cooperative initiative participation","Industry","Cooperative actions","InsuResilience Global Partnership Vision 2025","Governments, multilateral organizations, private sector and civil society will work closely together to protect 500 million poor and vulnerable people against climate shocks by 2025 and to cover 10 percent of annual disaster losses through pre-arranged risk financing instruments.","Cross-cutting","Resilience","",NA,NA
199,"AXA Group","Investor","France","","",NA,"","",NA,"",NA,"100,000+",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Cooperative initiative participation",NA,"Cooperative actions","Montreal Carbon Pledge","Measure and publicly disclose the carbon footprint of their investment portfolios on an annual basis","Cross-cutting",NA,"",NA,NA
199,"AXA Group","Investor","France","","",NA,"","",NA,"",NA,"100,000+",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Cooperative initiative participation","Ocean and coastal zones","Cooperative actions","Ocean Risk and Resilience Action Alliance (ORRAA)","Drive investment into coastal natural capital by pioneering ground-breaking finance products that incentivise blended finance and private investment.","Cross-cutting","Finance","",NA,NA
199,"AXA Group","Investor","France","","",NA,"","",NA,"",NA,"100,000+",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Cooperative initiative participation","Energy","Cooperative actions","Climate Ambition Alliance: Net Zero 2050","Commit to achieve net zero CO2 emissions by 2050","Emission Reduction","Mitigation","",NA,NA
199,"AXA Group","Investor","France","","",NA,"","",NA,"",NA,"100,000+",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Cooperative initiative participation","Energy","Cooperative actions","Science Based Targets initiative","Adopt a science-based GHG emissions reduction target","Emission Reduction","Mitigation","",NA,NA
199,"AXA Group","Investor","France","","",NA,"","",NA,"",NA,"100,000+",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Cooperative initiative participation","Industry","Cooperative actions","Net Zero Asset Owner Alliance","Transition investment portfolios (more than 2.4 trillion USD globally) to net-zero GHG emissions by 2050 consistent with a maximum temperature rise of 1.5°C","Investment","Finance;;Mitigation","",NA,NA
199,"AXA Group","Investor","France","","",NA,"","",NA,"",NA,"100,000+",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Cooperative initiative participation",NA,"Cooperative actions","Responsible Corporate Engagement in Climate Policy","Responsible corporate engagement in climate policy","Policy Establishment","Policy","",NA,NA
199,"AXA Group","Investor","France","","",NA,"","",NA,"",NA,"100,000+",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Cooperative initiative participation","Energy","Cooperative actions","RE100","Procure 100% of electricity from renewable sources","Renewable Energy","Mitigation","",NA,NA
199,"AXA Group","Investor","France","","",NA,"","",NA,"",NA,"100,000+",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Cooperative initiative participation","Land use","Cooperative actions","Remove Commodity-driven Deforestation","Remove commodity-driven deforestation from all supply chains by 2020","Resource Consumption",NA,"",NA,NA
403,"Fuyo General Lease Co Ltd","Investor","Japan","","",NA,"","",NA,"",NA,"",NA,NA,"","Banks, Diverse Financials, and Insurance","No target",NA,"Individual actions","USD 88 million of green bonds issued in 2018","","Bonds Issuance","Finance","Climate Action","https://www.climatebonds.net/cbi/pub/data/bonds","ClimateBondsInitiative"
403,"Fuyo General Lease Co Ltd","Investor","Japan","","",NA,"","",NA,"",NA,"",NA,NA,"","Banks, Diverse Financials, and Insurance","Medium term",NA,"Individual actions","Reduce operational CO2e emissions by 12.1% from 2010 to 2022","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/58901","CDP"
403,"Fuyo General Lease Co Ltd","Investor","Japan","","",NA,"","",NA,"",NA,"",NA,NA,"","Banks, Diverse Financials, and Insurance","Cooperative initiative participation","Energy","Cooperative actions","RE100","Procure 100% of electricity from renewable sources","Renewable Energy","Mitigation","",NA,NA
516,"Aareal Bank AG","Investor","Germany","","",NA,"","",NA,"",NA,"1,000 to 10,000",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Short term",NA,"Individual actions","Reduce specific CO2e emissions from employee commuting by 20% from 2017 to 2020","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/97","CDP"
516,"Aareal Bank AG","Investor","Germany","","",NA,"","",NA,"",NA,"1,000 to 10,000",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Short term",NA,"Individual actions","Reduce specific CO2e emissions from purchased utilities by 100% from 2013 to 2020","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/97","CDP"
756,"Gecina","Investor","France","","",NA,"","",NA,"",NA,"<1,000",2017,2017,"USD","Real Estate","No target",NA,"Individual actions","Internal carbon price in use","","Carbon Price Establishment","Finance","Climate Action","https://www.cdp.net/en/responses/7139","CDP"
756,"Gecina","Investor","France","","",NA,"","",NA,"",NA,"<1,000",2017,2017,"USD","Real Estate","Medium term",NA,"Individual actions","Reduce CO2e emissions intensity of operations and downstream activities by 48% from 2014 to 2030","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/7139","CDP"
756,"Gecina","Investor","France","","",NA,"","",NA,"",NA,"<1,000",2017,2017,"USD","Real Estate","Cooperative initiative participation","Energy","Cooperative actions","Science Based Targets initiative","Adopt a science-based GHG emissions reduction target","Emission Reduction","Mitigation","",NA,NA
1149,"Goldman Sachs Group Inc.","Investor","United States of America","","",NA,"","",NA,"",NA,"10,000-100,000",2017,2017,"USD","Banks, Diverse Financials, and Insurance","No target",NA,"Individual actions","Internal carbon price in use","","Carbon Price Establishment","Finance","Climate Action","https://www.cdp.net/en/responses/7599","CDP"
1149,"Goldman Sachs Group Inc.","Investor","United States of America","","",NA,"","",NA,"",NA,"10,000-100,000",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Short term",NA,"Individual actions","Reduce operational CO2e emissions by 15% from 2013 to 2020","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/7599","CDP"
1149,"Goldman Sachs Group Inc.","Investor","United States of America","","",NA,"","",NA,"",NA,"10,000-100,000",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Long term",NA,"Individual actions","Reduce operational CO2e emissions by 50% from 2013 to 2036","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/7599","CDP"
1149,"Goldman Sachs Group Inc.","Investor","United States of America","","",NA,"","",NA,"",NA,"10,000-100,000",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Cooperative initiative participation","Energy","Cooperative actions","RE100","Procure 100% of electricity from renewable sources","Renewable Energy","Mitigation","",NA,NA
1160,"Absa Group Limited","Investor","South Africa","","",NA,"","",NA,"",NA,"",NA,NA,"","","No target",NA,"Individual actions","Internal carbon price in use","","Carbon Price Establishment","Finance","Climate Action","https://www.cdp.net/en/responses/138","CDP"
1226,"Grant Thornton UK","Investor","United Kingdom of Great Britain and Northern Ireland","","",NA,"","",NA,"",NA,"",NA,NA,"","Professional Services","Medium term",NA,"Individual actions","Reduce specific CO2e emissions from upstream and downstream activities by 13% from 2018 to 2023","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/62862","CDP"
1226,"Grant Thornton UK","Investor","United Kingdom of Great Britain and Northern Ireland","","",NA,"","",NA,"",NA,"",NA,NA,"","Professional Services","Medium term",NA,"Individual actions","Reduce specific operational CO2e emissions by 15% from 2018 to 2023","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/62862","CDP"
1226,"Grant Thornton UK","Investor","United Kingdom of Great Britain and Northern Ireland","","",NA,"","",NA,"",NA,"",NA,NA,"","Professional Services","Cooperative initiative participation","Energy","Cooperative actions","Science Based Targets initiative","Adopt a science-based GHG emissions reduction target","Emission Reduction","Mitigation","",NA,NA
1248,"Great Portland Estates","Investor","United Kingdom of Great Britain and Northern Ireland","","",NA,"","",NA,"",NA,"",NA,NA,"","Banks, Diverse Financials, and Insurance","Medium term",NA,"Individual actions","Set an internal carbon price by 2021","","Carbon Price Establishment","Finance","Climate Action","https://www.cdp.net/en/responses/7702","CDP"
1248,"Great Portland Estates","Investor","United Kingdom of Great Britain and Northern Ireland","","",NA,"","",NA,"",NA,"",NA,NA,"","Banks, Diverse Financials, and Insurance","Medium term",NA,"Individual actions","Reduce CO2e emissions intensity of operations and downstream activities by 69% from 2016 to 2030","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/7702","CDP"
1259,"Great-West Lifeco Inc.","Investor","Canada","","",NA,"","",NA,"",NA,"10,000-100,000",2017,2017,"USD","Banks, Diverse Financials, and Insurance","No target",NA,"Individual actions","Internal carbon price in use","","Carbon Price Establishment","Finance","Climate Action","https://www.cdp.net/en/responses/7690","CDP"
1259,"Great-West Lifeco Inc.","Investor","Canada","","",NA,"","",NA,"",NA,"10,000-100,000",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Medium term",NA,"Individual actions","Reduce specific operational CO2e emissions by 27.3% from 2013 to 2025","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/7690","CDP"
1259,"Great-West Lifeco Inc.","Investor","Canada","","",NA,"","",NA,"",NA,"10,000-100,000",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Long term",NA,"Individual actions","Reduce specific operational CO2e emissions by 50.4% from 2013 to 2036","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/7690","CDP"
1369,"Growthpoint Properties","Investor","South Africa","","",NA,"","",NA,"",NA,"",NA,2017,"USD","Real Estate","No target",NA,"Individual actions","USD 93 million of green bonds issued in 2018","","Bonds Issuance","Finance","Climate Action","https://www.climatebonds.net/cbi/pub/data/bonds","ClimateBondsInitiative"
1369,"Growthpoint Properties","Investor","South Africa","","",NA,"","",NA,"",NA,"",NA,2017,"USD","Real Estate","Short term",NA,"Individual actions","Reduce CO2e emissions intensity of operations by 5% from 2015 to 2020","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/7776","CDP"
1369,"Growthpoint Properties","Investor","South Africa","","",NA,"","",NA,"",NA,"",NA,2017,"USD","Real Estate","Cooperative initiative participation","Energy","Cooperative actions","Science Based Targets initiative","Adopt a science-based GHG emissions reduction target","Emission Reduction","Mitigation","",NA,NA
1381,"Growthpoint Properties Australia","Investor","Australia","","",NA,"","",NA,"",NA,"",NA,NA,"","Banks, Diverse Financials, and Insurance","Medium term",NA,"Individual actions","Reduce operational CO2e emissions by 10% from 2017 to 2021","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/58686","CDP"
1381,"Growthpoint Properties Australia","Investor","Australia","","",NA,"","",NA,"",NA,"",NA,NA,"","Banks, Diverse Financials, and Insurance","Long term",NA,"Individual actions","Reduce operational CO2e emissions by 100% from 2016 to 2050","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/58686","CDP"
1424,"Grupo Cooperativo Cajamar","Investor","Spain","","",NA,"","",NA,"",NA,"",NA,NA,"","Banks, Diverse Financials, and Insurance","No target",NA,"Individual actions","Internal carbon price in use","","Carbon Price Establishment","Finance","Climate Action","https://www.cdp.net/en/responses/54747","CDP"
1424,"Grupo Cooperativo Cajamar","Investor","Spain","","",NA,"","",NA,"",NA,"",NA,NA,"","Banks, Diverse Financials, and Insurance","Short term",NA,"Individual actions","Reduce CO2e emissions from business travel by 3.11% from 2014 to 2020","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/54747","CDP"
1424,"Grupo Cooperativo Cajamar","Investor","Spain","","",NA,"","",NA,"",NA,"",NA,NA,"","Banks, Diverse Financials, and Insurance","Short term",NA,"Individual actions","Reduce CO2e emissions from purchased utilities by 100% from 2014 to 2020","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/54747","CDP"
1424,"Grupo Cooperativo Cajamar","Investor","Spain","","",NA,"","",NA,"",NA,"",NA,NA,"","Banks, Diverse Financials, and Insurance","Short term",NA,"Individual actions","Reduce CO2e emissions intensity of purchased utilities by 100% from 2014 to 2020","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/54747","CDP"
1424,"Grupo Cooperativo Cajamar","Investor","Spain","","",NA,"","",NA,"",NA,"",NA,NA,"","Banks, Diverse Financials, and Insurance","Short term",NA,"Individual actions","Reduce direct CO2e emissions by 6% from 2014 to 2020","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/54747","CDP"
1424,"Grupo Cooperativo Cajamar","Investor","Spain","","",NA,"","",NA,"",NA,"",NA,NA,"","Banks, Diverse Financials, and Insurance","Short term",NA,"Individual actions","Reduce direct CO2e emissions by 9.33% from 2014 to 2020","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/54747","CDP"
1445,"Grupo Financiero Banorte SAB de CV","Investor","Mexico","","",NA,"","",NA,"",NA,"10,000-100,000",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Medium term",NA,"Individual actions","Set an internal carbon price by 2021","","Carbon Price Establishment","Finance","Climate Action","https://www.cdp.net/en/responses/22734","CDP"
1445,"Grupo Financiero Banorte SAB de CV","Investor","Mexico","","",NA,"","",NA,"",NA,"10,000-100,000",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Short term",NA,"Individual actions","Reduce CO2e emissions intensity of operations by 30% from 2009 to 2020","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/22734","CDP"
1445,"Grupo Financiero Banorte SAB de CV","Investor","Mexico","","",NA,"","",NA,"",NA,"10,000-100,000",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Short term",NA,"Individual actions","Reduce CO2e emissions intensity of operations by 50% from 2013 to 2020","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/22734","CDP"
1445,"Grupo Financiero Banorte SAB de CV","Investor","Mexico","","",NA,"","",NA,"",NA,"10,000-100,000",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Short term",NA,"Individual actions","Reduce operational CO2e emissions by 14% from 2013 to 2020","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/22734","CDP"
1445,"Grupo Financiero Banorte SAB de CV","Investor","Mexico","","",NA,"","",NA,"",NA,"10,000-100,000",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Long term",NA,"Individual actions","Reduce operational CO2e emissions by 54% from 2013 to 2050","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/22734","CDP"
1445,"Grupo Financiero Banorte SAB de CV","Investor","Mexico","","",NA,"","",NA,"",NA,"10,000-100,000",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Cooperative initiative participation",NA,"Cooperative actions","Put a Price on Carbon - Business Leadership Criteria on Carbon Pricing","Set an internal carbon price, publicly advocate and communicate on progress","Carbon Price Establishment","Finance","",NA,NA
1445,"Grupo Financiero Banorte SAB de CV","Investor","Mexico","","",NA,"","",NA,"",NA,"10,000-100,000",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Cooperative initiative participation",NA,"Cooperative actions","2050 Pathways Platform","Build climate resilience for communities, farmers and workers along value chains","Cross-cutting",NA,"",NA,NA
1445,"Grupo Financiero Banorte SAB de CV","Investor","Mexico","","",NA,"","",NA,"",NA,"10,000-100,000",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Cooperative initiative participation","Energy","Cooperative actions","Science Based Targets initiative","Adopt a science-based GHG emissions reduction target","Emission Reduction","Mitigation","",NA,NA
1445,"Grupo Financiero Banorte SAB de CV","Investor","Mexico","","",NA,"","",NA,"",NA,"10,000-100,000",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Cooperative initiative participation",NA,"Cooperative actions","Responsible Corporate Engagement in Climate Policy","Responsible corporate engagement in climate policy","Policy Establishment","Policy","",NA,NA
1467,"Grupo de Inversiones Suramericana SA","Investor","Colombia","","",NA,"","",NA,"",NA,"10,000-100,000",2013,2017,"USD","Banks, Diverse Financials, and Insurance","Short term",NA,"Individual actions","Reduce specific CO2e emissions from purchased utilities by 20% from 2017 to 2020","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/37482","CDP"
1720,"HDFC Bank Ltd","Investor","India","","",NA,"","",NA,"",NA,"",NA,NA,"","Banks, Diverse Financials, and Insurance","Medium term",NA,"Individual actions","Reduce CO2e emissions intensity of operations by 10% from 2019 to 2022","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/8167","CDP"
1857,"HSBC Holdings plc","Investor","United Kingdom of Great Britain and Northern Ireland","","",NA,"","",NA,"",NA,"100,000+",2017,2017,"USD","Banks, Diverse Financials, and Insurance","No target",NA,"Individual actions","USD 1.4 billion of green bonds issued in 2018","","Bonds Issuance","Finance","Climate Action","https://www.climatebonds.net/cbi/pub/data/bonds","ClimateBondsInitiative"
1857,"HSBC Holdings plc","Investor","United Kingdom of Great Britain and Northern Ireland","","",NA,"","",NA,"",NA,"100,000+",2017,2017,"USD","Banks, Diverse Financials, and Insurance","No target",NA,"Individual actions","USD 547 million of green bonds issued in 2015","","Bonds Issuance","Finance","Climate Action","https://www.climatebonds.net/cbi/pub/data/bonds","ClimateBondsInitiative"
1857,"HSBC Holdings plc","Investor","United Kingdom of Great Britain and Northern Ireland","","",NA,"","",NA,"",NA,"100,000+",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Medium term",NA,"Individual actions","Reduce CO2e emissions from purchased utilities by 100% from 2011 to 2030","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/8611","CDP"
1857,"HSBC Holdings plc","Investor","United Kingdom of Great Britain and Northern Ireland","","",NA,"","",NA,"",NA,"100,000+",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Short term",NA,"Individual actions","Reduce CO2e emissions intensity of operations and upstream activities by 43% from 2011 to 2020","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/8611","CDP"
1857,"HSBC Holdings plc","Investor","United Kingdom of Great Britain and Northern Ireland","","",NA,"","",NA,"",NA,"100,000+",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Short term",NA,"Individual actions","Reduce operational CO2e emissions by 35% from 2011 to 2020","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/8611","CDP"
1857,"HSBC Holdings plc","Investor","United Kingdom of Great Britain and Northern Ireland","","",NA,"","",NA,"",NA,"100,000+",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Cooperative initiative participation",NA,"Cooperative actions","2050 Pathways Platform","Build climate resilience for communities, farmers and workers along value chains","Cross-cutting",NA,"",NA,NA
1857,"HSBC Holdings plc","Investor","United Kingdom of Great Britain and Northern Ireland","","",NA,"","",NA,"",NA,"100,000+",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Cooperative initiative participation","Energy","Cooperative actions","Science Based Targets initiative","Adopt a science-based GHG emissions reduction target","Emission Reduction","Mitigation","",NA,NA
1857,"HSBC Holdings plc","Investor","United Kingdom of Great Britain and Northern Ireland","","",NA,"","",NA,"",NA,"100,000+",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Cooperative initiative participation","Energy","Cooperative actions","RE100","Procure 100% of electricity from renewable sources","Renewable Energy","Mitigation","",NA,NA
2005,"Hammerson","Investor","United Kingdom of Great Britain and Northern Ireland","","",NA,"","",NA,"",NA,"<1,000",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Short term",NA,"Individual actions","Reduce CO2e emissions intensity of operations and upstream activities by 20% from 2015 to 2020","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/8051","CDP"
2005,"Hammerson","Investor","United Kingdom of Great Britain and Northern Ireland","","",NA,"","",NA,"",NA,"<1,000",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Short term",NA,"Individual actions","Reduce operational CO2e emissions by 100% from 2015 to 2020","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/8051","CDP"
2026,"Hana Financial Group","Investor","Republic of Korea","","",NA,"","",NA,"",NA,"",NA,2017,"USD","Banks, Diverse Financials, and Insurance","Medium term",NA,"Individual actions","Set an internal carbon price by 2021","","Carbon Price Establishment","Finance","Climate Action","https://www.cdp.net/en/responses/22507","CDP"
2026,"Hana Financial Group","Investor","Republic of Korea","","",NA,"","",NA,"",NA,"",NA,2017,"USD","Banks, Diverse Financials, and Insurance","Medium term",NA,"Individual actions","Reduce operational CO2e emissions by 21% from 2015 to 2025","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/22507","CDP"
