"entity_id","name","entity_type","country","commitment","area","density","GDP","budget","population","iso"
201,"Barletta","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"94,603","ITA"
202,"Barni","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"600","ITA"
203,"Barrali","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"1,123","ITA"
204,"Barumini","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"1,339","ITA"
205,"Barzago","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"2,566","ITA"
206,"Barzana","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"1,645","ITA"
207,"Barzanò","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"5,203","ITA"
208,"Baselice","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"2,497","ITA"
209,"Basiglio","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"8,024","ITA"
210,"Basiliano","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"0","ITA"
212,"Baucina","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"2,015","ITA"
213,"Baveno","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"4,888","ITA"
214,"Bazzano","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"6,896","ITA"
215,"Beinasco","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"18,185","ITA"
216,"Bellagio","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"3,085","ITA"
217,"Bellante","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"7,176","ITA"
218,"Belluno","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"36,618","ITA"
219,"Belmonte Piceno","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"650","ITA"
220,"Bema","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"0","ITA"
221,"Berbenno","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"2,432","ITA"
222,"Bergamo","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"119,144","ITA"
223,"Bergantino","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"2,617","ITA"
224,"Berlingo","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"2,727","ITA"
225,"Bernalda","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"12,258","ITA"
226,"Bernareggio","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"9,485","ITA"
227,"Besate","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"2,042","ITA"
228,"Besnate","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"5,437","ITA"
