"entity_id","name","entity_type","country","commitment","area","density","GDP","budget","population","iso"
203,"Barrali","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"1,123","ITA"
210,"Basiliano","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"0","ITA"
220,"Bema","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"0","ITA"
244,"Bolotana","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"2,846","ITA"
249,"Bonea","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"1,466","ITA"
257,"Borore","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"2,200","ITA"
273,"Buccheri","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"0","ITA"
274,"Bucciano","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"2,093","ITA"
276,"Budoia","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"0","ITA"
280,"Buscemi","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"0","ITA"
290,"Caldarola","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"1,886","ITA"
291,"Calendasco","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"0","ITA"
294,"Calto","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"0","ITA"
299,"Camerota","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"0","ITA"
302,"Campagna","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"15,311","ITA"
309,"Campora","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"0","ITA"
314,"Caneva","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"0","ITA"
317,"Cannalonga","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"0","ITA"
322,"Capizzi","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"3,407","ITA"
324,"Capoliveri","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"3,887","ITA"
367,"Cassaro","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"780","ITA"
380,"Castelmassa","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"0","ITA"
383,"Castelnovo Del Friuli","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"0","ITA"
385,"Castino","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"0","ITA"
392,"Cavareno","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"0","ITA"
402,"Ceranesi","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"3,965","ITA"
405,"Ceraso","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"2,500","ITA"
406,"Cercino","City","Italy","Global Covenant of Mayors for Climate & Energy","","",NA,NA,"0","ITA"
