"entity_id","name","entity_type","country","commitment","area","density","GDP","budget","population"
"1","Afghanistan","Country","Afghanistan","Resilience and Adaptation Call for Action;;Climate Ambition Alliance: Net Zero 2050;;Enhanced National Climate Plans ;;Coalition for Sustainable Energy Access. ","","","","",""
"2","Albania","Country","Albania","Clean Air Initiative;;Initiative on Gender and Climate Change;;Initiative on Protection of Cultural and Natural Heritage from Climate Change;;Just Transition and Decent Jobs Pledge from the private sector","","","","",""
"3","Algeria","Country","Algeria","Clean Air Initiative;;Great Green Wall for Sahara and the Sahel Initiative (GGWSSI);;Initiative on Gender and Climate Change;;Initiative on Protection of Cultural and Natural Heritage from Climate Change;;Just Transition and Decent Jobs Pledge from the private sector;;Blue Growth Initiative;;Global Fuel Economy Initiative (GFEI);;International Solar Alliance (ISA);;Africa Renewable Energy Initiative (AREI)","","","","",""
"4","Andorra","Country","Andorra","Clean Air Initiative;;Initiative on Gender and Climate Change;;Initiative on Protection of Cultural and Natural Heritage from Climate Change;;Just Transition and Decent Jobs Pledge from the private sector;;Resilience and Adaptation Call for Action;;Cool Coalition ","","","","",""
"5","Angola","Country","Angola","Resilience and Adaptation Call for Action;;Climate Ambition Alliance: Net Zero 2050;;Enhanced National Climate Plans ;;Powering Past Coal Alliance;;International Solar Alliance (ISA);;Africa Renewable Energy Initiative (AREI);;Clean Energy Corridors in Africa;;Coalition for Sustainable Energy Access. ","","","","",""
"6","Antigua and Barbuda","Country","Antigua and Barbuda","Resilience and Adaptation Call for Action;;Climate Ambition Alliance: Net Zero 2050;;Enhanced National Climate Plans ;;International Solar Alliance (ISA);;SIDS Lighthouses Initiative;;Accelerating Renewable Energy Transition in SIDS","","","","",""
"7","Argentina","Country","Argentina","Initiative on Gender and Climate Change;;Just Transition and Decent Jobs Pledge from the private sector;;Resilience and Adaptation Call for Action;;Climate Ambition Alliance: Net Zero 2050;;Enhanced National Climate Plans ;;Leadership Group for Industry Transition;;Cool Coalition ;;Global Fuel Economy Initiative (GFEI);;Three Percent Club for Energy Efficiency;;International Solar Alliance (ISA);;Global Geothermal Alliance (GGA)","","","","",""
"8","Armenia","Country","Armenia","Initiative on Protection of Cultural and Natural Heritage from Climate Change;;Climate Ambition Alliance: Net Zero 2050;;Enhanced National Climate Plans ;;Under2 Coalition","","","","",""
"9","Australia","Country","Australia","High Level Panel for Sustainable Ocean Economy;;Mission Innovation;;CCAC: Oil & Gas Methane Partnership (OGMP);;CCAC: Phasing Down Climate Potent HFCs / HFCs Initiative;;Global Fuel Economy Initiative (GFEI);;Climate Risk and Early Warning Systems Initiative (CREWS);;International Solar Alliance (ISA)","","","","",""
"10","Austria","Country","Austria","Clean Air Initiative;;Initiative on Gender and Climate Change;;Initiative on Protection of Cultural and Natural Heritage from Climate Change;;Mission Innovation;;Resilience and Adaptation Call for Action;;Climate Ambition Alliance: Net Zero 2050;;Powering Past Coal Alliance","","","","",""
"11","Azerbaijan","Country","Azerbaijan","Initiative on Protection of Cultural and Natural Heritage from Climate Change","","","","",""
"12","Bahamas","Country","Bahamas","Resilience and Adaptation Call for Action;;Climate Ambition Alliance: Net Zero 2050;;Enhanced National Climate Plans ;;Cool Coalition ;;International Solar Alliance (ISA);;SIDS Lighthouses Initiative;;Accelerating Renewable Energy Transition in SIDS","","","","",""
"13","Bahrain","Country","Bahrain","Resilience and Adaptation Call for Action;;Global Fuel Economy Initiative (GFEI)","","","","",""
"14","Bangladesh","Country","Bangladesh","Bonn Challenge - Landscape restoration;;Resilience and Adaptation Call for Action;;Risk-Informed Early Action Partnership (REAP);;Blue Growth Initiative;;CCAC: Phasing Down Climate Potent HFCs / HFCs Initiative;;Climate Ambition Alliance: Net Zero 2050;;Enhanced National Climate Plans ;;Cool Coalition ;;Global Fuel Economy Initiative (GFEI);;International Solar Alliance (ISA);;Coalition for Sustainable Energy Access. ","","","","",""
"15","Barbados","Country","Barbados","Resilience and Adaptation Call for Action;;Climate Ambition Alliance: Net Zero 2050;;Enhanced National Climate Plans ;;Cool Coalition ;;International Solar Alliance (ISA);;SIDS Lighthouses Initiative;;Accelerating Renewable Energy Transition in SIDS","","","","",""
"16","Belarus","Country","Belarus","Enhanced National Climate Plans ","","","","",""
"17","Belgium","Country","Belgium","Adaptation for Small holder Agriculture Programme (ASAP);;Climate-Smart Agriculture Booster (CSA Booster);;Resilience and Adaptation Call for Action;;The New York Declaration on Forests;;Climate Ambition Alliance: Net Zero 2050;;Decarbonizing Shipping: Getting to Zero Coalition ;;Powering Past Coal Alliance","","","","",""
"18","Belize","Country","Belize","Central American Integration System (SICA) Initiative;;Resilience and Adaptation Call for Action;;Climate Ambition Alliance: Net Zero 2050;;Enhanced National Climate Plans ;;Global Fuel Economy Initiative (GFEI);;International Solar Alliance (ISA);;SIDS Lighthouses Initiative;;Accelerating Renewable Energy Transition in SIDS","","","","",""
"19","Benin","Country","Benin","Adaptation for Small holder Agriculture Programme (ASAP);;Adaptation of West African Coastal Areas (WACA);;Bonn Challenge - Landscape restoration;;Great Green Wall for Sahara and the Sahel Initiative (GGWSSI);;Just Transition and Decent Jobs Pledge from the private sector;;Promotion of Smart Agriculture Towards Climate Change;;Resilience and Adaptation Call for Action;;Climate Ambition Alliance: Net Zero 2050;;Enhanced National Climate Plans ;;Global Fuel Economy Initiative (GFEI);;International Solar Alliance (ISA);;Africa Renewable Energy Initiative (AREI);;Clean Energy Corridors in Africa;;Coalition for Sustainable Energy Access. ","","","","",""
"20","Bhutan","Country","Bhutan","Adaptation for Small holder Agriculture Programme (ASAP);;Resilience and Adaptation Call for Action;;Climate Ambition Alliance: Net Zero 2050;;Enhanced National Climate Plans ;;Coalition for Sustainable Energy Access. ","","","","",""
"21","Bolivia (Plurinational State of)","Country","Bolivia (Plurinational State of)","Adaptation for Small holder Agriculture Programme (ASAP);;Clean Air Initiative;;Initiative on Gender and Climate Change;;Initiative on Protection of Cultural and Natural Heritage from Climate Change;;Just Transition and Decent Jobs Pledge from the private sector;;Resilience and Adaptation Call for Action;;International Solar Alliance (ISA);;Global Geothermal Alliance (GGA)","","","","",""
"22","Bosnia and Herzegovina","Country","Bosnia and Herzegovina","Initiative on Gender and Climate Change;;Initiative on Protection of Cultural and Natural Heritage from Climate Change","","","","",""
"23","Botswana","Country","Botswana","Enhanced National Climate Plans ;;Global Fuel Economy Initiative (GFEI);;International Solar Alliance (ISA);;Africa Renewable Energy Initiative (AREI);;Clean Energy Corridors in Africa","","","","",""
