"name","source","country","entity_type"
"Andy Cook","Artists","United States of America","CSO"
"Anthony D’Amato","Artists","United States of America","CSO"
"Ben Sollee","Artists","United States of America","CSO"
"Bon Iver","Artists","United States of America","CSO"
"Calexico","Artists","United States of America","CSO"
"Charlie Christenson Music","Artists","United States of America","CSO"
"Dancing Crow Commuity Projects","Artists","United States of America","CSO"
"Daphne Willis","Artists","United States of America","CSO"
"Jack Johnson","Artists","United States of America","CSO"
"Marian Hill","Artists","United States of America","CSO"
"Max Jury","Artists","United States of America","CSO"
"Nahko And Medicine For The People","Artists","United States of America","CSO"
"Naked Giants","Artists","United States of America","CSO"
"P.O.S","Artists","United States of America","CSO"
"Papa J Sez","Artists","United States of America","CSO"
"Patty PerShayla & The Mayhaps","Artists","United States of America","CSO"
"RHYE","Artists","United States of America","CSO"
"Royal Teeth","Artists","United States of America","CSO"
"Skating Polly","Artists","United States of America","CSO"
"Sub-Radio","Artists","United States of America","CSO"
"Surfer Blood","Artists","United States of America","CSO"
"The Motet","Artists","United States of America","CSO"
"Tune-Yards","Artists","United States of America","CSO"
"VIXEVERSA INC","Artists","United States of America","CSO"
"1000watt","Business","United States of America","Company"
"1908 Brands, Inc.","Business","United States of America","Company"
"196 LLC","Business","United States of America","Company"
"2 Point Perspective:  Architecture","Business","United States of America","Company"
"2050 Partners, Inc.","Business","United States of America","Company"
"20spokes","Business","United States of America","Company"
"22 Designs","Business","United States of America","Company"
"23andMe","Business","United States of America","Company"
"247Solar Inc.","Business","United States of America","Company"
"38 North Solutions","Business","United States of America","Company"
"3Advance","Business","United States of America","Company"
"3Degrees","Business","United States of America","Company"
"3fficient","Business","United States of America","Company"
"3rd Rock Data, Inc.","Business","United States of America","Company"
"3Scan","Business","United States of America","Company"
"450 Architects","Business","United States of America","Company"
"475 High Performance Building Supply","Business","United States of America","Company"
"4Ocean, LLC","Business","United States of America","Company"
"5 Lakes Energy","Business","United States of America","Company"
"5280 House Cleaning","Business","United States of America","Company"
"7group","Business","United States of America","Company"
"7th Generation Labs","Business","United States of America","Company"
"7X Energy","Business","United States of America","Company"
"900 Degrees Neapolitan Pizzeria","Business","United States of America","Company"
