,city,country,plan_name,plan_type,start year
0,"Autonomous City of Buenos Aires, Argentina",Argentina,"Autonomous City of Buenos Aires, Argentina",Climate mitigation plan,2014
1,"Autonomous City of Buenos Aires, Argentina",Argentina,"Autonomous City of Buenos Aires, Argentina",Climate adaptation /resilience plan,2019
2,"Adelaide City Council, Australia",Australia,"Adelaide City Council, Australia",,
3,"Adelaide City Council, Australia",Australia,"Adelaide City Council, Australia",,
4,"Australian Capital Territory Government, Australia",Australia,"Australian Capital Territory Government, Australia",,2012
5,"Byron Shire Council, Australia",Australia,"Byron Shire Council, Australia",,2004
6,"City of Joondalup, Australia",Australia,"City of Joondalup, Australia",Integrated climate plan,2014
7,"City of Sydney, Australia",Australia,"City of Sydney, Australia",Climate adaptation /resilience plan,2019
8,"City of Sydney, Australia",Australia,"City of Sydney, Australia",Climate mitigation plan,2019
9,"City of Yarra, Australia",Australia,"City of Yarra, Australia",,2013
10,"City of Yarra, Australia",Australia,"City of Yarra, Australia",,2010
11,"Melbourne City Council, Australia",Australia,"Melbourne City Council, Australia",Climate mitigation plan,2014
12,"Melbourne City Council, Australia",Australia,"Melbourne City Council, Australia",Climate adaptation /resilience plan,2019
13,"Mornington Peninsula Shire Council, Australia",Australia,"Mornington Peninsula Shire Council, Australia",Climate adaptation /resilience plan,2019
14,"Mornington Peninsula Shire Council, Australia",Australia,"Mornington Peninsula Shire Council, Australia",Climate mitigation plan,2013
15,"Port Phillip City Council, Australia",Australia,"Port Phillip City Council, Australia",Climate adaptation /resilience plan,2019
16,"Port Phillip City Council, Australia",Australia,"Port Phillip City Council, Australia",Climate mitigation plan,2019
17,"Tweed Shire Council, Australia",Australia,"Tweed Shire Council, Australia",Climate adaptation /resilience plan,2009
18,"Tweed Shire Council, Australia",Australia,"Tweed Shire Council, Australia",,2003
19,"Tweed Shire Council, Australia",Australia,"Tweed Shire Council, Australia",,2017
20,"Municipality of Belo Horizonte, Brazil",Brazil,"Municipality of Belo Horizonte, Brazil",Integrated climate plan,2014
21,"Municipality of Fortaleza, Brazil",Brazil,"Municipality of Fortaleza, Brazil",,
22,"Municipality of Porto Alegre, Brazil",Brazil,"Municipality of Porto Alegre, Brazil",,2016
23,"Municipality of Recife, Brazil",Brazil,"Municipality of Recife, Brazil",,2014
24,"Municipality of Rio de Janeiro, Brazil",Brazil,"Municipality of Rio de Janeiro, Brazil",Climate mitigation plan,2013
25,"Municipality of Sorocaba, Brazil",Brazil,"Municipality of Sorocaba, Brazil",Climate mitigation plan,
26,"City of North Vancouver, Canada",Canada,"City of North Vancouver, Canada",,2014
27,"City of Surrey, Canada",Canada,"City of Surrey, Canada",Integrated climate plan,2013
28,"City of Surrey, Canada",Canada,"City of Surrey, Canada",Climate mitigation plan,2013
29,"City of Thunder Bay, ON, Canada",Canada,"City of Thunder Bay, ON, Canada",Integrated climate plan,2014
30,"City of Vancouver, BC, Canada",Canada,"City of Vancouver, BC, Canada",Climate mitigation plan,
31,"City of Vancouver, BC, Canada",Canada,"City of Vancouver, BC, Canada",Climate adaptation /resilience plan,2019
32,"City of Vancouver, BC, Canada",Canada,"City of Vancouver, BC, Canada",Climate adaptation /resilience plan,2012
33,"City of Vancouver, BC, Canada",Canada,"City of Vancouver, BC, Canada",Climate mitigation plan,2015
34,"City of Vancouver, BC, Canada",Canada,"City of Vancouver, BC, Canada",,2011
35,"Town of Halton Hills, ON, Canada",Canada,"Town of Halton Hills, ON, Canada",Climate mitigation plan,2015
36,"Municipality of Independencia, Chile",Chile,"Municipality of Independencia, Chile",Climate mitigation plan,2016
37,"Municipality of Independencia, Chile",Chile,"Municipality of Independencia, Chile",Climate mitigation plan,2015
38,"Municipality of Providencia, Chile",Chile,"Municipality of Providencia, Chile",Climate mitigation plan,2016
39,"Municipality of Santiago, Chile",Chile,"Municipality of Santiago, Chile",Climate adaptation /resilience plan,2015
40,"Municipality of Santiago, Chile",Chile,"Municipality of Santiago, Chile",Climate mitigation plan,2016
41,"Municipality of Santiago, Chile",Chile,"Municipality of Santiago, Chile",Climate mitigation plan,2016
42,"Municipality of Valdivia, Chile",Chile,"Municipality of Valdivia, Chile",Climate adaptation /resilience plan,2015
43,"Kaohsiung City Government, Chinese Taipei",Chinese Taipei,"Kaohsiung City Government, Chinese Taipei",Climate adaptation /resilience plan,2013
44,"Kaohsiung City Government, Chinese Taipei",Chinese Taipei,"Kaohsiung City Government, Chinese Taipei",Climate mitigation plan,2014
