,city,country,commitment_type,commitment,ghg_subtype,baseline_year,baseline_year_emissions,target_year,target_year_emissions,percent_reduction,emissions_reduction_by_target_year
0,"Autonomous City of Buenos Aires, Argentina",Argentina,GHG emission reduction target," The Autonomous City of Buenos Aires has committed to reduce its Community emissions by 30% by 2030 compared to 2008 emission level. The target is going to be reached by activities in Stationary energy, Transport and Waste management sectors.",Community,2008,12742478.0,2030,8919734.0,,3822743.0
1,"City of Sydney, Australia",Australia,GHG emission reduction target, The City of Sydney has committed to reduce its Community emissions by 70% by 2030 compared to 2006 emission level.,Community,2006,,2030,,70.0,
2,"City of Sydney, Australia",Australia,GHG emission reduction target, The City of Sydney has committed to reduce its Local Government emissions by 70% by 2030 compared to 2006 emission level.,Local Government,2006,,2030,,70.0,
3,"City of Yarra, Australia",Australia,GHG emission reduction target," The City of Yarra has committed to reduce its Local Government emissions by 60% by 2020 compared to 2001 emission level. The target is going to be reached by activities in Stationary energy, Transport and Waste management sectors.",Local Government,2001,16820.0,2020,6728.0,,10092.0
4,"City of Yarra, Australia",Australia,Renewable energy target,The City of Yarra committed to increase its Installed capacity of Renewable energy in Community to 2 MW by 2017Current Installed capacity of Renewable energy: 3. 7 MW 2019The target is going to be reached by activities in Electricity sector.,,,,,,,
5,"Port Phillip City Council, Australia",Australia,GHG emission reduction target," The Port Phillip City Council has committed to reduce its Community emissions by 7505000tCO2e by 2020. The target is going to be reached by activities in Stationary energy, Transport and Waste management sectors.",Community,1997,16333.0,2020,-2651336.0,,2667668.0
6,"Tweed Shire Council, Australia",Australia,GHG emission reduction target," The Tweed Shire Council has committed to reduce its Community emissions by 20% by 2017 compared to 1996 emission level. The target is going to be reached by activities in Stationary energy, Industrial processes and product use (IPPU), Transport and Waste management sectors.",Community,1996,541473.0,2017,433178.0,,108294.0
7,"Tweed Shire Council, Australia",Australia,GHG emission reduction target," The Tweed Shire Council has committed to reduce its Local Government emissions by 20% by 2017 compared to 1996 emission level. The target is going to be reached by activities in Stationary energy, Transport and Waste management sectors.",Local Government,1996,15291.0,2017,12232.0,,3058.0
8,"Tweed Shire Council, Australia",Australia,Renewable energy target,The Tweed Shire Council committed to increase its Installed capacity of Renewable energy in Local Government to 3 MW by 2025Current Installed capacity of Renewable energy: 0. 23 MW 2019The target is going to be reached by activities in Electricity and Heating & cooling sectors. The Tweed Shire Council committed to increase its Installed capacity of Renewable energy in Local Government to 3 MW by 2025Current Installed capacity of Renewable energy: 0. 23 MW 2019The target is going to be reached by activities in Electricity and Heating & cooling sectors.,,,,,,,
9,"Tweed Shire Council, Australia",Australia,Energy efficiency target,15% Energy efficiency improvement by 2022The Tweed Shire Council committed to increase its energy efficiency in Primary energy and Local Government energy consumption by 15% by 2022 compared to 2017 levels. Primary energy energy consumption: 22000. 0 MwhThis target will be achieved in Electricity and Heating & cooling sectors,,,,,,,
10,"City of Graz, Austria",Austria,GHG emission reduction target, The City of Graz has committed to reduce its Community emissions by 80% by 2050 compared to 2008 emission level.,Community,2008,,2050,,80.0,
11,"City of Graz, Austria",Austria,GHG emission reduction target, The City of Graz has committed to reduce its Local Government emissions by 30% by 2020 compared to 2008 emission level.,Local Government,2008,,2020,,30.0,
12,"Brussels Capital Region, Belgium",Belgium,GHG emission reduction target, The Brussels Capital Region has committed to reduce its Community emissions by 30% by 2025 compared to 1990 emission level.,Community,1990,,2025,,30.0,
13,"City of Antwerp, Belgium",Belgium,GHG emission reduction target, The City of Antwerp has committed to reduce its Community emissions by 100% by 2050 compared to 2005 emission level.,Community,2005,,2050,,100.0,
14,"City of Antwerp, Belgium",Belgium,GHG emission reduction target, The City of Antwerp has committed to reduce its Local Government emissions by 100% by 2050 compared to 2005 emission level.,Local Government,2005,,2050,,100.0,
15,"City of Ghent, Belgium",Belgium,GHG emission reduction target, The City of Ghent has committed to reduce its Community emissions by 20% by 2020 compared to 2007 emission level.,Community,2007,,2020,,20.0,
16,"City of Ghent, Belgium",Belgium,GHG emission reduction target, The City of Ghent has committed to reduce its Local Government emissions by 60% by 2020 compared to 2003 emission level.,Local Government,2003,,2020,,60.0,
17,"City of Mouscron, Belgium",Belgium,GHG emission reduction target, The City of Mouscron has committed to reduce its Community emissions by 21% by 1990 compared to 1990 emission level.,Community,1990,,1990,,21.0,
18,"City of Mouscron, Belgium",Belgium,GHG emission reduction target, The City of Mouscron has committed to reduce its Local Government emissions by 21% by 1990 compared to 1990 emission level.,Local Government,1990,,1990,,21.0,
19,"City of Namur, Belgium",Belgium,GHG emission reduction target, The City of Namur has committed to reduce its Community emissions by 20% by 2020 compared to 1990 emission level.,Community,1990,,2020,,20.0,
20,"Municipality of Belo Horizonte, Brazil",Brazil,GHG emission reduction target, The Municipality of Belo Horizonte has committed to reduce its Community emissions by 20% by 2030 compared to Baseline scenario (BAU) reduction target emission level.,Community,2007,3176966.0,2030,3176966.0,,635393.0
21,"Municipality of Belo Horizonte, Brazil",Brazil,Renewable energy target,"The Municipality of Belo Horizonte committed to increase its share of renewable energy in final energy mix in Community by 0% by 2030The target is going to be reached by activities in Electricity, Heating & cooling, Transport, Industry and Resíduos sector.",,,,,,,
22,"Municipality of Belo Horizonte, Brazil",Brazil,Energy efficiency target,"0% Energy efficiency improvement by 2030The Municipality of Belo Horizonte committed to increase its energy efficiency in Final energy and Community energy consumption by 0% by 2030 compared to 2007 levels. This target will be achieved in Electricity, Heating & cooling, Transport and Industry sectors20% Energy efficiency improvement by 2030The Municipality of Belo Horizonte committed to increase its energy efficiency in Final energy and Community energy consumption by 20% by 2030 compared to 2007 levels. This target will be achieved in Electricity, Heating & cooling, Transport and Industry sectors",,,,,,,
23,"Municipality of Fortaleza, Brazil",Brazil,Renewable energy target,The Municipality of Fortaleza committed to increase its share of renewable energy in final energy mix in Local Government by 30% by 2030The target is going to be reached by activities in Electricity sectors. The Municipality of Fortaleza committed to increase its consumption of energy from renewable energy sources in Local Government by 30 MWh by 2030Current consumption of energy from renewable energy source:  MWh The target is going to be reached by activities in Electricity sectors. The Municipality of Fortaleza committed to increase its share of renewable energy in final energy mix in Local Government by 30% by 2030The target is going to be reached by activities in Electricity sectors.,,,,,,,
24,"Municipality of Fortaleza, Brazil",Brazil,Energy efficiency target,0% Energy efficiency improvement by 2030The Municipality of Fortaleza committed to increase its energy efficiency in Final energy and Local Government energy consumption by 0% by 2030 compared to 2012 levels. This target will be achieved in Electricity sectors60% Energy efficiency improvement by 2030The Municipality of Fortaleza committed to increase its energy efficiency in Final energy and Local Government energy consumption by 60% by 2030 compared to 2012 levels. Final energy energy consumption: 3473943056. 0 MwhThis target will be achieved in Electricity and Industry sectors,,,,,,,
25,"Municipality of Porto Alegre, Brazil",Brazil,Renewable energy target,The Municipality of Porto Alegre committed to increase its consumption of energy from renewable energy sources in Local Government by 0 MWh by Current consumption of energy from renewable energy source:  MWh The target is going to be reached by activities in  sectors. The Municipality of Porto Alegre committed to increase its consumption of energy from renewable energy sources in Local Government by 0 MWh by Current consumption of energy from renewable energy source:  MWh The target is going to be reached by activities in Electricity sectors.,,,,,,,
26,"Municipality of Porto Alegre, Brazil",Brazil,Energy efficiency target,100% Energy efficiency improvement by 2050The Municipality of Porto Alegre committed to increase its energy efficiency in Primary energy and Local Government energy consumption by 100% by 2050 compared to 2016 levels. 100% Energy efficiency improvement by 2050The Municipality of Porto Alegre committed to increase its energy efficiency in Primary energy and Local Government energy consumption by 100% by 2050 compared to 2016 levels. This target will be achieved in Electricity sectors,,,,,,,
27,"Municipality of Recife, Brazil",Brazil,GHG emission reduction target, The Municipality of Recife has committed to reduce its Community emissions by 14% by 2017 compared to Baseline scenario (BAU) reduction target emission level.,Community,2012,3120426.0,2017,3120426.0,,436859.0
28,"Municipality of Rio de Janeiro, Brazil",Brazil,GHG emission reduction target, The Municipality of Rio de Janeiro has committed to reduce its Community emissions by 20% by 2020 compared to 2005 emission level.,Community,2005,,2020,,20.0,
29,"Municipality of Sorocaba, Brazil",Brazil,GHG emission reduction target, The Municipality of Sorocaba has committed to reduce its Community emissions by 20% by 2030 compared to 2012 emission level.,Community,2012,1061141.0,2030,848912.0,,212228.0
30,"Municipality of São Paulo, Brazil",Brazil,GHG emission reduction target, The Municipality of São Paulo has committed to reduce its Community emissions by 30% by 2020 compared to 2005 emission level.,Community,2005,,2020,,30.0,
31,"City of Calgary, AB, Canada",Canada,GHG emission reduction target," The City of Calgary, AB has committed to reduce its Community emissions by 50% by 2036 compared to 1990 emission level.",Community,1990,,2036,,50.0,
32,"City of Calgary, AB, Canada",Canada,GHG emission reduction target," The City of Calgary, AB has committed to reduce its Local Government emissions by 20% by 2020 compared to 2005 emission level.",Local Government,2005,,2020,,20.0,
33,"City of Colwood, Canada",Canada,GHG emission reduction target, The City of Colwood has committed to reduce its Community emissions by 80% by 2050 compared to 2007 emission level.,Community,2007,,2050,,80.0,
34,"City of Colwood, Canada",Canada,GHG emission reduction target, The City of Colwood has committed to reduce its Local Government emissions by 33% by 2020 compared to 2007 emission level.,Local Government,2007,,2020,,33.0,
35,"City of Edmonton, AB, Canada",Canada,GHG emission reduction target," The City of Edmonton, AB has committed to reduce its Community emissions by 35% by 2035 compared to Baseline scenario (BAU) reduction target emission level. The target is going to be reached by activities in Stationary energy, Transport, Waste management, Industrial processes and product use (IPPU) and Agriculture, forest and other land use (AFOLU) sectors.",Community,2005,15900000.0,2035,15900000.0,,5565000.0
36,"City of Edmonton, AB, Canada",Canada,GHG emission reduction target," The City of Edmonton, AB has committed to reduce its Local Government emissions by 50% by 2020 compared to Baseline scenario (BAU) reduction target emission level. The target is going to be reached by activities in Stationary energy, Transport, Waste management and Agriculture, forest and other land use (AFOLU) sectors.",Local Government,2008,309000.0,2020,309000.0,,154500.0
37,"City of Edmonton, AB, Canada",Canada,Renewable energy target,"The City of Edmonton, AB committed to increase its Installed capacity of Renewable energy in Community to 10 MW by 2035Current Installed capacity of Renewable energy: 2. 54 MW 2019The target is going to be reached by activities in Electricity, Industry and All sectors capable of generating electricity could participate in achieving this target sector.",,,,,,,
38,"City of Edmonton, AB, Canada",Canada,Energy efficiency target,"25% Energy efficiency improvement by 2035The City of Edmonton, AB committed to increase its energy efficiency in Final energy and Community energy consumption by 25% by 2035 compared to 2009 levels. Final energy energy consumption: 29962422. 0 MwhThis target will be achieved in Electricity, Transport, Heating & cooling and Industry sectors0% Energy efficiency improvement by 2035The City of Edmonton, AB committed to increase its energy efficiency in Final energy and Community energy consumption by 0% by 2035 compared to 2009 levels. Final energy energy consumption: 44980628. 0 MwhThis target will be achieved in Electricity, Heating & cooling, Transport and Industry sectors",,,,,,,
39,"City of Fredericton, NB, Canada",Canada,GHG emission reduction target," The City of Fredericton, NB has committed to reduce its Community emissions by 6% by 2010 compared to 1990 emission level.",Community,1990,,2010,,6.0,
40,"City of Fredericton, NB, Canada",Canada,GHG emission reduction target," The City of Fredericton, NB has committed to reduce its Local Government emissions by 20% by 2010 compared to 2000 emission level.",Local Government,2000,,2010,,20.0,
41,"City of Maple Ridge, Canada",Canada,GHG emission reduction target, The City of Maple Ridge has committed to reduce its Community emissions by 80% by 2050 compared to 2007 emission level.,Community,2007,,2050,,80.0,
42,"City of Maple Ridge, Canada",Canada,GHG emission reduction target, The City of Maple Ridge has committed to reduce its Local Government emissions by 80% by 2050 compared to 2007 emission level.,Local Government,2007,,2050,,80.0,
43,"City of Montréal, QC, Canada",Canada,GHG emission reduction target," The City of Montréal, QC has committed to reduce its Community emissions by 30% by 2020 compared to 1990 emission level.",Community,1990,,2020,,30.0,
44,"City of Montréal, QC, Canada",Canada,GHG emission reduction target," The City of Montréal, QC has committed to reduce its Local Government emissions by 30% by 2020 compared to 2002 emission level.",Local Government,2002,,2020,,30.0,
45,"City of North Vancouver, Canada",Canada,GHG emission reduction target, The City of North Vancouver has committed to reduce its Community emissions by 50% by 2050 compared to 2007 emission level.,Community,2007,,2050,,50.0,
46,"City of North Vancouver, Canada",Canada,GHG emission reduction target, The City of North Vancouver has committed to reduce its Local Government emissions by 25% by 2020 compared to 2007 emission level.,Local Government,2007,,2020,,25.0,
47,"City of Richmond, BC, Canada",Canada,GHG emission reduction target," The City of Richmond, BC has committed to reduce its Community emissions by 33% by 2020 compared to 2007 emission level.",Community,2007,,2020,,33.0,
48,"City of Richmond, BC, Canada",Canada,GHG emission reduction target," The City of Richmond, BC has committed to reduce its Local Government emissions by 100% by 2012 compared to 2007 emission level.",Local Government,2007,,2012,,100.0,
49,"City of Surrey, Canada",Canada,GHG emission reduction target, The City of Surrey has committed to reduce its Local Government emissions by 20% by 2020 compared to 2009 emission level.,Local Government,2009,,2020,,20.0,
50,"City of Thunder Bay, ON, Canada",Canada,GHG emission reduction target," The City of Thunder Bay, ON has committed to reduce its Community emissions by 20% by 2020 compared to 2009 emission level. The target is going to be reached by activities in Stationary energy, Transport and Waste management sectors.",Community,2009,1002364.0,2020,801891.0,,200472.0
51,"City of Vancouver, BC, Canada",Canada,GHG emission reduction target," The City of Vancouver, BC has committed to reduce its Community emissions by 80% by 2050 compared to 2007 emission level.",Community,2007,2850000.0,2050,570000.0,,2280000.0
52,"City of Vancouver, BC, Canada",Canada,GHG emission reduction target," The City of Vancouver, BC has committed to reduce its Local Government emissions by 50% by 2020 compared to 2008 emission level. The target is going to be reached by activities in Stationary energy, Transport and Waste management sectors.",Local Government,2008,495000.0,2020,247500.0,,247500.0
