,"Agriculture, forest and other land use",Industrial process and product use,Stationary energy,Transport,Waste management,city,country,inventory_type,Other
0,0.0,0.0,8176887.0,3994893.0,0.0,"Autonomous City of Buenos Aires, Argentina",Argentina,Community inventories,
1,0.0,0.0,0.0,5788.0,0.0,"Autonomous City of Buenos Aires, Argentina",Argentina,Government operations inventory,0.0
2,76772.64485,0.0,10079.4812,6983.649296,2121.180308,"Municipality of Arias, Argentina",Argentina,Community inventories,
3,0.0,0.0,0.0,0.0,2121.11,"Municipality of Arias, Argentina",Argentina,Government operations inventory,0.0
4,13000.16376,0.0,23899.92521,10758.44698,6040.699995,"Municipality of Armstrong, Argentina",Argentina,Community inventories,
5,0.0,0.0,0.0,0.0,6040.7,"Municipality of Armstrong, Argentina",Argentina,Government operations inventory,0.0
6,11395.51466,0.0,12276.47312,3253.187172,1345.877384,"Municipality of Arteaga, Argentina",Argentina,Community inventories,
7,0.0,0.0,0.0,0.0,1345.87,"Municipality of Arteaga, Argentina",Argentina,Government operations inventory,0.0
8,0.0,0.0,634925.4441,199505.8033,79230.47028,"Municipality of Bariloche, Argentina",Argentina,Community inventories,
9,0.0,0.0,0.0,0.0,79318.47,"Municipality of Bariloche, Argentina",Argentina,Government operations inventory,0.0
10,2300.819077,0.0,30411.12124,60918.25913,6815.353986,"Municipality of Bell Ville, Argentina",Argentina,Community inventories,
11,0.0,0.0,0.0,0.0,6815.360000000001,"Municipality of Bell Ville, Argentina",Argentina,Government operations inventory,0.0
12,300633.2726,25696.88,179003.6918,57735.74191,17090.67315,"Municipality of Bragado, Argentina",Argentina,Community inventories,
13,0.0,0.0,0.0,0.0,17090.44,"Municipality of Bragado, Argentina",Argentina,Government operations inventory,0.0
14,14804.0,0.0,9203.0,24425.0,2789.0,"Municipality of Camilo Aldao, Argentina",Argentina,Community inventories,
15,0.0,0.0,0.0,0.0,2787.7599999999998,"Municipality of Camilo Aldao, Argentina",Argentina,Government operations inventory,0.0
16,6386.0,0.0,32398.0,49946.0,7568.0,"Municipality of Carcarañá, Argentina",Argentina,Community inventories,
17,0.0,0.0,0.0,0.0,7567.82,"Municipality of Carcarañá, Argentina",Argentina,Government operations inventory,0.0
18,643373.0,0.0,20119.0,17499.0,936.0,"Municipality of Carlos Tejedor, Argentina",Argentina,Community inventories,
19,0.0,0.0,0.0,0.0,935.81,"Municipality of Carlos Tejedor, Argentina",Argentina,Government operations inventory,0.0
20,11622.52844,0.0,2971.477078,6171.974633,477.6848155,"Municipality of Caseros, Argentina",Argentina,Community inventories,
21,0.0,0.0,0.0,0.0,477.69,"Municipality of Caseros, Argentina",Argentina,Government operations inventory,0.0
22,12518.05715,0.0,95544.7463,42884.11405,14802.94504,"Municipality of Casilda, Argentina",Argentina,Community inventories,
23,0.0,0.0,0.0,0.0,14802.939999999999,"Municipality of Casilda, Argentina",Argentina,Government operations inventory,497.81
24,14137.35104,0.0,3034.76429,275.124934,1556.77059,"Municipality of Centeno, Argentina",Argentina,Community inventories,
25,0.0,0.0,0.0,0.0,1556.77,"Municipality of Centeno, Argentina",Argentina,Government operations inventory,0.0
26,20258.11823,0.0,36179.35342,12568.7301,2529.293328,"Municipality of Chabas, Argentina",Argentina,Community inventories,
27,0.0,0.0,0.0,0.0,2529.29,"Municipality of Chabas, Argentina",Argentina,Government operations inventory,128.67
28,328054.3974,0.0,217614.2836,70990.22393,15779.11823,"Municipality of Chacabuco, Argentina",Argentina,Community inventories,
29,0.0,0.0,0.0,0.0,15779.119999999999,"Municipality of Chacabuco, Argentina",Argentina,Government operations inventory,0.0
30,20957.0,0.0,6646.0,15632.0,1103.0,"Municipality of Chañar Ladeado, Argentina",Argentina,Community inventories,
31,0.0,0.0,0.0,0.0,1102.55,"Municipality of Chañar Ladeado, Argentina",Argentina,Government operations inventory,0.0
32,84048.28543,0.0,107019.6242,34667.48034,10508.62723,"Municipality of Colón, Buenos Aires, Argentina",Argentina,Community inventories,
33,0.0,0.0,0.0,0.0,10508.619999999999,"Municipality of Colón, Buenos Aires, Argentina",Argentina,Government operations inventory,1600.82
34,511.333088,0.0,757.7356099,1335.241344,1429.143581,"Municipality of Coronel Dominguez, Argentina",Argentina,Community inventories,
