,Unnamed: 0,city,country,plan_name,plan_type,start year
0,0,"Autonomous City of Buenos Aires, Argentina",Argentina,"Autonomous City of Buenos Aires, Argentina",Climate mitigation plan,2014.0
1,1,"Autonomous City of Buenos Aires, Argentina",Argentina,"Autonomous City of Buenos Aires, Argentina",Climate adaptation /resilience plan,2019.0
2,2,"Adelaide City Council, Australia",Australia,"Adelaide City Council, Australia",,
3,3,"Adelaide City Council, Australia",Australia,"Adelaide City Council, Australia",,
4,4,"Australian Capital Territory Government, Australia",Australia,"Australian Capital Territory Government, Australia",,2012.0
5,5,"Byron Shire Council, Australia",Australia,"Byron Shire Council, Australia",,2004.0
6,6,"City of Joondalup, Australia",Australia,"City of Joondalup, Australia",Integrated climate plan,2014.0
7,7,"City of Sydney, Australia",Australia,"City of Sydney, Australia",Climate adaptation /resilience plan,2019.0
8,8,"City of Sydney, Australia",Australia,"City of Sydney, Australia",Climate mitigation plan,2019.0
9,9,"City of Yarra, Australia",Australia,"City of Yarra, Australia",,2013.0
10,10,"City of Yarra, Australia",Australia,"City of Yarra, Australia",,2010.0
11,11,"Melbourne City Council, Australia",Australia,"Melbourne City Council, Australia",Climate mitigation plan,2014.0
12,12,"Melbourne City Council, Australia",Australia,"Melbourne City Council, Australia",Climate adaptation /resilience plan,2019.0
13,13,"Mornington Peninsula Shire Council, Australia",Australia,"Mornington Peninsula Shire Council, Australia",Climate adaptation /resilience plan,2019.0
14,14,"Mornington Peninsula Shire Council, Australia",Australia,"Mornington Peninsula Shire Council, Australia",Climate mitigation plan,2013.0
15,15,"Port Phillip City Council, Australia",Australia,"Port Phillip City Council, Australia",Climate adaptation /resilience plan,2019.0
16,16,"Port Phillip City Council, Australia",Australia,"Port Phillip City Council, Australia",Climate mitigation plan,2019.0
17,17,"Tweed Shire Council, Australia",Australia,"Tweed Shire Council, Australia",Climate adaptation /resilience plan,2009.0
18,18,"Tweed Shire Council, Australia",Australia,"Tweed Shire Council, Australia",,2003.0
