,Unnamed: 0,baseline_year,baseline_year_emissions,city,commitment,commitment_type,country,emissions_reduction_by_target_year,ghg_subtype,percent_reduction,target_year,target_year_emissions
0,0.0,2008.0,12742478.0,"Autonomous City of Buenos Aires, Argentina"," The Autonomous City of Buenos Aires has committed to reduce its Community emissions by 30% by 2030 compared to 2008 emission level. The target is going to be reached by activities in Stationary energy, Transport and Waste management sectors.",GHG emission reduction target,Argentina,3822743.0,Community,,2030.0,8919734.0
1,1.0,2006.0,,"City of Sydney, Australia", The City of Sydney has committed to reduce its Community emissions by 70% by 2030 compared to 2006 emission level.,GHG emission reduction target,Australia,,Community,70.0,2030.0,
2,2.0,2006.0,,"City of Sydney, Australia", The City of Sydney has committed to reduce its Local Government emissions by 70% by 2030 compared to 2006 emission level.,GHG emission reduction target,Australia,,Local Government,70.0,2030.0,
3,3.0,2001.0,16820.0,"City of Yarra, Australia"," The City of Yarra has committed to reduce its Local Government emissions by 60% by 2020 compared to 2001 emission level. The target is going to be reached by activities in Stationary energy, Transport and Waste management sectors.",GHG emission reduction target,Australia,10092.0,Local Government,,2020.0,6728.0
4,4.0,,,"City of Yarra, Australia",The City of Yarra committed to increase its Installed capacity of Renewable energy in Community to 2 MW by 2017Current Installed capacity of Renewable energy: 3. 7 MW 2019The target is going to be reached by activities in Electricity sector.,Renewable energy target,Australia,,,,,
5,5.0,1997.0,16333.0,"Port Phillip City Council, Australia"," The Port Phillip City Council has committed to reduce its Community emissions by 7505000tCO2e by 2020. The target is going to be reached by activities in Stationary energy, Transport and Waste management sectors.",GHG emission reduction target,Australia,2667668.0,Community,,2020.0,-2651336.0
6,6.0,1996.0,541473.0,"Tweed Shire Council, Australia"," The Tweed Shire Council has committed to reduce its Community emissions by 20% by 2017 compared to 1996 emission level. The target is going to be reached by activities in Stationary energy, Industrial processes and product use (IPPU), Transport and Waste management sectors.",GHG emission reduction target,Australia,108294.0,Community,,2017.0,433178.0
7,7.0,1996.0,15291.0,"Tweed Shire Council, Australia"," The Tweed Shire Council has committed to reduce its Local Government emissions by 20% by 2017 compared to 1996 emission level. The target is going to be reached by activities in Stationary energy, Transport and Waste management sectors.",GHG emission reduction target,Australia,3058.0,Local Government,,2017.0,12232.0
8,8.0,,,"Tweed Shire Council, Australia",The Tweed Shire Council committed to increase its Installed capacity of Renewable energy in Local Government to 3 MW by 2025Current Installed capacity of Renewable energy: 0. 23 MW 2019The target is going to be reached by activities in Electricity and Heating & cooling sectors. The Tweed Shire Council committed to increase its Installed capacity of Renewable energy in Local Government to 3 MW by 2025Current Installed capacity of Renewable energy: 0. 23 MW 2019The target is going to be reached by activities in Electricity and Heating & cooling sectors.,Renewable energy target,Australia,,,,,
9,9.0,,,"Tweed Shire Council, Australia",15% Energy efficiency improvement by 2022The Tweed Shire Council committed to increase its energy efficiency in Primary energy and Local Government energy consumption by 15% by 2022 compared to 2017 levels. Primary energy energy consumption: 22000. 0 MwhThis target will be achieved in Electricity and Heating & cooling sectors,Energy efficiency target,Australia,,,,,
