,Unnamed: 0,city,country,emissions,inventory_type,year
0,0.0,"Autonomous City of Buenos Aires, Argentina",Argentina,10454026.0,Community inventories,2000.0
1,1.0,"Autonomous City of Buenos Aires, Argentina",Argentina,10178714.0,Community inventories,2001.0
2,2.0,"Autonomous City of Buenos Aires, Argentina",Argentina,9757411.0,Community inventories,2002.0
3,3.0,"Autonomous City of Buenos Aires, Argentina",Argentina,9969971.0,Community inventories,2003.0
4,4.0,"Autonomous City of Buenos Aires, Argentina",Argentina,9951382.0,Community inventories,2004.0
5,5.0,"Autonomous City of Buenos Aires, Argentina",Argentina,9917962.0,Community inventories,2005.0
6,6.0,"Autonomous City of Buenos Aires, Argentina",Argentina,9758063.0,Community inventories,2006.0
7,7.0,"Autonomous City of Buenos Aires, Argentina",Argentina,10697979.0,Community inventories,2007.0
8,8.0,"Autonomous City of Buenos Aires, Argentina",Argentina,10465723.0,Community inventories,2008.0
9,9.0,"Autonomous City of Buenos Aires, Argentina",Argentina,10509649.0,Community inventories,2009.0
10,10.0,"Autonomous City of Buenos Aires, Argentina",Argentina,10865523.0,Community inventories,2010.0
11,11.0,"Autonomous City of Buenos Aires, Argentina",Argentina,11072034.0,Community inventories,2011.0
12,12.0,"Autonomous City of Buenos Aires, Argentina",Argentina,11157086.0,Community inventories,2012.0
13,13.0,"Autonomous City of Buenos Aires, Argentina",Argentina,12171780.0,Community inventories,2013.0
14,14.0,"Autonomous City of Buenos Aires, Argentina",Argentina,5998.0,Government operations inventory,2000.0
15,15.0,"Autonomous City of Buenos Aires, Argentina",Argentina,7320.0,Government operations inventory,2001.0
16,16.0,"Autonomous City of Buenos Aires, Argentina",Argentina,7394.0,Government operations inventory,2002.0
17,17.0,"Autonomous City of Buenos Aires, Argentina",Argentina,6569.0,Government operations inventory,2003.0
18,18.0,"Autonomous City of Buenos Aires, Argentina",Argentina,5279.0,Government operations inventory,2004.0
19,19.0,"Autonomous City of Buenos Aires, Argentina",Argentina,5279.0,Government operations inventory,2005.0
20,20.0,"Autonomous City of Buenos Aires, Argentina",Argentina,6441.0,Government operations inventory,2006.0
21,21.0,"Autonomous City of Buenos Aires, Argentina",Argentina,6893.0,Government operations inventory,2007.0
22,22.0,"Autonomous City of Buenos Aires, Argentina",Argentina,6689.0,Government operations inventory,2008.0
23,23.0,"Autonomous City of Buenos Aires, Argentina",Argentina,6678.0,Government operations inventory,2009.0
24,24.0,"Autonomous City of Buenos Aires, Argentina",Argentina,6623.0,Government operations inventory,2010.0
25,25.0,"Autonomous City of Buenos Aires, Argentina",Argentina,6464.0,Government operations inventory,2011.0
26,26.0,"Autonomous City of Buenos Aires, Argentina",Argentina,5788.0,Government operations inventory,2012.0
27,27.0,"Municipality of Arias, Argentina",Argentina,95956.95566,Community inventories,2014.0
28,28.0,"Municipality of Arias, Argentina",Argentina,2121.11,Government operations inventory,2014.0
29,29.0,"Municipality of Armstrong, Argentina",Argentina,53699.23595,Community inventories,2014.0
30,30.0,"Municipality of Armstrong, Argentina",Argentina,6040.7,Government operations inventory,2014.0
31,31.0,"Municipality of Arteaga, Argentina",Argentina,28271.05234,Community inventories,2014.0
32,32.0,"Municipality of Arteaga, Argentina",Argentina,1345.87,Government operations inventory,2014.0
33,33.0,"Municipality of Bariloche, Argentina",Argentina,913661.7177,Community inventories,2014.0
34,34.0,"Municipality of Bariloche, Argentina",Argentina,79318.47,Government operations inventory,2014.0
35,35.0,"Municipality of Bell Ville, Argentina",Argentina,100445.5534,Community inventories,2014.0
36,36.0,"Municipality of Bell Ville, Argentina",Argentina,6815.3600000000015,Government operations inventory,2014.0
37,37.0,"Municipality of Bragado, Argentina",Argentina,580160.2594,Community inventories,2014.0
