,Unnamed: 0,area (km2),city,country,gdp,population,target
0,0.0,202.0,"Autonomous City of Buenos Aires, Argentina",Argentina,7.9 Billion,3059122,Reduce 30% GHG emissions
1,1.0,579.0,"Municipality of Arias, Argentina",Argentina,91 Million,7249,
2,2.0,302.0,"Municipality of Armstrong, Argentina",Argentina,150 Million,11484,
3,3.0,227.0,"Municipality of Arteaga, Argentina",Argentina,41 Million,3331,
4,4.0,274.7,"Municipality of Bariloche, Argentina",Argentina,1.5 Billion,112887,
5,5.0,41.77,"Municipality of Bell Ville, Argentina",Argentina,420 Million,34439,
6,6.0,2212.0,"Municipality of Bragado, Argentina",Argentina,510 Million,41336,
7,7.0,437.53,"Municipality of Camilo Aldao, Argentina",Argentina,64 Million,5197,
8,8.0,113.0,"Municipality of Carcarañá, Argentina",Argentina,,16432,
9,9.0,3911.0,"Municipality of Carlos Tejedor, Argentina",Argentina,,11570,
10,10.0,77.04,"Municipality of Caseros, Argentina",Argentina,29 Million,2339,
11,11.0,384.0,"Municipality of Casilda, Argentina",Argentina,450 Million,35058,
12,12.0,253.0,"Municipality of Centeno, Argentina",Argentina,40 Million,3116,
13,13.0,360.0,"Municipality of Chabas, Argentina",Argentina,88 Million,7180,
14,14.0,2287.38,"Municipality of Chacabuco, Argentina",Argentina,600 Million,48703,
15,15.0,244.0,"Municipality of Chañar Ladeado, Argentina",Argentina,66 Million,5415,
16,16.0,994.57,"Municipality of Colón, Buenos Aires, Argentina",Argentina,310 Million,24890,
17,17.0,50.5,"Municipality of Coronel Dominguez, Argentina",Argentina,15 Million,1231,
18,18.0,330.0,"Municipality of Correa, Argentina",Argentina,75 Million,6121,
19,19.0,103.0,"Municipality of Cosquin, Argentina",Argentina,260 Million,19815,
20,20.0,38.2,"Municipality of Cruz Alta, Argentina",Argentina,90 Million,7344,
21,21.0,14448.0,"Municipality of General Alvear, Argentina",Argentina,580 Million,46429,
22,22.0,2145.28,"Municipality of General Viamonte, Argentina",Argentina,,18074,
23,23.0,75.0,"Municipality of Godoy Cruz, Argentina",Argentina,2.3 Billion,191903,
24,24.0,4826.84,"Municipality of Guaminí, Argentina",Argentina,140 Million,11826,
25,25.0,614.0,"Municipality of Guaymallén, Argentina",Argentina,3.7 Billion,283803,
26,26.0,210.0,"Municipality of Herrera, Argentina",Argentina,22 Million,1767,
27,27.0,287.0,"Municipality of Inriville, Argentina",Argentina,46 Million,3722,
28,28.0,98.96,"Municipality of Juana Koslay, Argentina",Argentina,190 Million,15912,
29,29.0,3340.3,"Municipality of Las Flores, Argentina",Argentina,290 Million,23871,
30,30.0,1724.0,"Municipality of Lobos, Argentina",Argentina,460 Million,36172,
31,31.0,158.0,"Municipality of Los Molinos, Argentina",Argentina,23 Million,1920,
32,32.0,43.0,"Municipality of Los Reartes, Argentina",Argentina,18 Million,1426,
33,33.0,364.0,"Municipality of Los Surgentes, Argentina",Argentina,35 Million,2795,
34,34.0,450.0,"Municipality of Malabrigo, Argentina",Argentina,,7339,
35,35.0,106.0,"Municipality of Mendoza, Argentina",Argentina,1.4 Billion,115041,
36,36.0,83.3,"Municipality of Monte Buey, Argentina",Argentina,79 Million,6285,
37,37.0,72.0,"Municipality of Monte Vera, Argentina",Argentina,110 Million,8284,
