,action,city,country,description,start year,status,type
0,Green Buenos Aires Plan  - Autonomous City of Buenos Aires,"Autonomous City of Buenos Aires, Argentina",Argentina,"The Green Buenos Aires Plan launched in 2014 is a 20-year plan to adapt Buenos Aires to the challenges of climate change, and it is organized in different topics such as: Sustainable Mobility, Waste Management, Environmental townscape and Promotion of clean Energies. The project will develop 78 new plazas and expand 30 existing ones. 12 large parks and many more green terraces will also be built. By enhancing green spaces and planting trees, the temperature of Buenos Aires is expected to reduce.
Green motorways and macro-blocks are also contemplated in the plan, the latter aiming for a 50% reduction in levels of noise pollution, and a 97% reduction in CO2 emissions.
Urban green corridors are used to connect city environmental units via green connectors (medium-height forestation), green corridors
(planted boulevards or medians) and linear parks designed to
transform 50% of the city to public space.
By 2020, it is expected to be developed:
-12 new green urban spaces
- 6 hydric parks with permeable surfaces
-10 big urban parks for recreational use
- 4 macro-blocks
- 8 urban green corridors",2014,In operation,Technical/Infrastructure investment
1,Emergency response – The Coordination and Control Centre - Autonomous City of Buenos Aires,"Autonomous City of Buenos Aires, Argentina",Argentina,"Seeking to improve its emergency response, the City of Buenos Aires has developed an integrated response system that focuses on the Unified Coordination and Control Center (CUCC) which was launched in 2011 to coordinate a rapid and comprehensive response among the emergency agencies. This center works monitoring the main gateways to the City. It has been designed and developed with innovative technology to coordinate a fast and integrated response for all agencies in case of accidents, eventual disasters or other health emergencies.
Moreover, the CUCC is able to identify, monitor and control in real time the status of the sewers with the information provided by 28 sensors located in strategic points of the stormwater pipelines in the Hydraulic-Meteorological System.",2011,Completed,Policy/Strategies/Action Plans
2,Green Roofs  - Autonomous City of Buenos Aires,"Autonomous City of Buenos Aires, Argentina",Argentina,"Green roofs and walls, consisting of rooftops and walls covered with vegetation, fulfill an important function: they decrease thermal range and reduce the loss of heat in winter and cold in summer, reducing the heat island effect, improve rainwater capture and can act as an air island for wild species. Buenos Aires City Government inaugurated it´s first Green Roof in 2011 and, because it was constructed on a public school building, a low maintenance design was chosen and a path was built across the green area for student use. Moreover, the plants chosen are resistant to a wide temperature range. The green roof has been constructed over part of the rooftop, so that two sectors of equal size and orientation were left to compare hydraulic balance and thermal benefits to the school. A follow up took place, measuring temperature differences and water capacity. At the moment, more green roofs are being constructed in schools and other public buildings, under the Green Buenos Aires Plan. In the same line, the City has started the installation of green walls in urban highways.",2010,In operation,Technical/Infrastructure investment
3,Riachuelo River Bank - Autonomous City of Buenos Aires,"Autonomous City of Buenos Aires, Argentina",Argentina,"In general, low-income population settles in precarious and highly crowded housing, in floodpains. Rainwater floods occur in different areas of the City of Buenos Aires every time it rains more than 30 mm in one hour, for which it is a recurrent problem that affects more than 350,000 people, 90,000 of which are located in precarious riverside settlements, on the bank of the Riachuelo River, a highly contaminated water body.
As an important social challenge, the local Government aims to relocate the population settled on the towpath of the Matanza- Riachuelo River Basin, pursuant to the Environmental Recovery Integrated Plan. At the moment, more than 537 families have been provided with a new house outside the towpath, in order to provide a solution to this major socio-environmental problem as soon as possible, in accordance with a Federal Supreme Court ruling.
This process also entails the recovery and valorization of the riverside with the aim of transforming this trail on the riverside with cobblestone, green areas, and a revegetation process.",2010,In operation,Technical/Infrastructure investment
4,"Health Adaptation to Climate Change - Reducing the risk of ""Dengue"" disease - Autonomous City of Buenos Aires","Autonomous City of Buenos Aires, Argentina",Argentina,"As global temperature rises, Buenos Aires is more and more exposed to diseases exclusive of tropical areas. The local Government is therefore working to reduce health risks.
The dengue is a viral disease transmitted by the “Tiger” mosquito and is in expansion since global warming creates favourable conditions for its habitat. The plan against it aims at preventing the spread of the disease and eradicates those mosquitoes that transmit not only dengue but other diseases as well, according to the research performed by the University of Buenos Aires, together with the “Luis Pasteur” Institute.
In the same line, training courses related to the Climate Change and Health were offered. In turn, the Environmental Epidemiological Surveillance Program aims at providing continuous, useful, and timely information about adverse environmental factors, to facilitate decision-making processes related to solution, control, and prevention.",2010,In operation,Education/Awareness Raising
5,Adapting to heavier and severe rains - Master Plan Hydraulic System - Autonomous City of Buenos Aires,"Autonomous City of Buenos Aires, Argentina",Argentina,"In the light of an expected increase in extreme rain events and severe storms, and taking into consideration that in the City of Buenos Aires paving intensifies runoffs, the City works under a Hydraulic Plan. Important contributions to our strategy include the maintenance of the rainfall drainage systems, the management of water reservoirs, and the expansion of new piped relief channels to control the main underground creeks. The lack of these structures has produced significant flooding in several areas of the City in the past years. Buenos Aires has a series of protection stations against local southeastern storms as well as pumping stations at several level crossings. Remote-controlled robots and other technologies are used in the cleaning and maintenance of drains, chambers, and ducts of the rainfall drainage system.
The Hydraulic Plan includes infrastructure works, like rainwater Runoff Systems and Lakes as Flood Buffers in addition to tunnel extension  on the different streams that run underneath the City in order to increase their capacity:
-Arroyo Maldonado: a new 12km relief canal (in the form of an elongated tunnel) was constructed using the hydrofraise
technique, a Latin American first. The improvements directly
benefit 267,000 individuals and benefit the entire city indirectly
by preventing floods in its largest basin. 
-Arroyo Vega: a second tunnel to extend by 60% its capacity, is being constructed and will have 8.4 km long.",2008,In operation,Technical/Infrastructure investment
6,Meteorological Network - Autonomous City of Buenos Aires,"Autonomous City of Buenos Aires, Argentina",Argentina,"In order to face weather changes it is essential to have consistent data collected over many years. The new sensor system seeks to complement the existing weather alert network, by better understanding the status of sewers and channel relievers, allowing the building of an early alert to possible flooding. 
The new system provides underground information in real time about rainfall and storm effects in different neighbourhoods of the City. It is equipped with 28 water level sensors (limnigraphs) located in rainfall drainage systems which shall provide data regarding the amount of water concentrated in relation to pipe capacity during heavy rainfall events that is received in the CUCC.
Currently, the City of Buenos Aires has a weather alert network run by the Emergency Squad along with the Ministry of Environment and Public Space that monitors permanently meteorological, hydrological and environmental parameters that will allow to model, predict and anticipate flooding.",2008,In operation,Assessment/Research
7,Prevention Actions - Autonomous City of Buenos Aires,"Autonomous City of Buenos Aires, Argentina",Argentina,"In order to address the necessity for improvement in response to emergencies and training of prevention actions for the vulnerable sectors of society, it have been developed different training courses not only for  the personal involved in the emergency response but also training for community institutions such as schools and senior centers. It is projected to apply a set of improvement measures in the quality and quantity of the tools and equipment necessary to act during and after an emergency. It is also important to continue with the training courses, especially to the people living in low income settlements.",,,Education/Awareness Raising
8,Analysis and Vulnerability Reduction  - Autonomous City of Buenos Aires,"Autonomous City of Buenos Aires, Argentina",Argentina,"Understanding the importance of developing new information, data and models to prepare for the future events the City acts on different topics.
-Strategies for the hydrological vulnerability: The Buenos Aires’ Territorial Model (a development plan for the period 2010-2060) includes studies about hydraulic vulnerability with the purpose of establishing strategies to mitigate the effects of increasing average annual rainfall and the resulting floods. So as to increase drainage capacity, in the next period, the city will continue incorporating green areas; and reservoirs in specific areas to contain the excess water in cases of heavy rainfall.
-Geo-referenced information and risk mapping: this strategy is orientated to the systematization of the information in maps, aiming to have a Vulnerability Map as final product, this will be carried forward by Buenos Aires EPA. This map is a very helpful tool to evaluate the risk associated to each territory. The inputs are given by past experience events, projections and scientific research.",,In operation,Assessment/Research
9,Emergency Resilience Promotion - Autonomous City of Buenos Aires,"Autonomous City of Buenos Aires, Argentina",Argentina,"Informal settlements identified as most-at-risk population are subject of training courses with the purpose of providing them with the knowledge for being “First Actors”; this is how they can bring a basic assistance and orientate the help in case of critical events. Bearing in mind, its importance and big success, the program will be extended in the next period.",,In operation,Education/Awareness Raising
