,city,country,description,name,start year,status,type
0,"Autonomous City of Buenos Aires, Argentina",Argentina,"The health sector has an important role in mitigating climate change, without neglecting the essential role of providing quality health care.
The Green and Sustainable Hospitals Programs seek to diagnose and capacitate hospitals in the city on the following topics: noise, sustainable construction, energy efficiency, responsible use of water, and waste management. 
Voluntarily, each participating hospitals chooses the topics in which it will make improvements and works together with a technical team which gives advice and training to be able to achieve its action plan.",Green and sustainable hospitals - Autonomous City of Buenos Aires,2014,In operation,Policy/Strategies/Action Plans
1,"Autonomous City of Buenos Aires, Argentina",Argentina,"In October 2013, a joint resolution was signed by the Environmental Protection Agency (ARPA) and the Government Administration of Public Revenue (AGIP), which establishes the plate tax exemption to all hybrid and / or electric vehicles based in the City of Buenos Aires. 
It is noteworthy that at present only a few brands offer this type of cars in the City. It is expected that in the medium term, more choices will be available and prices will  decrease. This, plus the tax benefit, the sale of these vehicles will boost. 
This action is another incentive the Government of the City of Buenos Aires in order to have a greener city.",Benefits for green vehicles - Autonomous City of Buenos Aires,2013,Completed,Fiscal / Financial mechanism
2,"Autonomous City of Buenos Aires, Argentina",Argentina,"Buenos Aires aims to replace gradually the total amount of street lights and traffic signals with more efficient technologies, such as LED, solar panels for street lights and wind power. ",Energy Efficiency in public Lighting -stage 2 - Autonomous City of Buenos Aires,2012,In operation,Technical/Infrastructure investment
3,"Autonomous City of Buenos Aires, Argentina",Argentina,"In order to encourage and facilitate separation at source and increase citizen participation, the City launched the first Mobile Recycling Unit in October 2012; today there are 32 Green Reception Points available for disposing recyclable domestic waste and small informatics devices. Moreover the city is installing in the street new differentiated containerisation to leave recyclables, which are collected by urban recycling cooperatives.
Residents may also take directly their recyclable waste and to the green centers where waste classification takes place, which are 10 in total, within the City.
As from October 2012, supermarkets and autoservices will deliver only non-biodegradable bags which are certified; 50% of the non-biodegradable bags delivered should be green and 50% black, so they can be used for source separation of household waste. These businesses must count, as well, with incentive schemes to increase the use of reusable bags and carts by their clients. In addition, they must supply with reusable bags available for sale, in order to promote its use.",Improving waste management. Stage 2. - Autonomous City of Buenos Aires,2012,In operation,Policy/Strategies/Action Plans
4,"Autonomous City of Buenos Aires, Argentina",Argentina,"In September 2012, the Environmental Economics Center was created to promote sustainable development. This was possible due to a commitment signed between the Environmental Protection Agency and the Italian community of Genoa. The project considers the creation of a place working as an information center to promote best practices in production and consumption, as an environmental business incubator and as a place for the development of technical and academic conferences to promote green jobs in the City of Buenos Aires.",Environmental Economic Center - Autonomous City of Buenos Aires,2012,In operation,
5,"Autonomous City of Buenos Aires, Argentina",Argentina,"The first stage of the Downtown Plan was completed, covering 33 blocks which have become pedestrian, the levelling of driveways and sidewalks, the construction of bike lanes, and the incorporation of underground MSW containers, as well as new lighting with LED technology. At the same time, a recovery of the facades of the most representative buildings in the area took place, in order to strengthen the heritage values, including the placement of a plaque to remember the purpose and the year of its construction.
The renovation of the public space downtown aims to increase accessibility and convenience for people: on completion of the works planned, 70% of the area will be pedestrian, 76 blocks leveled, 71 facades recovered, 70 underground MSW containers incorporated and 100% of LED technology in streets, avenues, pedestrianized areas and intervened buildings.",Downtown Plan - Autonomous City of Buenos Aires,2012,In operation,Technical/Infrastructure investment
6,"Autonomous City of Buenos Aires, Argentina",Argentina,"As the results with the first BRT corridor have been successful, and in not for every part of the city, the subway extension is the best option because of the drainage pipelines, the extension of the BRT network took place.
In July 2013, two new corridors have been inaugurated: a 3,5km extension was built in the 9 de Julio Avenue, raising the avenue passenger transport capacity as well as reducing travel time; the BRT system was further extended 22,5km, joining Constitución with La Noria bridge. 
By the end of 2015, the system will have reached a total extension of 56.3km, with 4 new BRT corridors that complement the ones already working, being used by more than 60 different buses.",Bus Rapid Transit - stage 2 - Autonomous City of Buenos Aires,2012,Completed,Technical/Infrastructure investment
7,"Autonomous City of Buenos Aires, Argentina",Argentina,"A second stage of the program “Thermal solar energy in social housing” is taking place at the moment. With the objective of supplying with hot water to the neighbors and reduce energy consumption, the project promotes the use of renewable energy, specifically solar thermal, and seeks to install the concept of energy rational use and energy efficiency among the neighbors. It takes place in the low income neighborhood: “Villa 1-11-14”, a well known shanty town of Buenos Aires City, for its size and population number (calculated in 40,000 habitants). In this case, the program has recently installed water heating solar collectors in two Community Center buildings, and has installed solar water heaters in the five selected residential houses.
It is important to consider the awareness raising effects this program has; bearing in mind the community center is used by children, who happen to be great communicators for best practice techniques. In the same line, as neighbors do not usually pay for the electricity fee, improving consumption behavior raises as one of the priorities in these kinds of settlements; especially considering that the energy demand in Buenos Aires, in residential and service sector especially, has duplicated in the last 10 years.
At the same time, we are currently developing the first program for socio-environmental initiatives in communities, which consists of the granting of nonrefundable contributions (subsidies) aiming at financing eco-friendly projects of production and infrastructure which help improve the standard of living of vulnerable communities.
Currently, training courses on these technology and environmental awareness are offered by the Environmental Protection Agency.",Solar energy for urbanization. Stage 2 - Autonomous City of Buenos Aires,2011,In operation,Technical/Infrastructure investment
8,"Autonomous City of Buenos Aires, Argentina",Argentina,"The City has already replaced approximately 70,000 street lights with LED technology, from a total of 126,000 in the City, resulting in a 40% energy saving. The City has also replaced 100% of the incandescent bulbs in traffic lights crossroads with the same technology..
A new technique being put into practice by the Government of the City consists of the optimization of lighting networks in public space by means of dimming and the use of voltage filters. Dimming entails a power reduction by 5% without loosing the perception of illumination, which is important to maintain security in public space.
By 2020, 56.000 light lamps, reaching the 100% of Public Lighting, are expected to have been replaced with the most efficient technology available in the market.",Energy Efficiency in Public Lighting - Autonomous City of Buenos Aires,2011,In operation,Technical/Infrastructure investment
9,"Autonomous City of Buenos Aires, Argentina",Argentina,"The Bus Rapid Transit system (BRT), or Metrobus as it is called in Buenos Aires, is used in more than 150 cities around the world. Because it uses an exclusive center lane, journey time is reduced around 40%. In avoiding constant moving and stopping, this means of transportation reduces emissions and fuel expenses and helps reach established schedule deadlines. The Metrobus is part of the Sustainable Mobility Plan, and aims to provide the city with a road infrastructure for a large number of passengers, with a high quality bus service according to traditional urban buses. 
We have chosen Juan B Justo Avenue to launch this system because it connects the City from West to East. Besides, it connects the passengers with one of the railroads and two subway lines. Each one of the 100,000 BRT passengers save 75 hours of journey time during one year. Juan B Justo BRT corridor is 12 km long and 7 bus lines run within it.",Bus Rapid Transit - Stage 1 - Autonomous City of Buenos Aires,2010,Completed,Technical/Infrastructure investment
