,actions_nr,city,city_profile_url,commitments_nr,country,performance_nr,state
0,40,Autonomous City of Buenos Aires,http://carbonn.org/city_profiles/Autonomous_City_of_Buenos_Aires&text=Autonomous%20City%20of%20Buenos%20Aires%20on%20Carbonn%20Climate%20Registry,4,Argentina,27,
1,1,Municipality of Arias,http://carbonn.org/city_profiles/Municipality_of_Arias&text=Municipality%20of%20Arias%20on%20Carbonn%20Climate%20Registry,0,Argentina,2,
2,1,Municipality of Armstrong,http://carbonn.org/city_profiles/Municipality_of_Armstrong&text=Municipality%20of%20Armstrong%20on%20Carbonn%20Climate%20Registry,0,Argentina,2,
3,1,Municipality of Arteaga,http://carbonn.org/city_profiles/Municipality_of_Arteaga&text=Municipality%20of%20Arteaga%20on%20Carbonn%20Climate%20Registry,0,Argentina,0,
4,1,Municipality of Carcarañá,http://carbonn.org/city_profiles/Municipality_of_Carcara%C3%B1%C3%A1&text=Municipality%20of%20Carcara%C3%B1%C3%A1%20on%20Carbonn%20Climate%20Registry,0,Argentina,2,
5,1,Municipality of Carlos Tejedor,http://carbonn.org/city_profiles/Municipality_of_Carlos_Tejedor&text=Municipality%20of%20Carlos%20Tejedor%20on%20Carbonn%20Climate%20Registry,0,Argentina,2,
6,1,Municipality of Chacabuco,http://carbonn.org/city_profiles/Municipality_of_Chacabuco&text=Municipality%20of%20Chacabuco%20on%20Carbonn%20Climate%20Registry,0,Argentina,2,
7,3,Municipality of Chañar Ladeado,http://carbonn.org/city_profiles/Municipality_of_Cha%C3%B1ar_Ladeado&text=Municipality%20of%20Cha%C3%B1ar%20Ladeado%20on%20Carbonn%20Climate%20Registry,0,Argentina,2,
8,0,Municipality of General Viamonte,http://carbonn.org/city_profiles/Municipality_of_General_Viamonte&text=Municipality%20of%20General%20Viamonte%20on%20Carbonn%20Climate%20Registry,0,Argentina,2,
9,5,Municipality of Godoy Cruz,http://carbonn.org/city_profiles/Municipality_of_Godoy_Cruz&text=Municipality%20of%20Godoy%20Cruz%20on%20Carbonn%20Climate%20Registry,0,Argentina,2,
10,1,Municipality of Guaminí,http://carbonn.org/city_profiles/Municipality_of_Guamin%C3%AD&text=Municipality%20of%20Guamin%C3%AD%20on%20Carbonn%20Climate%20Registry,0,Argentina,2,
11,1,Municipality of Lobos,http://carbonn.org/city_profiles/Municipality_of_Lobos&text=Municipality%20of%20Lobos%20on%20Carbonn%20Climate%20Registry,0,Argentina,2,
12,1,Municipality of Los Surgentes,http://carbonn.org/city_profiles/Municipality_of_Los_Surgentes&text=Municipality%20of%20Los%20Surgentes%20on%20Carbonn%20Climate%20Registry,0,Argentina,2,
13,1,Municipality of Malabrigo,http://carbonn.org/city_profiles/Municipality_of_Malabrigo&text=Municipality%20of%20Malabrigo%20on%20Carbonn%20Climate%20Registry,0,Argentina,2,
14,1,Municipality of Nogoyá,http://carbonn.org/city_profiles/Municipality_of_Nogoy%C3%A1&text=Municipality%20of%20Nogoy%C3%A1%20on%20Carbonn%20Climate%20Registry,0,Argentina,2,
15,3,Municipality of Paraná,http://carbonn.org/city_profiles/Municipality_of_Paran%C3%A1&text=Municipality%20of%20Paran%C3%A1%20on%20Carbonn%20Climate%20Registry,0,Argentina,2,
16,4,Municipality of Potrero de los Funes,http://carbonn.org/city_profiles/Municipality_of_Potrero_de_los_Funes&text=Municipality%20of%20Potrero%20de%20los%20Funes%20on%20Carbonn%20Climate%20Registry,0,Argentina,2,
17,11,Municipality of Rosario,http://carbonn.org/city_profiles/Municipality_of_Rosario&text=Municipality%20of%20Rosario%20on%20Carbonn%20Climate%20Registry,1,Argentina,1,
18,1,Municipality of Salliqueló,http://carbonn.org/city_profiles/Municipality_of_Salliquel%C3%B3&text=Municipality%20of%20Salliquel%C3%B3%20on%20Carbonn%20Climate%20Registry,0,Argentina,2,
19,1,Municipality of San Carlos Sud,http://carbonn.org/city_profiles/Municipality_of_San_Carlos_Sud&text=Municipality%20of%20San%20Carlos%20Sud%20on%20Carbonn%20Climate%20Registry,0,Argentina,2,
20,0,Municipality of San Isidro,http://carbonn.org/city_profiles/Municipality_of_San_Isidro&text=Municipality%20of%20San%20Isidro%20on%20Carbonn%20Climate%20Registry,0,Argentina,3,
21,6,Municipality of Santa Fe de la Vera Cruz,http://carbonn.org/city_profiles/Municipality_of_Santa_Fe_de_la_Vera_Cruz&text=Municipality%20of%20Santa%20Fe%20de%20la%20Vera%20Cruz%20on%20Carbonn%20Climate%20Registry,0,Argentina,2,
22,2,Municipality of Totoras,http://carbonn.org/city_profiles/Municipality_of_Totoras&text=Municipality%20of%20Totoras%20on%20Carbonn%20Climate%20Registry,0,Argentina,2,
23,0,Municipality of Venado Tuerto,http://carbonn.org/city_profiles/Municipality_of_Venado_Tuerto&text=Municipality%20of%20Venado%20Tuerto%20on%20Carbonn%20Climate%20Registry,0,Argentina,1,
24,1,Municipality of Villa Pehuenia,http://carbonn.org/city_profiles/Municipality_of_Villa_Pehuenia&text=Municipality%20of%20Villa%20Pehuenia%20on%20Carbonn%20Climate%20Registry,0,Argentina,1,
25,0,Adelaide City Council,http://carbonn.org/city_profiles/Adelaide_City_Council&text=Adelaide%20City%20Council%20on%20Carbonn%20Climate%20Registry,1,Australia,1,
26,0,Australian Capital Territory Government,http://carbonn.org/city_profiles/Australian_Capital_Territory_Government&text=Australian%20Capital%20Territory%20Government%20on%20Carbonn%20Climate%20Registry,3,Australia,2,
27,0,Byron Shire Council,http://carbonn.org/city_profiles/Byron_Shire_Council&text=Byron%20Shire%20Council%20on%20Carbonn%20Climate%20Registry,1,Australia,2,
28,3,City of Joondalup,http://carbonn.org/city_profiles/City_of_Joondalup&text=City%20of%20Joondalup%20on%20Carbonn%20Climate%20Registry,2,Australia,2,
29,6,City of Lake Macquarie Council,http://carbonn.org/city_profiles/City_of_Lake_Macquarie_Council&text=City%20of%20Lake%20Macquarie%20Council%20on%20Carbonn%20Climate%20Registry,0,Australia,0,
30,10,City of Mandurah,http://carbonn.org/city_profiles/City_of_Mandurah&text=City%20of%20Mandurah%20on%20Carbonn%20Climate%20Registry,3,Australia,2,
31,0,City of Melville,http://carbonn.org/city_profiles/City_of_Melville&text=City%20of%20Melville%20on%20Carbonn%20Climate%20Registry,0,Australia,1,
32,6,City of Subiaco,http://carbonn.org/city_profiles/City_of_Subiaco&text=City%20of%20Subiaco%20on%20Carbonn%20Climate%20Registry,0,Australia,0,
33,8,City of Sydney,http://carbonn.org/city_profiles/City_of_Sydney&text=City%20of%20Sydney%20on%20Carbonn%20Climate%20Registry,6,Australia,2,
34,5,Melbourne City Council,http://carbonn.org/city_profiles/Melbourne_City_Council&text=Melbourne%20City%20Council%20on%20Carbonn%20Climate%20Registry,0,Australia,0,
35,3,Mornington Peninsula Shire Council,http://carbonn.org/city_profiles/Mornington_Peninsula_Shire_Council&text=Mornington%20Peninsula%20Shire%20Council%20on%20Carbonn%20Climate%20Registry,0,Australia,2,
36,5,Port Phillip City Council,http://carbonn.org/city_profiles/Port_Phillip_City_Council&text=Port%20Phillip%20City%20Council%20on%20Carbonn%20Climate%20Registry,2,Australia,1,
37,0,Tweed Shire Council,http://carbonn.org/city_profiles/Tweed_Shire_Council&text=Tweed%20Shire%20Council%20on%20Carbonn%20Climate%20Registry,8,Australia,1,
38,0,Yarra City Council,http://carbonn.org/city_profiles/Yarra_City_Council&text=Yarra%20City%20Council%20on%20Carbonn%20Climate%20Registry,5,Australia,2,
39,20,City of Graz,http://carbonn.org/city_profiles/City_of_Graz&text=City%20of%20Graz%20on%20Carbonn%20Climate%20Registry,5,Austria,1,
40,58,Brussels Capital Region,http://carbonn.org/city_profiles/Brussels_Capital_Region&text=Brussels%20Capital%20Region%20on%20Carbonn%20Climate%20Registry,1,Belgium,9,
41,31,City of Antwerp,http://carbonn.org/city_profiles/City_of_Antwerp&text=City%20of%20Antwerp%20on%20Carbonn%20Climate%20Registry,6,Belgium,2,
