name,country,commitments,submission,year,region,population,sectors,target
AVIANO,Italy,2020,2016-04-06				,2014			,"",9142,Local electricity production; Others; Transport; Tertiary buildings equipment facilities; Municipal buildings equipment facilities; Public lighting,25%
Aachen,Germany,2020;ADAPT,2015-02-20				,2011			,"Köln, Kreisfreie Stadt",244509,Transport; Local heat cold production; Local electricity production; Others; Residential buildings; Municipal buildings equipment facilities; Public lighting,40%
Aalst,Belgium,2020,2017-07-06				,2015			,"",83267,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Industry; Local heat cold production; Others,20%
Abanto-Zierbena,Spain,2020,2015-06-03				,2012			,"",9724,Transport; Residential buildings; Others; Municipal buildings equipment facilities; Public lighting; Local electricity production; Tertiary buildings equipment facilities,22%
Abbadia Lariana,Italy,2020,2016-07-13				,2013			,"",3249,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Others,23%
Abbiategrasso,Italy,2020,2015-02-20				,2011			,"",30000,Transport; Local electricity production; Municipal buildings equipment facilities; Public lighting; Local heat cold production; Others,30%
Abla,Spain,2020,2018-09-17				,2011			,"",1505,Others; Municipal buildings equipment facilities; Transport; Public lighting; Residential buildings,21%
Abrantes,Portugal,2020,2015-07-30				,2013			,"",19132,Transport; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Others; Industry; Public lighting; Residential buildings; Local electricity production,23%
Abrucena,Spain,2020,2018-11-28				,2011			,"",1358,Others; Public lighting; Municipal buildings equipment facilities; Transport; Local electricity production; Residential buildings,20%
Acciano,Italy,2020,2015-11-14				,2015			,"",339,Local heat cold production; Public lighting; Transport; Local electricity production; Residential buildings,25%
Administration Communale de Tellin,Belgium,2020,2018-10-26				,2016			,Arr. Neufchâteau,2475,Municipal buildings equipment facilities; Residential buildings; Transport; Others; Local heat cold production; Local electricity production; Industry; Public lighting; Tertiary buildings equipment facilities,23%
Administration communale de La Hulpe,Belgium,2030;ADAPT,2018-09-06				,2018			,Arr. Nivelles,7303,Residential buildings; Local electricity production; Transport; Public lighting; Tertiary buildings equipment facilities; Municipal buildings equipment facilities,40%
Adra,Spain,2020,2018-09-17				,2011			,Almería,23195,Others; Transport; Municipal buildings equipment facilities,28%
Agioi Anargyroi-Kamatero,Greece,2020;ADAPT,2015-02-19				,2012			,"",55191,Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Others,20%
Agios Athanasios,Cyprus,2020,2015-03-11				,2011			,"",15500,Local heat cold production; Municipal buildings equipment facilities; Local electricity production; Residential buildings; Public lighting; Others; Tertiary buildings equipment facilities; Transport; Industry,20%
Agnosine,Italy,2020,2018-12-09				,2012			,"",1875,Others; Local electricity production; Transport; Public lighting; Residential buildings; Municipal buildings equipment facilities; Tertiary buildings equipment facilities,21%
Agrafa,Greece,2030;ADAPT,2018-09-03				,2018			,"",14365,Others; Transport; Municipal buildings equipment facilities; Public lighting; Residential buildings; Tertiary buildings equipment facilities,40%
Agrate Brianza,Italy,2020;2030;ADAPT,2014-09-18				,2011			,"",15035,Others; Transport; Municipal buildings equipment facilities; Public lighting; Local electricity production; Local heat cold production; Tertiary buildings equipment facilities; Residential buildings,20%
Agres ,Spain,2020,2016-01-05				,2011			,Alicante / Alacant,583,Local electricity production; Municipal buildings equipment facilities; Residential buildings; Tertiary buildings equipment facilities; Others; Public lighting; Transport,20%
Agropoli,Italy,2020,2016-09-20				,2013			,"",35823,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Industry; Others,22%
Agrón,Spain,2020,2016-11-23				,2012			,Granada,342,Transport; Others; Public lighting; Municipal buildings equipment facilities; Residential buildings; Local electricity production,20%
Aguadulce,Spain,2020,2016-08-02				,2012			,"",2169,Transport; Local electricity production; Others; Public lighting; Municipal buildings equipment facilities; Residential buildings; Local heat cold production,30%
