,attr_Emissions_reduction,attr_Energy_access_&_efficiency,attr_Renewable_energy,baseline_year,cdp,company_classification,country,dollar_value,entity_type,name,percent_reduction,raw_commitment,target_year,url,attr_Use_of_carbon_price,attr_Building,attr_Private_finance,climatebonds,green_bond,carbonn,community_wide,covenant_of_mayors,attr_Resilience,attr_Forest,attr_Transport,attr_Other,attr_Short_term_pollutants,climategroup,investorsclimatechange,globalcompact,attr_Agriculture,cooperative-initiative,attr_Innovation
,,,,,,Food and Staples Retailing,South Africa,,Company,Pick 'n Pay Stores Ltd,,Responsible corporate engagement in climate policy,,/company/pick-'n-pay-stores-ltd,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Media,United Kingdom of Great Britain and Northern Ireland,,Company,RELX Group plc,,Responsible corporate engagement in climate policy,,/company/relx-group-plc,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Air Transportation - Airport Services,France,,Company,ADP (Aeroports de Paris),,Responsible corporate engagement in climate policy,,/company/adp-aeroports-de-paris-,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,,Germany,,Investor,Commerzbank AG,,Responsible corporate engagement in climate policy,,/company/commerzbank-ag,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Telecommunication Services,Netherlands,,Company,Koninklijke KPN NV (Royal KPN),,Responsible corporate engagement in climate policy,,/company/koninklijke-kpn-nv-royal-kpn-,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,,Colombia,,Investor,BanColombia SA,,Responsible corporate engagement in climate policy,,/company/bancolombia-sa,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Telecommunication Services,South Africa,,Company,Vodacom Group,,Responsible corporate engagement in climate policy,,/company/vodacom-group,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,"Electric Utilities, Independent Power Producers, and Energy Traders",Germany,,Company,EnBW Energie Baden-Württemberg AG,,Responsible corporate engagement in climate policy,,/company/enbw-energie-baden-wurttemberg-ag,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Mining - Other (Precious Metals and Gems),South Africa,,Company,Royal Bafokeng Platinum Limited,,Responsible corporate engagement in climate policy,,/company/royal-bafokeng-platinum-limited,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Telecommunication Services,Singapore,,Company,Singtel,,Responsible corporate engagement in climate policy,,/company/singtel,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,"Trading Companies, Distributors, Commercial Services and Supplies",United Kingdom of Great Britain and Northern Ireland,,Company,Travis Perkins,,Responsible corporate engagement in climate policy,,/company/travis-perkins,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,,Taiwan Province of China,,Investor,Cathay Financial Holding,,Responsible corporate engagement in climate policy,,/company/cathay-financial-holding,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Oil and Gas,Thailand,,Company,PTT Exploration & Production Public Company Limited,,Responsible corporate engagement in climate policy,,/company/ptt-exploration-production-public-company-limited,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
