,attr_Emissions_reduction,attr_Energy_access_&_efficiency,attr_Renewable_energy,baseline_year,cdp,company_classification,country,dollar_value,entity_type,name,percent_reduction,raw_commitment,target_year,url,attr_Use_of_carbon_price,attr_Building,attr_Private_finance,climatebonds,green_bond,carbonn,community_wide,covenant_of_mayors,attr_Resilience,attr_Forest,attr_Transport,attr_Other,attr_Short_term_pollutants,climategroup,investorsclimatechange,globalcompact,attr_Agriculture
0,1.0,1.0,1.0,2013.0,1.0,"Trading Companies, Distributors, Commercial Services and Supplies",Sweden,,Company,2050 Consulting,75.0,Reduce CO2e emissions intensity across their value chain by 75% per fulltime employee from 2013 to 2020 through increased energy efficiency and renewable energy procurement,2020.0,/company/2050-consulting,,,,,,,,,,,,,,,,,
1,,,,,1.0,"Consumer Durables, Household and Personal Products",United States of America,,Company,3M Company,,Set an internal carbon price by 2017,2017.0,/company/3m-company,1.0,,,,,,,,,,,,,,,,
2,1.0,,,2002.0,1.0,"Consumer Durables, Household and Personal Products",United States of America,,Company,3M Company,50,Reduce operational CO2e emission by 50% from 2002 to 2025 ,2025.0,/company/3m-company,,,,,,,,,,,,,,,,,
3,,,1.0,,1.0,"Consumer Durables, Household and Personal Products",United States of America,,Company,3M Company,,Supply 25% of total electricity consumption from renewables by 2025 from 0.5% in 2015,2025.0,/company/3m-company,,,,,,,,,,,,,,,,,
4,1.0,1.0,,2005.0,1.0,"Consumer Durables, Household and Personal Products",United States of America,,Company,3M Company,25,Reduce operational CO2e emissions intensity by 25% per net sales from 2005 to 2015 through increased energy efficiency,2015.0,/company/3m-company,,,,,,,,,,,,,,,,,
5,,,,,,Real Estate,Canada,170000000.0,Investor,500 Georgia Office Partnership,,USD 170m green bonds issued for projects in energy efficiency in buildings in Canada,,/company/500-georgia-office-partnership,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
6,1.0,,,2009.0,,,Spain,,City,A Coruña,23,Reduce community-wide CO2 emissions by 23% from 2009 to 2020,2020.0,/city/a-coruna/spain,,,,,,1.0,1.0,1.0,,,,,,,,,
7,,,1.0,,,,Spain,,City,A Coruña,20,Increase share of renewables in final energy mix of the community to 20% by 2020,2020.0,/city/a-coruna/spain,,,,,,1.0,1.0,,,,,,,,,,
8,1.0,,,,,,Spain,,City,A Coruña,50,Reduce CO2 emissions from government operations by 50% by 2020 based on 2009 levels,2020.0,/city/a-coruna/spain,,,,,,1.0,,,,,,,,,,,
9,1.0,,,2011.0,1.0,Food and Beverage Processing,United Kingdom of Great Britain and Northern Ireland,,Company,A.G. Barr Plc,13,Reduce operational CO2e emissions intensity by 13% per tonne of product from 2011 to 2020 through increased energy efficiency,2020.0,/company/a-g-barr-plc,,,,,,,,,,,,,,,,,
10,,,,,1.0,Food and Beverage Processing,United Kingdom of Great Britain and Northern Ireland,,Company,A.G. Barr Plc,,Set an internal carbon price by 2017,2017.0,/company/a-g-barr-plc,1.0,,,,,,,,,,,,,,,,
11,,,,,1.0,Water Transportation,Denmark,,Company,A.P. Moller - Maersk,,Set an internal carbon price by 2017,2017.0,/company/a-p-moller--maersk,1.0,,,,,,,,,,,,,,,,
