,name,entity_type,country
0,Asics Corporation,Investor,Japan
1,Asics Corporation,Investor,Japan
2,Astellas Pharma Inc.,Investor,Japan
3,Atos SE,Investor,France
4,Atos SE,Investor,France
5,ams AG,Investor,Austria
6,ams AG,Investor,Austria
7,"Autodesk, Inc.",Investor,United States of America
8,"Autodesk, Inc.",Investor,United States of America
9,"Autodesk, Inc.",Investor,United States of America
10,"Autodesk, Inc.",Investor,United States of America
11,Ball Corporation,Investor,United States of America
12,Baxter International Inc.,Investor,United States of America
13,Biogen Inc.,Investor,United States of America
14,Biogen Inc.,Investor,United States of America
15,BMW AG,Investor,Germany
16,BMW AG,Investor,Germany
17,Burberry Group,Investor,United Kingdom of Great Britain and Northern Ireland
18,CA Technologies,Investor,United States of America
19,Commerzbank AG,Investor,Germany
20,Constantia Flexibles,Supply Chain,Austria
21,Constantia Flexibles,Supply Chain,Austria
22,Dentsu Inc.,Investor,Japan
23,Deutsche Bank AG,Investor,Germany
24,Deutsche Telekom AG,Investor,Germany
25,Deutsche Telekom AG,Investor,Germany
26,Deutsche Telekom AG,Investor,Germany
27,Deutsche Telekom AG,Investor,Germany
28,Electrolux,Investor,Sweden
29,Electrolux,Investor,Sweden
30,Estee Lauder Companies Inc.,Investor,United States of America
31,FLSmidth & Co. A/S,Investor,Denmark
32,Geberit AG,Investor,Switzerland
33,General Electric Company,Investor,United States of America
34,"Hasbro, Inc.",Investor,United States of America
35,Hays,Investor,United Kingdom of Great Britain and Northern Ireland
36,Helvetia Group,Investor,Switzerland
37,HUGO BOSS AG,Investor,Germany
38,Intel Corporation,Investor,United States of America
39,Intel Corporation,Investor,United States of America
40,JCDecaux SA.,Investor,France
41,L'Oréal,Investor,France
42,L'Oréal,Investor,France
43,L'Oréal,Investor,France
44,L'Oréal,Investor,France
45,LEGRAND,Investor,France
46,LEGRAND,Investor,France
47,LEGRAND,Investor,France
48,"Lexmark International, Inc.",Investor,United States of America
49,"Marsh & McLennan Companies, Inc.",Investor,United States of America
50,Mastercard Incorporated,Investor,United States of America
51,Mastercard Incorporated,Investor,United States of America
52,"Merck & Co., Inc.",Investor,United States of America
53,Mondi PLC,Investor,United Kingdom of Great Britain and Northern Ireland
54,Mondi PLC,Investor,United Kingdom of Great Britain and Northern Ireland
55,NH Hotel Group,Investor,Spain
56,NH Hotel Group,Investor,Spain
57,Nobia,Investor,Sweden
58,Novartis,Investor,Switzerland
59,Novartis,Investor,Switzerland
60,Österreichische Post AG,Investor,Austria
61,Orkla ASA,Investor,Norway
62,Orkla ASA,Investor,Norway
63,Orkla ASA,Investor,Norway
64,Orkla ASA,Investor,Norway
65,Orkla ASA,Investor,Norway
66,Orkla ASA,Investor,Norway
67,Panasonic Corporation,Investor,Japan
68,Panasonic Corporation,Investor,Japan
69,Panasonic Corporation,Investor,Japan
70,Prudential plc,Investor,United Kingdom of Great Britain and Northern Ireland
71,QUALCOMM Inc.,Investor,United States of America
72,Raiffeisen Bank International AG,Investor,Austria
73,Raiffeisen Bank International AG,Investor,Austria
74,Raiffeisen Bank International AG,Investor,Austria
75,Raiffeisen Bank International AG,Investor,Austria
76,Royal Bank of Scotland Group,Investor,United Kingdom of Great Britain and Northern Ireland
77,Royal Bank of Scotland Group,Investor,United Kingdom of Great Britain and Northern Ireland
78,Samsung SDI,Investor,Republic of Korea
79,Samsung SDI,Investor,Republic of Korea
80,Meliá Hotels International S.A.,Investor,Spain
81,Meliá Hotels International S.A.,Investor,Spain
82,Sony Corporation,Investor,Japan
83,Sumitomo Mitsui Financial Group,Investor,Japan
84,Symantec Corporation,Investor,United States of America
85,Symantec Corporation,Investor,United States of America
86,Telekom Austria AG,Investor,Austria
87,Telekom Austria AG,Investor,Austria
88,Telekom Austria AG,Investor,Austria
89,Terex Corporation,Investor,United States of America
90,UniCredit,Investor,Italy
91,UniCredit,Investor,Italy
92,VERBUND AG,Investor,Austria
93,VERBUND AG,Investor,Austria
94,Voestalpine AG,Investor,Austria
95,Voestalpine AG,Investor,Austria
96,Shire,Investor,Ireland
97,Shire,Investor,Ireland
98,Shire,Investor,Ireland
99,Shire,Investor,Ireland
100,Shire,Investor,Ireland
101,Superdry,Investor,United Kingdom of Great Britain and Northern Ireland
102,Freshfields Bruckhaus Deringer,Supply Chain,United Kingdom of Great Britain and Northern Ireland
103,Freshfields Bruckhaus Deringer,Supply Chain,United Kingdom of Great Britain and Northern Ireland
104,Freshfields Bruckhaus Deringer,Supply Chain,United Kingdom of Great Britain and Northern Ireland
105,Freshfields Bruckhaus Deringer,Supply Chain,United Kingdom of Great Britain and Northern Ireland
106,"VMware, Inc",Investor,United States of America
107,PVH Corp,Investor,United States of America
108,PVH Corp,Investor,United States of America
109,AbbVie Inc,Investor,United States of America
110,AbbVie Inc,Investor,United States of America
111,CNH Industrial NV,Investor,United Kingdom of Great Britain and Northern Ireland
112,News Corp,Investor,United States of America
113,News Corp,Investor,United States of America
114,News Corp,Investor,United States of America
115,Gefco,Supply Chain,France
116,Gefco,Supply Chain,France
117,TUI Group,Investor,United Kingdom of Great Britain and Northern Ireland
118,Adecco Group AG,Investor,Switzerland
119,Adecco Group AG,Investor,Switzerland
120,Adecco Group AG,Investor,Switzerland
121,3M Company,Investor,United States of America
122,Allergan plc,Investor,United States of America
123,Alten,Investor,France
124,Alten,Investor,France
125,Arcadis,Investor,Netherlands
126,Asics Corporation,Investor,Japan
127,Asics Corporation,Investor,Japan
128,Astellas Pharma Inc.,Investor,Japan
129,Atos SE,Investor,France
130,Atos SE,Investor,France
131,Baxter International Inc.,Investor,United States of America
132,Proximus,Investor,Belgium
133,Proximus,Investor,Belgium
134,Proximus,Investor,Belgium
135,Proximus,Investor,Belgium
136,Biogen Inc.,Investor,United States of America
137,Biogen Inc.,Investor,United States of America
138,Bristol-Myers Squibb,Investor,United States of America
139,BT Group,Investor,United Kingdom of Great Britain and Northern Ireland
140,Burberry Group,Investor,United Kingdom of Great Britain and Northern Ireland
141,CA Technologies,Investor,United States of America
142,Cap Gemini,Investor,France
143,Cap Gemini,Investor,France
144,Carrefour,Investor,France
145,Carrefour,Investor,France
146,Cigna,Investor,United States of America
147,Coca-Cola European Partners,Investor,United Kingdom of Great Britain and Northern Ireland
148,Commerzbank AG,Investor,Germany
149,"CommScope, Inc.",Investor,United States of America
150,Constantia Flexibles,Supply Chain,Austria
151,Constantia Flexibles,Supply Chain,Austria
152,"Daikin Industries, Ltd.",Investor,Japan
153,"Daikin Industries, Ltd.",Investor,Japan
154,Danone,Investor,France
155,Dentsu Inc.,Investor,Japan
156,Deutsche Bank AG,Investor,Germany
157,The Dow Chemical Company,Investor,United States of America
158,eBay Inc.,Investor,United States of America
159,Electrolux,Investor,Sweden
160,Electrolux,Investor,Sweden
161,Estee Lauder Companies Inc.,Investor,United States of America
162,Leonardo,Investor,Italy
163,FIRMENICH SA,Investor,Switzerland
164,FIRMENICH SA,Investor,Switzerland
165,FIRMENICH SA,Investor,Switzerland
166,FIRMENICH SA,Investor,Switzerland
167,FUJIFILM Holdings Corporation,Investor,Japan
168,FUJIFILM Holdings Corporation,Investor,Japan
169,FUJIFILM Holdings Corporation,Investor,Japan
170,FUJIFILM Holdings Corporation,Investor,Japan
