Official Name,City,Country,Constituency,Phone,Fax,Email,Coordinator
#13 Foundation Climate and Sustainable Development Centre (#13 Foundation),Warsaw,Poland,Constituency - Environmental,,,emil.wroblewski@fundacja13.pl,Mr. Emil Wroblewski
2° investing initiative (2°ii),Paris,France,Constituency - Research and independent,+33142811997,,diane@2degrees-investing.org,Mr. Thibaut Ghirardi
2050 Climate Group,Edinburgh,United Kingdom of Great Britain and Northern Ireland,Constituency - Youth,+441313132488,,contact@2050.scot,Ms. Sophie Eastwood
A SEED Europe,Amsterdam,Netherlands,Constituency - Environmental,(31-20) 668-2236,(31-20) 468-2275,info@aseed.net,Mr. Flip Vonk
A Sud Ecology and Cooperation - Onlus (A Sud),Rome,Italy,Constituency - Environmental,,,luciegreyl@asud.net,Ms. Lucie Greyl
Aarhus University,Aarhus C,Denmark,Constituency - Research and independent,(45) 8942-1111,(45) 8942-1109,kw@adm.au.dk,Mr. Knud Warming
Abdullah Bin Hamad Al-Attiyah International Foundation for Energy and Sustainable Development (ABHA International Foundation),Doha,Qatar,Constituency - Research and independent,+97440428000,+97440428099,info@abhafoundation.org,Mr. John Kilani
Abibimman Foundation (AF),Tena,Ghana,Constituency - Environmental CAN,(233) 2221-3918,(233) 2221-3918,abibimmanfoundation@gmail.com,Mr. Kenneth Nana Amoateng
Academia Argentina de Ciencias del Ambiente (AACA)H.E. ,Capital Federal,Argentina,Constituency - Research and independent,(54-11) 6091-9753,(54-11) 6091-2100 ext. 9753,academiargentinaca@gmail.com,Mr. Raúl A. Estrada-Oyuela
Academy for Mountain Environics (AME),New Delhi,India,Constituency - Environmental,(91-11) 2653-1814,(91-11) 2653-1814,environics@gmail.com,Mr. Sreedhar Ramamurthi
Academy of Science of South Africa (ASSAf),Pretoria,South Africa,Constituency - Research and independent,(27-12) 349-6600,(27-12) 349-5461,admin@assaf.org.za,Mr. Stanley Maphosa
AccountAbility Strategies (AA),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Research and independent,(44-20) 7549-0400,(44-20) 7253-7440,claire@accountability.org,Ms. Kookie Semhar Habtegaber
ACICAFOC,San José,Costa Rica,Constituency - Environmental,(506) 2240-6274,(506) 2241-1996,oficinaregional@acicafoc.org,Mr. Alberto Chinchilla
ACT Alliance - Action by Churches Together (ACT Alliance),Geneva,Switzerland,Constituency - Environmental CAN,(41-22) 791-6245,(41-22) 791-6506,thorsten.goebel@actalliance.org,Mr. Thorsten Göbel
Action Against Hunger (ACF),Paris,France,Constituency - Environmental,(33-1) 7084 7070,(33-1) 7084 7071,info@actioncontrelafaim.org,Mme Peggy Pascal
Action Committee for the Three Global Conventions of the United Nations (CA3C),Rome,Italy,Constituency - Environmental,(39-06)841-6036,(39-06)884-5960,3csc@3csc.net,Mr. Fabio Manzione
Action des Chrétiens Activistes des Droits de l'Homme à Shabunda (ACADHOSHA),Bukavu,Democratic Republic of the Congo,Constituency - Environmental,00243812124090,,acadhosha@yahoo.fr,Mr. Descartes Mponge
Action for a Global Climate Community (AGCC),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Environmental,(44-20) 3176-0538,,estellerouhaud@climatecommunity.org,Ms. Estelle Rouhaud
Action Jeunesse pour le Développement (AJED-CONGO),Brazzaville,Congo,Constituency - Youth,+242 55924280,,ong.ajedcg@gmail.com,Mr. Cyriaque Mvoula
Action Massive Rurale (AMAR),Kinshasa,Democratic Republic of the Congo,Constituency - Environmental,+243 815171443,,ong.amar@yahoo.fr,Mr. Philippe Nzita Nzemba
Action Planéterre (AP),Aubervilliers,France,Constituency - Environmental,0605648709,,contact@actionplaneterre.org,Mr. Mahamadoun Abdoulaye Traore
Action pour la taxation des transactions pour l'aide aux citoyens (ATTAC France),Paris,France,Constituency - Research and independent,(33-1) 5606 4360,(33-1) 4493 9814,attacfr@attac.org,Ms. Jeanne Planche
Action Solidarité Tiers-Monde a.s.b.l. (ASTM),Luxembourg,Luxembourg,Constituency - ENGO,(352)400-4271,(352)4004-2727,klima@astm.lu,M. Dietmar Mirkes
ActionAid International - South Africa,Johannesburg,South Africa,Constituency - Environmental CAN,(27-11) 731-4500,(27-11) 880-8082,mail.jhb@actionaid.org,Ms. Teresa Maria Isabel Anderson
Adelphi Research (AR),Berlin,Germany,Constituency - Research and independent,(49-30)890-0068-0,(49-30)890-0068-10,taenzler@adelphi-research.de,Mr. Dennis Taenzler
"Advocates for the Environment, Inc.",Shadow Hills,United States of America,Constituency - Environmental,(818) 353-4268,(818) 864-3224,dw@aenv.org,Mr. Dean Wallraff
Advocates for Youth,"Washington, DC",United States of America,Constituency - Youth,(1-202) 419-3420,(1-202) 419-1448,info@advocatesforyouth.org,Ms. Meheret Ogbazghi Melles
Africa Centre for Citizens Orientation (ACCO),Kurudu,Nigeria,Constituency - Environmental,234 803 4295071,,Acconigeria@gmail.com.COM,Mr. Peter Olugbenga Adeleye
Africa Sustainability Center Foundation (ASCENT),Nairobi,Kenya,Constituency - Environmental,,,info@africasustainability.org,Mr. Hamady Kante
Africa Youths International Development Foundation (AFYIDEF),Abuja,Nigeria,Constituency - Youth,(234-80) 3731-9116,,afyidevf@ymail.com,Mr. Tunji John Asaolu
African Centre for Biosafety,Johannesburg,South Africa,Constituency - Research and independent,(27-11) 486-2701,(27-11) 486-1156,office@biosafetyafrica.org.za,Mr. Gareth Jones
African Centre for Technology Studies (ACTS),Nairobi,Kenya,Constituency - Environmental,(254) 712-0607210,(254-20) 233 9093,info@acts-net.org,Mr. Kennedy Liti Mbeva
African Climate Change Research Centre (ACCREC),Dutse,Nigeria,Constituency - Research and independent,(234) 8063 234772,,africanclimatecentre@yahoo.com,Mr. Nura Jibo
African Forest Forum (AFF),Nairobi,Kenya,Constituency - Environmental,(254) 2-0722-4000,(254) 2-0722-4001,g.kowero@cgiar.org,Mr. Godwin Kowero
African Monitor Trust (AM),Cape Town,South Africa,Constituency - Research and independent,(27) 2-1713-2802,(27) 2-1712-1082,info@africanmonitor.org,Mr. Freddy Lutonadio Nkosi
African Wildlife Foundation (AWF),Nairobi,Kenya,Constituency - Environmental,(254-20) 276-5000,(254-20) 276-5030,africanwildlife@awf.org,Mr. Charly Facheux
Agence régionale de l'environnement et des nouvelles energies d'Ile-de-France (ARENE IDF),Pantin,France,Constituency - Environmental,0677264915,,e.faure@areneidf.org,Ms. Tiphaine Durand
Agence Régionale pour la Nature et de la Biodiversité d'ile de France - Natureparif,Paris,France,Constituency - Environmental,01 7577 7900,0175 77 7901,contact@natureparif.fr,Mr. Marc Barra
Agir pour l'environnement (APE),Paris,France,Constituency - Environmental CAN,,,mhuet@agirpourlenvironnement.org,Mr. Mickael Huet
Agora 21,St. Etienne,France,Constituency - Environmental,(33-4)7742-0114,(33-4)7742-6633,agora21@emse. fr,
Agriconsulting S.p.A.,Rome,Italy,Constituency - Business and Industry,(39) 0633-0881,(39) 06-3308-8234,g.andreoli@agriconsulting.it,Mr. Giorgio Andreoli
Agricord vzw,Brussels,Belgium,Constituency - Farmers,+3222392330,,info@agricord.org,Ms. Gabriela Quiroga Gilardoni
Agrisud International Institut International pour l 19Appui au Developpement (Agrisud International),Libourne,France,Constituency - Farmers,+33971539106,+33557251706,sberton@agrisud.org,Mr. Sylvain Berton
Agronomes et vétérinaires sans frontières (AVSF),Lyon,France,Constituency - Farmers,(33 0) 4786 97959,(33 0) 4786 97956,avsf@avsf.org,Ms. Katia Roesch
Agropolis International,Montpellier,France,Constituency - Research and independent,,,broin@agropolis.fr,Ms. Melanie Broin
AHEAD Energy Corporation,Rochester,United States of America,Constituency - Research and independent,+1 585 749 6132,+1 585 461 5313,info@aheadenergy.org,Mr. James Grieve
Air and Waste Management Association (AWMA),Pittsburgh,United States of America,Constituency - Environmental,(1) 412-232-3444,,dallas.baker@neel-schaffer.com,Ms. Stephanie Glyptis
Air-Conditioning & Refrigeration European Association (AREA),Brussels,Belgium,Constituency - Business and Industry,(32-2)706 8237,,info@area-eur.be,Mr. Olivier Janin
Air-Conditioning & Refrigeration Institute (ARI),Arlington,United States of America,Constituency - Business and Industry,(1-703)524-8800,(1-703)528-3816,ari@ari.org,Ms. Deborah Miller
Airlines for America (A4A),Washington,United States of America,Constituency - ENGO,(1-202) 626-4000,,nyoung@airlines.org,Ms. Nancy Young
