"","docnum","Topic1","Topic2","Topic3","Topic4","Topic5","Topic6","Topic7","Topic8","X","file_iso","name","continent"
"1",1,0.13143789098473,0.0861343867594999,0.396560762478788,0.00193139484558605,0.0291321668123534,0.0405648224575006,0.238729406002685,0.0755091696588581,1,"AGO","Angola","Africa"
"2",2,0.000148168839054044,5.77180074301879e-06,5.69851438268463e-05,6.60054482512288e-05,0.998947506565378,4.99355120828401e-06,0.000191397258931208,0.00057917139260663,2,"ALB","Albania","Europe"
"3",3,0.0116514586625118,0.0555063608929982,0.749471195141203,0.0011115081933439,0.0338690057814734,0.00702837663407636,0.137547433817617,0.00381466087677599,3,"AND","Andorra","Europe"
"4",4,0.743041475787404,0.0394570893181681,0.00810700546522303,0.104000406986456,0.000828345508746256,0.0991094614773999,0.00278527565342781,0.00267093980317499,4,"ARM","Armenia","Asia"
"5",5,0.385335040901087,0.523998256290655,0.000177298528094962,0.0200576453857122,0.000342989603591263,0.000388532810003981,0.000832637241773267,0.0688675992390827,5,"ATG","Antigua & Barbuda","Americas"
"6",6,0.399234255226866,0.0367259614521094,0.00544773853949982,0.220329107732157,0.0208704457010897,0.00339671940567057,0.226814141974613,0.087181629967995,6,"AUS","Australia","Oceania"
"7",7,0.389821852193742,0.0102031465495664,0.00185865034920011,0.575569296787554,0.0128460959269507,0.0011848239726382,0.00461857785360853,0.00389755636674042,7,"AUS","Australia","Oceania"
"8",8,0.00154340283749556,0.000120416303518632,0.000317666242402508,0.997297836415372,6.56639109768574e-05,0.000153576004213394,0.000302920588252115,0.000198517697769446,8,"AUT","Austria","Europe"
"9",9,0.00154340283749556,0.000120416303518632,0.000317666242402508,0.997297836415372,6.56639109768574e-05,0.000153576004213394,0.000302920588252115,0.000198517697769446,9,"BEL","Belgium","Europe"
"10",10,0.00399625675956517,0.0016804448490878,0.00197968598760508,0.00183102128848843,0.00185614094038667,0.000258026740614641,0.985894848791395,0.00250357464285728,10,"BGD","Bangladesh","Asia"
"11",11,0.00128478114929901,0.000673675346792448,0.00047438160465519,0.0838198399097976,0.00074986266057302,0.000109613949033053,0.911882147640329,0.00100569773952014,11,"BGD","Bangladesh","Asia"
"12",12,0.00154340283749556,0.000120416303518632,0.000317666242402508,0.997297836415372,6.56639109768574e-05,0.000153576004213394,0.000302920588252115,0.000198517697769446,12,"BGR","Bulgaria","Europe"
"13",13,0.356071030424535,0.00395805422734405,0.0763107904213368,0.00294113536057085,0.00653341972398569,0.001306432184806,0.550154699037698,0.00272443861972323,13,"BHR","Bahrain","Asia"
"14",14,0.489813561092839,0.0174141635760312,0.00679887968144695,0.00681574821897271,0.022463273914312,0.279321716307707,0.0796743240391548,0.097698333169537,14,"BIH","Bosnia & Herzegovina","Europe"
"15",15,0.563453520621688,0.3917152029372,0.00511885773364938,0.0134590552651044,0.00212656255548838,0.00996100483124264,0.00959208433772237,0.00457371171790476,15,"BLR","Belarus","Europe"
"16",16,0.00769293109374186,0.000734657933521821,0.00615571971369527,0.0632480663879977,0.0365696577842835,0.00026806008905379,0.882986811581622,0.00234409541608418,16,"BLZ","Belize","Americas"
"17",17,0.0403215466701213,0.00745678728450332,0.00449814167269189,0.803929748289078,0.0015135479922551,0.00130554489097944,0.138252594148221,0.00272208905214991,17,"BRA","Brazil","Americas"
"18",18,0.130526186991517,0.195911817434972,0.0061916251726042,0.0988334199621349,0.00479863622350397,0.00147851927065668,0.560400274557102,0.00185952038750924,18,"BRB","Barbados","Americas"
"19",19,0.487661346753568,0.00310227506967839,0.00169393203623702,0.311076938320888,0.00112244607555668,0.000514137588939007,0.193158497175705,0.0016704269794271,19,"CAN","Canada","Americas"
"20",20,0.00293500699004907,0.000228560630638155,0.000592087275273313,0.99491766867336,0.000125191424301172,0.00027048240353466,0.000564084786120417,0.000366917816723216,20,"CHE","Switzerland","Europe"
"21",21,0.00293668784238718,0.000228668934551756,0.000592318582883302,0.99491506437882,0.000125255766451842,0.000270576400285972,0.000564357501142089,0.000367070593477561,21,"CHE","Switzerland","Europe"
"22",22,0.182286933951495,0.000488334061831783,0.800320268866258,0.0125869544093643,0.0010372417119946,0.00143457873691763,0.00135619985144532,0.000489488410694018,22,"CHL","Chile","Americas"
"23",23,0.466484673785617,0.00159521444731167,0.000667191290843833,0.00144434084452259,0.00169574141090066,0.000220019742653873,0.52171888526495,0.00617393321320002,23,"CHN","China","Asia"
"24",24,0.00273468528340347,0.0326910550767599,0.345491037328244,0.000542290903317576,0.0148548683196774,0.00265666674642951,0.27924634130329,0.321783055038877,24,"COG","Congo - Brazzaville","Africa"
"25",25,0.000175440662908995,3.54089787708803e-05,0.998548706404943,9.84795282165316e-05,9.50619205705046e-05,0.000807931034559935,0.000177736996106796,6.12344739234183e-05,25,"COL","Colombia","Americas"
"26",26,0.000635630928992469,0.00329462807094173,0.00128863593827389,0.000152908134709613,0.00516913791616247,0.000110030962340457,0.987696429564094,0.00165259848448519,26,"CPV","Cape Verde","Africa"
"27",27,0.00833332641366066,0.00112562325155988,0.970641043313967,0.00779441737189763,0.00144783848314002,0.00331429112473823,0.00567134753669721,0.00167211250433946,27,"CRI","Costa Rica","Americas"
"28",28,0.00179380144547998,0.000142335571735342,0.9611836453025,0.0341573273542798,0.000280928942943947,0.000814137690576056,0.00130541403453991,0.00032240965794572,28,"CRI","Costa Rica","Americas"
"29",29,0.00580476820463045,0.00172416465826922,0.659934773016027,0.00323618675757379,0.00373222163989891,0.00157328890453477,0.319428427309045,0.00456616951002141,29,"CUB","Cuba","Americas"
"30",30,0.00154340283749556,0.000120416303518632,0.000317666242402508,0.997297836415372,6.56639109768574e-05,0.000153576004213394,0.000302920588252115,0.000198517697769446,30,"CYP","Cyprus","Asia"
"31",31,0.00154340283749556,0.000120416303518632,0.000317666242402508,0.997297836415372,6.56639109768574e-05,0.000153576004213394,0.000302920588252115,0.000198517697769446,31,"CZE","Czechia","Europe"
"32",32,0.00154340283749556,0.000120416303518632,0.000317666242402508,0.997297836415372,6.56639109768574e-05,0.000153576004213394,0.000302920588252115,0.000198517697769446,32,"DEU","Germany","Europe"
"33",33,0.00154340283749556,0.000120416303518632,0.000317666242402508,0.997297836415372,6.56639109768574e-05,0.000153576004213394,0.000302920588252115,0.000198517697769446,33,"DNK","Denmark","Europe"
"34",34,0.538176212632963,0.000328404675612865,0.444348814522969,0.0162648155001564,0.000156639557831811,0.000332439361020932,0.000287811608500199,0.000104862140944761,34,"DOM","Dominican Republic","Americas"
"35",35,0.00154340283749556,0.000120416303518632,0.000317666242402508,0.997297836415372,6.56639109768574e-05,0.000153576004213394,0.000302920588252115,0.000198517697769446,35,"ESP","Spain","Europe"
"36",36,0.00154340283749556,0.000120416303518632,0.000317666242402508,0.997297836415372,6.56639109768574e-05,0.000153576004213394,0.000302920588252115,0.000198517697769446,36,"EST","Estonia","Europe"
"37",37,0.00154340283749556,0.000120416303518632,0.000317666242402508,0.997297836415372,6.56639109768574e-05,0.000153576004213394,0.000302920588252115,0.000198517697769446,37,"EUU",NA,NA
