"","docnum","Topic1","Topic2","Topic3","Topic4","Topic5","Topic6","Topic7","Topic8","Topic9","Topic10","Topic11","Topic12","X","file_iso","name","continent"
"1",1,7.46781705406225e-05,5.46762839849105e-07,0.000115831555047653,7.92843137072823e-07,0.000135400431366016,0.998401510431156,0.000318221075155189,0.000239557095242007,0.000257626410305624,0.000203807541623984,0.000130219672242832,0.000121808011343529,1,"AGO","Angola","Africa"
"2",2,9.7850833398862e-07,6.07897147759496e-06,3.22666733319621e-06,3.54591458323205e-05,0.998819615763849,0.000142969345059271,5.13568954471634e-06,0.000118086303989386,0.000458371383738356,7.2306572678972e-07,0.000186816629248037,0.000222538525866506,2,"ALB","Albania","Europe"
"3",3,0.000170278931118516,7.28878948268724e-06,0.000335685041997289,1.23379378398645e-05,0.0108859393136662,0.982042841533164,0.00122578801878884,0.00113108805728654,0.00124881554223504,0.000398772171587621,0.0014587144089684,0.00108245025386494,3,"AND","Andorra","Europe"
"4",4,0.778233490136063,0.000987025107724823,0.000771813551117139,0.0263509734374597,5.09321489809126e-05,0.00119133539593382,0.185752023446555,2.84192985786978e-05,0.000512899262978814,0.00132808098833684,0.000971903585489549,0.00382110364078065,4,"ARM","Armenia","Asia"
"5",5,4.60288575311161e-05,4.32606771831486e-06,7.76905408848158e-05,0.000382031499554395,7.08678050540141e-05,0.000150967475062652,4.20428662106744e-06,3.88901553765502e-05,0.999025866034368,1.7087107165531e-05,0.00013899643051788,4.30437401466312e-05,5,"ATG","Antigua & Barbuda","Americas"
"6",6,0.00512370462522223,0.000794017485072752,0.00278007279099689,0.0318180891962997,0.0179273392550752,0.0251170669025388,0.00264371483011921,0.00766977862175428,0.17930072443191,0.00186960074551951,0.00877118451936087,0.716184706596131,6,"AUS","Australia","Oceania"
"7",7,0.00570070308854575,0.0392930575765605,0.000628781295755661,0.162971720655731,0.0135586854776657,0.000457216781284293,0.00103174310362966,0.00240066193843476,0.00177708740703156,0.000901134898534161,0.00400681652561935,0.767272391251208,7,"AUS","Australia","Oceania"
"8",8,0.00083512158397923,5.82384455022916e-05,0.000136964367657114,0.996968449126062,1.55421368356747e-05,3.68632769069175e-06,0.000188245027582132,3.66331567383858e-06,0.000214436115914034,2.82757086705998e-05,0.000101889693826441,0.00144548815060568,8,"AUT","Austria","Europe"
"9",9,0.00083512158397923,5.82384455022916e-05,0.000136964367657114,0.996968449126062,1.55421368356747e-05,3.68632769069175e-06,0.000188245027582132,3.66331567383858e-06,0.000214436115914034,2.82757086705998e-05,0.000101889693826441,0.00144548815060568,9,"BEL","Belgium","Europe"
"10",10,0.00118582211324374,0.000697076056886158,0.0842849279786224,0.00177284431947623,0.00221971388893892,0.0283361234568781,0.00191710450726482,0.00160310126533408,0.693283892315984,0.00129776495823131,0.181667723142439,0.00173390599670002,10,"BGD","Bangladesh","Asia"
"11",11,0.00112337519388201,0.000101093361953251,0.000680022271528636,0.0374679302982255,0.00056169039576691,0.000696114747353068,0.000108840271174398,0.000146606939410673,0.951811509283283,0.000277848019001928,0.00624820009138528,0.000776769127034716,11,"BGD","Bangladesh","Asia"
"12",12,0.00083512158397923,5.82384455022916e-05,0.000136964367657114,0.996968449126062,1.55421368356747e-05,3.68632769069175e-06,0.000188245027582132,3.66331567383858e-06,0.000214436115914034,2.82757086705998e-05,0.000101889693826441,0.00144548815060568,12,"BGR","Bulgaria","Europe"
"13",13,0.00235226921208164,0.00164631179844852,0.222727471579376,0.00287382563674725,0.0059609619988161,0.0881244743105584,0.0152488407120543,0.00432081565851386,0.25738244843072,0.00103784595190687,0.173346529521751,0.224978205189026,13,"BHR","Bahrain","Asia"
"14",14,0.423864979700045,0.00224053980395625,0.00120371157680654,0.00117105479228965,0.00301356545143551,0.462885444902689,0.00279903594122169,0.0335984167446443,0.00447100358123094,0.0517549421599035,0.00535579977601742,0.0076415055697602,14,"BIH","Bosnia & Herzegovina","Europe"
"15",15,0.782751250524704,0.191865513927141,0.000497594696912605,0.00633836630857189,0.000185660643654217,0.000921597354784918,0.00218822701228271,0.00113576412831869,0.000892589568960815,0.00586977827230374,0.00283838821020555,0.00451526935216008,15,"BLR","Belarus","Europe"
"16",16,0.000602351568799249,1.86798470041608e-05,0.00913989555224474,0.0365507909524205,0.0112033995520105,0.186948737164127,0.000784949269505593,0.00182207592435417,0.748559155639796,0.000397539950460796,0.00121225086053963,0.00276017371873823,16,"BLZ","Belize","Americas"
"17",17,0.211438128534452,0.00137297687865931,0.000431410161529557,0.344328022647844,0.00049786518877766,0.000925500559494883,0.00224071703578519,0.00111949421286505,0.00107763370917975,0.00176830742200943,0.00143502762501825,0.433364916024385,17,"BRA","Brazil","Americas"
