"","docnum","Topic1","Topic2","Topic3","Topic4","Topic5","X","file_iso","name","continent"
"1",1,0.173007634927713,0.0537963379644648,0.666437947931522,0.00468936975689573,0.102068709419404,1,"AGO","Angola","Africa"
"2",2,0.000326160871677654,0.000133610883845093,0.00120532217371347,0.0119860515470841,0.98634885452368,2,"ALB","Albania","Europe"
"3",3,0.145319935323672,0.0195070392060928,0.812852627087686,0.00358326246035989,0.0187371359221895,3,"AND","Andorra","Europe"
"4",4,0.00513394893612522,0.506812234023144,0.0607569141432919,0.424267061069135,0.00302984182830427,4,"ARM","Armenia","Asia"
"5",5,0.972673472215551,0.000366860381199055,0.0008184271753882,0.0248414588754251,0.00129978135243706,5,"ATG","Antigua & Barbuda","Americas"
"6",6,0.334411216337542,0.00976247222282449,0.0334984008643317,0.547925940406556,0.0744019701687459,6,"AUS","Australia","Oceania"
"7",7,0.0402167100816448,0.00540883813880565,0.0133955250585956,0.8945210336845,0.0464578930364543,7,"AUS","Australia","Oceania"
"8",8,0.000564611592946953,0.000669580463862713,0.00108709080119647,0.997212283083857,0.000466434058136824,8,"AUT","Austria","Europe"
"9",9,0.000564611592946953,0.000669580463862713,0.00108709080119647,0.997212283083857,0.000466434058136824,9,"BEL","Belgium","Europe"
"10",10,0.774874452948612,0.00311102424558403,0.210599102319438,0.00344520322727626,0.00797021725909025,10,"BGD","Bangladesh","Asia"
"11",11,0.792278510693097,0.00202247885575652,0.0199393189176566,0.111080441755955,0.0746792497775345,11,"BGD","Bangladesh","Asia"
"12",12,0.000564611592946953,0.000669580463862713,0.00108709080119647,0.997212283083857,0.000466434058136824,12,"BGR","Bulgaria","Europe"
"13",13,0.236730157060188,0.00315250125941258,0.738896097410006,0.0123939922297116,0.00882725204068179,13,"BHR","Bahrain","Asia"
"14",14,0.154500948395025,0.0692172782606085,0.384313844767303,0.141737069207521,0.250230859369543,14,"BIH","Bosnia & Herzegovina","Europe"
"15",15,0.0106870196869754,0.747177938599471,0.198978904744525,0.0361972976216232,0.0069588393474049,15,"BLR","Belarus","Europe"
"16",16,0.284068103918334,0.00261628202644564,0.265011537092919,0.20951779542887,0.238786281533431,16,"BLZ","Belize","Americas"
"17",17,0.0360824602778351,0.00308884424709537,0.00407078041167665,0.954102062718331,0.00265585234506241,17,"BRA","Brazil","Americas"
"18",18,0.598493671837369,0.0199479926905627,0.256434724672052,0.109545438822683,0.0155781719773336,18,"BRB","Barbados","Americas"
"19",19,0.177153096528356,0.0021086260538874,0.0902392497587418,0.72583393681121,0.00466509084780505,19,"CAN","Canada","Americas"
"20",20,0.000968172392553138,0.0010363275751016,0.00211059415932512,0.995062724993651,0.000822180879369261,20,"CHE","Switzerland","Europe"
"21",21,0.000993656695869375,0.00106498989695525,0.00216779731058072,0.994927615828428,0.000845940268166559,21,"CHE","Switzerland","Europe"
"22",22,0.00138938282118714,0.0124526199444385,0.939510301303062,0.0448810043218903,0.00176669160942216,22,"CHL","Chile","Americas"
"23",23,0.757849496513672,0.000796520338635543,0.212386048336806,0.018425684191471,0.0105422506194148,23,"CHN","China","Asia"
"24",24,0.0512355064448188,0.0134553699086379,0.607850898582117,0.00124442933633833,0.326213795728088,24,"COG","Congo - Brazzaville","Africa"
"25",25,0.000372793507518876,0.000155778062678278,0.998812478612556,0.000104549198834734,0.000554400618411552,25,"COL","Colombia","Americas"
"26",26,0.540664107827701,0.0145028370092648,0.370679884977383,0.000885070685578658,0.0732680995000724,26,"CPV","Cape Verde","Africa"
"27",27,0.0104978086852619,0.00619360138673245,0.905934836432621,0.066000487850437,0.0113732656449469,27,"CRI","Costa Rica","Americas"
"28",28,0.00103592373451685,0.000640771712552621,0.955443761785567,0.0416234961677623,0.00125604659960132,28,"CRI","Costa Rica","Americas"
"29",29,0.0489103321667968,0.0639303580597463,0.839017496478113,0.00575452441429032,0.0423872888810539,29,"CUB","Cuba","Americas"
"30",30,0.000564611592946953,0.000669580463862713,0.00108709080119647,0.997212283083857,0.000466434058136824,30,"CYP","Cyprus","Asia"
"31",31,0.000564611592946953,0.000669580463862713,0.00108709080119647,0.997212283083857,0.000466434058136824,31,"CZE","Czechia","Europe"
"32",32,0.000564611592946953,0.000669580463862713,0.00108709080119647,0.997212283083857,0.000466434058136824,32,"DEU","Germany","Europe"
"33",33,0.000564611592946953,0.000669580463862713,0.00108709080119647,0.997212283083857,0.000466434058136824,33,"DNK","Denmark","Europe"
