"","docnum","Topic1","Topic2","Topic3","Topic4","Topic5","Topic6","Topic7","X","file_iso","name","continent"
"1",1,0.311486930828159,0.16928801035513,0.30784181058162,0.00212144651223716,0.0226689265194301,0.145218348233485,0.0413745269699388,1,"AGO","Angola","Africa"
"2",2,0.000357292211148383,0.000195834156221348,0.986127205375888,0.0103415591598386,2.66929925876043e-05,0.000412198605211849,0.00253921749910448,2,"ALB","Albania","Europe"
"3",3,0.401822833981959,0.00468857503956342,0.275459595133002,0.00125390459567407,0.0164794246016427,0.297535415033419,0.00276025161473921,3,"AND","Andorra","Europe"
"4",4,0.00965987093184102,0.389537137618329,0.00600971419738419,0.266679320007424,0.000485959451467618,0.326844798592376,0.000783199201177961,4,"ARM","Armenia","Asia"
"5",5,0.000314205852447723,0.997102534983585,0.000141669218208912,0.00050063765702121,0.000252991830820679,9.04795885843889e-05,0.00159748086933202,5,"ATG","Antigua & Barbuda","Americas"
"6",6,0.65773048718233,0.0798060641222488,0.00616749499410707,0.202009803833594,0.00799715029376779,0.00254725247657988,0.0437417470973725,6,"AUS","Australia","Oceania"
"7",7,0.0775520615075188,0.212912022125129,0.00337559380908218,0.698115712507857,0.00100925183373826,0.00239577836621547,0.0046395798504592,7,"AUS","Australia","Oceania"
"8",8,0.000786631695519489,0.00107683194311381,0.000475668085857209,0.997060916631061,8.71033761050854e-06,0.0003719579734097,0.000219283333427781,8,"AUT","Austria","Europe"
"9",9,0.000786631695519489,0.00107683194311381,0.000475668085857209,0.997060916631061,8.71033761050854e-06,0.0003719579734097,0.000219283333427781,9,"BEL","Belgium","Europe"
"10",10,0.96910171861178,0.00438462040069883,0.00550544521070852,0.00178745343127512,0.00370066276057551,0.000928735055817241,0.0145913645291445,10,"BGD","Bangladesh","Asia"
"11",11,0.881209337128442,0.00257128537561779,0.00144147023576524,0.0698603651323911,0.013526282259309,0.000254831719512418,0.0311364281489627,11,"BGD","Bangladesh","Asia"
"12",12,0.000786631695519489,0.00107683194311381,0.000475668085857209,0.997060916631061,8.71033761050854e-06,0.0003719579734097,0.000219283333427781,12,"BGR","Bulgaria","Europe"
"13",13,0.666580991828704,0.0799633590117068,0.226970767374035,0.00470151227806562,0.00339879419168251,0.010944571115528,0.0074400042002784,13,"BHR","Bahrain","Asia"
"14",14,0.570180792850562,0.0470511462518813,0.15839357952526,0.0576522597569773,0.0411218879908914,0.0212498091643231,0.104350524460104,14,"BIH","Bosnia & Herzegovina","Europe"
"15",15,0.0103309986958024,0.968551117079478,0.00492252371753312,0.00606172847336588,0.00180136743544899,0.00498978276333163,0.00334248183504003,15,"BLR","Belarus","Europe"
