Country,Year,GHG_exc_land,GHG_inc_land,CO2_exc_land,CH4,N2O,F_gas,CO2_inc_land,CH4_inc_land,N2O_inc_land,Energy
Afghanistan,1990,15.2128,15.2128,2.9150,9.3116,2.9841,0.0022,2.9150,9.3116,2.9841,3.7740
Afghanistan,1991,15.2864,15.2864,2.6844,9.5162,3.0822,0.0036,2.6844,9.5162,3.0822,3.3768
Afghanistan,1992,14.0105,14.0105,1.3923,9.5715,3.0417,0.0050,1.3923,9.5715,3.0417,1.9143
Afghanistan,1993,14.0281,14.0281,1.3227,9.6099,3.0891,0.0065,1.3227,9.6099,3.0891,1.6781
Afghanistan,1994,13.9854,13.9854,1.2677,9.7890,2.9207,0.0079,1.2677,9.7890,2.9207,1.4565
Afghanistan,1995,14.3349,14.3349,1.2201,10.0578,3.0477,0.0093,1.2201,10.0578,3.0477,1.2422
Afghanistan,1996,15.3232,15.3232,1.1542,10.8648,3.2870,0.0173,1.1542,10.8648,3.2870,1.1795
Afghanistan,1997,16.2845,16.2845,1.0699,11.5781,3.6113,0.0253,1.0699,11.5781,3.6113,1.0986
Afghanistan,1998,17.1244,17.1244,1.0149,12.1552,3.9211,0.0332,1.0149,12.1552,3.9211,1.0469
Afghanistan,1999,18.0006,18.0006,0.7988,12.9502,4.2104,0.0412,0.7988,12.9502,4.2104,0.8341
Afghanistan,2000,16.4960,16.4960,0.7511,12.0279,3.6678,0.0491,0.7511,12.0279,3.6678,0.8227
Afghanistan,2001,15.2094,15.2094,0.7951,11.0993,3.2506,0.0644,0.7951,11.0993,3.2506,0.8504
Afghanistan,2002,17.6991,17.6991,1.0699,12.7673,3.7821,0.0798,1.0699,12.7673,3.7821,1.1053
Afghanistan,2003,18.4304,18.4304,1.1945,13.1563,3.9847,0.0951,1.1945,13.1563,3.9847,1.2063
Afghanistan,2004,18.1513,18.1513,0.9490,13.1919,3.9001,0.1104,0.9490,13.1919,3.9001,0.9445
Afghanistan,2005,18.9847,18.9847,1.3264,13.4624,4.0702,0.1257,1.3264,13.4624,4.0702,1.3130
Afghanistan,2006,19.6229,19.6229,1.6525,13.7765,4.0485,0.1455,1.6525,13.7765,4.0485,1.6432
Afghanistan,2007,20.3989,20.3989,2.2680,14.0914,3.8742,0.1653,2.2680,14.0914,3.8742,2.2702
Afghanistan,2008,23.6300,23.6300,4.2026,15.1111,4.1311,0.1852,4.2026,15.1111,4.1311,4.2015
Afghanistan,2009,26.9429,26.9429,6.7637,15.4678,4.5063,0.2050,6.7637,15.4678,4.5063,6.7668
Afghanistan,2010,30.6296,30.6296,8.4528,16.9688,4.9831,0.2248,8.4528,16.9688,4.9831,8.4526
Afghanistan,2011,34.7130,34.7130,12.2304,17.1466,5.0859,0.2501,12.2304,17.1466,5.0859,12.2307
Afghanistan,2012,34.5016,34.5016,10.7465,17.2218,6.2579,0.2754,10.7465,17.2218,6.2579,10.7473
Afghanistan,2013,33.1709,33.1709,10.0064,17.3401,5.5238,0.3006,10.0064,17.3401,5.5238,10.0003
