stopwords,keep_stopword
Angola,yes
Albania,yes
Andorra,yes
Armenia,yes
Antigua & Barbuda,yes
Australia,yes
Australia,yes
Austria,yes
Belgium,yes
Bangladesh,yes
Bangladesh,yes
Bulgaria,yes
Bahrain,yes
Bosnia & Herzegovina,yes
Belarus,yes
Belize,yes
Brazil,yes
Barbados,yes
Canada,yes
Switzerland,yes
Switzerland,yes
Chile,yes
China,yes
Congo - Brazzaville,yes
Colombia,yes
Cape Verde,yes
Costa Rica,yes
Costa Rica,yes
Cuba,yes
Cyprus,yes
Czechia,yes
Germany,yes
Denmark,yes
Dominican Republic,yes
Spain,yes
Estonia,yes
NA,yes
Finland,yes
Fiji,yes
France,yes
United Kingdom,yes
Georgia,yes
Ghana,yes
Guinea,yes
Guinea-Bissau,yes
Greece,yes
Honduras,yes
Croatia,yes
Hungary,yes
Indonesia,yes
Ireland,yes
Iceland,yes
Israel,yes
Italy,yes
Jamaica,yes
Jordan,yes
Japan,yes
Kenya,yes
Kyrgyzstan,yes
Cambodia,yes
St. Kitts & Nevis,yes
South Korea,yes
South Korea,yes
Kuwait,yes
Laos,yes
Lebanon,yes
Liberia,yes
St. Lucia,yes
Sri Lanka,yes
Lithuania,yes
Luxembourg,yes
Latvia,yes
Morocco,yes
Monaco,yes
Moldova,yes
Maldives,yes
Mexico,yes
Marshall Islands,yes
North Macedonia,yes
Malta,yes
Myanmar (Burma),yes
Montenegro,yes
Mongolia,yes
Mauritius,yes
Malawi,yes
Malaysia,yes
Namibia,yes
Nicaragua,yes
Netherlands,yes
Norway,yes
New Zealand,yes
New Zealand,yes
Panama,yes
Peru,yes
Poland,yes
Portugal,yes
Paraguay,yes
Palestinian Territories,yes
Qatar,yes
Romania,yes
Rwanda,yes
Saudi Arabia,yes
Singapore,yes
Solomon Islands,yes
Sierra Leone,yes
Somalia,yes
São Tomé & Príncipe,yes
Slovakia,yes
Slovenia,yes
Sweden,yes
Eswatini,yes
Seychelles,yes
Thailand,yes
Tajikistan,yes
Tanzania,yes
Uganda,yes
Ukraine,yes
United States,yes
Uzbekistan,yes
Vietnam,yes
Vanuatu,yes
South Africa,yes
Zambia,yes
Zambia,yes
Zimbabwe,yes
arabian,yes
european,yes
australian,yes
indian,yes
national,no
eu,yes
's,yes
climate,yes
change,yes
will,yes
's,yes
use,yes
republic,yes
management,no
adaptation,no
sector,no
low-carbon,no
good,yes
composed,yes
submit,yes
stoves,no
point,yes
relative,yes
determined,yes
communicates,yes
clarity,yes
appropriate,yes
blue,yes
narrow,yes
show,yes
shall,yes
sub-,yes
uses,yes
seven,yes
south-south,no
agreed,yes
turn,yes
unique,yes
continuously,yes
excluding,yes
feed-,yes
development,yes
capacity,no
borne,yes
including,yes
certain,yes
nationally,no
whole,yes
company,no
companies,no
non-governmental,no
nongovernmental,no
subnational,no
NGO,no
businesses,no
non-government,no
investor,no
organization,no
city,no
cities,no
university,no
universities,no
corporation,no
corporations,no
investors,no
NGOs,no
institution,no
organizations,no
town,no
municipality,no
metropolis,no
metropolitan,no
district,no
province,no
territory,no
county,no
counties,no
districts,no
college,no
colleges,no
privatesect,no
institutions,no
institutional,no
sustainability,yes
systems,yes
external,yes
resources,no
country,no
ministry,no
also,yes
areas,yes
well,yes
implementation,yes
action,yes
services,yes
strenghtening,yes
actions,yes
process,yes
actions,yes
agreement,yes
paris,yes
applicable,yes
terms,yes
developing,yes
support,yes
improving,yes
improve,yes
level,yes
developing,yes
implement,yes
strenghten,yes
related,yes
number,yes
million,yes
improved,yes
developed,yes
support,yes
develop,yes
reduce,yes
improve,yes
national,yes
nationally,yes
management,yes
capacity,yes
parties,yes
party,yes
medium,yes
high,yes
low,yes
energy,yes
carbon,yes
emissions,yes
ministry,yes
french,yes
indonesia,yes
indonesian,yes
barbuda,yes
antigua,yes
climate change,yes
european,yes
