,organization,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,most_prevalent_topic,entity_type,coordinator,city,country,constituency
0,2° investing initiative (2°ii),1.7110620319726877e-05,4.203295702609466e-06,4.289671323931543e-06,0.013214560225605965,0.009269177913665771,6.187380677147303e-06,8.873186743585393e-05,0.14144377410411835,0.015887493267655373,0.00017756561283022165,9.437919652555138e-05,1.7587975889910012e-05,0.09474925696849823,0.24832956492900848,0.2500976324081421,0.0043901908211410046,4.169289695710177e-06,0.22220416367053986,15,Non-governmental organizations,Mr. Thibaut Ghirardi,Paris,France,Constituency - Research and independent
1,A SEED Europe,1.2419849554134998e-05,3.0509881980833597e-06,3.1136846700974274e-06,0.07435030490159988,0.003756820922717452,4.491148501983844e-06,0.18900568783283234,0.00014401221415027976,0.007127562537789345,0.015466278418898582,6.848495831945911e-05,1.2766340660164133e-05,0.052269913256168365,0.3978439271450043,0.00026345206424593925,0.24625401198863983,3.026304739250918e-06,0.013410677202045918,14,Non-governmental organizations,Mr. Flip Vonk,Amsterdam,Netherlands,Constituency - Environmental
2,A Sud Ecology and Cooperation - Onlus,8.190531843865756e-06,2.0120387489441782e-06,2.053385060207802e-06,0.00014405731053557247,1.5657009498681873e-05,2.961782911370392e-06,0.060152992606163025,9.433302329853177e-05,0.047446295619010925,0.21638646721839905,4.5170861994847655e-05,8.419033292739186e-06,0.02102818712592125,0.28614288568496704,0.1114770770072937,0.25699755549430847,1.9957606127718464e-06,4.3670595914591104e-05,14,Non-governmental organizations,Ms. Lucie Greyl,Rome,Italy,Constituency - Environmental
3,ACT Alliance - Action by Churches Together,6.413609753508354e-06,1.5755302911202307e-06,1.6079065972007811e-06,0.008189872838556767,1.2260246876394376e-05,2.319228997293976e-06,3.325989382574335e-05,7.344017649302259e-05,0.023082613945007324,0.19958633184432983,0.029967261478304863,0.004065786954015493,0.5222289562225342,0.08463717997074127,0.12196840345859528,0.006106964778155088,1.562783722874883e-06,3.419666245463304e-05,13,Non-governmental organizations,Mr. Thorsten Göbel,Geneva,Switzerland,Constituency - Environmental CAN
4,Abibimman Foundation,9.631384273234289e-06,2.365989985264605e-06,2.4146099804056576e-06,0.027990013360977173,1.841133962443564e-05,3.482810143395909e-06,0.0471128486096859,0.034649450331926346,0.0027252703439444304,0.040751777589321136,0.005691390950232744,9.900082659441978e-06,0.00021587926312349737,0.62108314037323,0.17288288474082947,0.04679742455482483,2.3468485323974164e-06,5.135776154929772e-05,14,Non-governmental organizations,Mr. Kenneth Nana Amoateng,Tena,Ghana,Constituency - Environmental CAN
5,Academy for Mountain Environics,1.964389593922533e-05,4.8256056288664695e-06,4.924769655190175e-06,0.0241184551268816,3.755124271265231e-05,7.103440111677628e-06,0.0310051366686821,0.00022720941342413425,0.12288839370012283,0.20038670301437378,0.0011054750066250563,2.0191924704704434e-05,0.00045520058483816683,0.4560236930847168,0.08431180566549301,0.07927412539720535,4.786565114045516e-06,0.00010473964357515797,14,Non-governmental organizations,Mr. Sreedhar Ramamurthi,New Delhi,India,Constituency - Environmental
6,Action Planéterre,6.926812784513459e-05,1.701600558590144e-05,1.7365677194902673e-05,0.0011855117045342922,0.00013241283886600286,2.5048084353329614e-05,0.0003591644635889679,0.018948785960674286,0.0014544491423293948,0.053589798510074615,0.00038193081854842603,7.120057853171602e-05,0.001461388310417533,0.32911133766174316,0.0839700773358345,0.508819043636322,1.687834082986228e-05,0.000369374145520851,16,Non-governmental organizations,Mr. Mahamadoun Abdoulaye Traore,Aubervilliers,France,Constituency - Environmental
7,Action Solidarité Tiers-Monde a.s.b.l.,4.1486709960736334e-05,1.0191384717472829e-05,1.040081315295538e-05,0.0007065848913043737,0.178859680891037,1.500203234172659e-05,0.00021510585793294013,0.00047443207586184144,0.0008434911142103374,0.12778061628341675,0.0002287936076754704,4.264411472831853e-05,0.08418969810009003,0.2734411358833313,0.0009021483710967004,0.31240251660346985,1.0108933565788902e-05,0.01982598751783371,16,Non-governmental organizations,M. Dietmar Mirkes,Luxembourg,Luxembourg,Constituency - ENGO
8,ActionAid International,6.567454875039402e-06,1.613322979210352e-06,1.6464759937662166e-06,0.21101821959018707,0.004569029435515404,2.3748609692120226e-06,3.405462484806776e-05,0.0007507095579057932,0.00015350704779848456,0.19574180245399475,0.09092914313077927,6.750675311195664e-06,0.04716673493385315,0.28299859166145325,0.053303781896829605,0.11327887326478958,1.600270707058371e-06,3.501614628476091e-05,14,Non-governmental organizations,Ms. Teresa Maria Isabel Anderson,Johannesburg,South Africa,Constituency - Environmental CAN
9,Adaptation Fund Board,5.1248666750325356e-06,1.2589450761879561e-06,1.2848157666667248e-06,0.002817016327753663,9.796687663765624e-06,1.853205844781769e-06,0.004952581599354744,5.917833186686039e-05,0.00010926378308795393,0.03829662874341011,0.05691337585449219,5.2678410611406434e-06,0.00011038153752451763,0.23038774728775024,0.6243102550506592,0.04199036583304405,1.2487597587096388e-06,2.7326570489094593e-05,15,Intergovernmental organizations,Mr. Mikko Antti Ollikainen,Washington DC,United States of America,
10,Adelphi Research,8.607992640463635e-06,2.114589506163611e-06,2.158043344024918e-06,0.012664295732975006,0.27470603585243225,3.1127408419706626e-06,4.463374716578983e-05,0.017254533246159554,0.1207859069108963,8.947135211201385e-05,4.7467430704273283e-05,8.848140168993268e-06,0.0007001541671343148,0.37064027786254883,0.1510840207338333,0.00022083288058638573,2.0974819108232623e-06,0.05173541232943535,14,Non-governmental organizations,Mr. Dennis Taenzler,Berlin,Germany,Constituency - Research and independent
