,word,score,topic,chosen_lambda
0,energy,-2.16526,1,0.6
1,climate,-2.1743799999999998,1,0.6
2,environmental,-2.68762,1,0.6
3,project,-2.7805600000000004,1,0.6
4,change,-2.84222,1,0.6
5,policy,-2.8665199999999995,1,0.6
6,sustainable,-3.0525200000000003,1,0.6
7,industry,-3.0750799999999994,1,0.6
8,report,-3.0860000000000003,1,0.6
9,company,-3.10044,1,0.6
10,work,-3.1258799999999995,1,0.6
11,green,-3.12914,1,0.6
12,research,-3.1304,1,0.6
13,business,-3.133,1,0.6
14,global,-3.15122,1,0.6
15,environment,-3.1526199999999998,1,0.6
16,organization,-3.19032,1,0.6
17,sustainability,-3.20606,1,0.6
18,use,-3.2197199999999997,1,0.6
19,news,-3.2615000000000003,1,0.6
20,marseille,-2.0997399999999997,2,0.6
21,european,-2.10852,2,0.6
22,france,-2.12058,2,0.6
23,french,-2.2116999999999996,2,0.6
24,europe,-2.40896,2,0.6
25,nordic_council,-2.4594,2,0.6
26,denmark,-2.50164,2,0.6
27,nordic,-2.50422,2,0.6
28,german,-2.5076,2,0.6
29,barcelona,-2.5585199999999997,2,0.6
30,city,-2.5908800000000003,2,0.6
31,council,-2.64526,2,0.6
32,member,-2.66844,2,0.6
33,language,-2.71958,2,0.6
34,region,-2.73958,2,0.6
35,mediterranean,-2.77078,2,0.6
36,union,-2.83644,2,0.6
37,association,-2.8753399999999996,2,0.6
38,danish,-2.87932,2,0.6
39,municipality,-2.8892,2,0.6
40,organization,-2.52332,3,0.6
41,world,-2.5235,3,0.6
42,development,-2.54736,3,0.6
43,international,-2.55536,3,0.6
44,people,-2.9041,3,0.6
45,africa,-2.91342,3,0.6
46,country,-2.9158800000000005,3,0.6
47,youth,-2.9520399999999998,3,0.6
48,water,-2.9623,3,0.6
49,work,-2.96574,3,0.6
50,community,-2.9853199999999998,3,0.6
51,member,-3.03754,3,0.6
52,woman,-3.0391799999999995,3,0.6
53,global,-3.1032800000000003,3,0.6
54,scout,-3.120539999999999,3,0.6
55,social,-3.15788,3,0.6
56,news,-3.19026,3,0.6
57,project,-3.1968,3,0.6
58,support,-3.20668,3,0.6
59,policy,-3.2251199999999995,3,0.6
60,university,-1.8401,4,0.6
61,student,-2.15228,4,0.6
62,school,-2.4931,4,0.6
63,campus,-2.5836799999999998,4,0.6
64,college,-2.60262,4,0.6
65,research,-2.6947999999999994,4,0.6
66,faculty,-2.7862799999999996,4,0.6
67,study,-2.80844,4,0.6
68,science,-2.90306,4,0.6
69,program,-2.90574,4,0.6
70,yale,-2.92544,4,0.6
71,education,-2.97834,4,0.6
72,academic,-3.0181999999999998,4,0.6
73,new,-3.07102,4,0.6
74,city,-3.09758,4,0.6
75,graduate,-3.1310599999999997,4,0.6
76,first,-3.1523000000000003,4,0.6
77,course,-3.1820199999999996,4,0.6
78,center,-3.18212,4,0.6
79,degree,-3.2255799999999994,4,0.6
