,word,score,topic,chosen_lambda
0,climate,-4.2221,1,1
1,energy,-4.2887,1,1
2,project,-4.9926,1,1
3,environmental,-5.0489,1,1
4,policy,-5.1008,1,1
5,change,-5.1471,1,1
6,research,-5.286,1,1
7,organization,-5.3244,1,1
8,work,-5.35,1,1
9,sustainable,-5.4272,1,1
10,global,-5.4697,1,1
11,report,-5.4896,1,1
12,world,-5.4991,1,1
13,member,-5.5124,1,1
14,news,-5.5377,1,1
15,development,-5.5497,1,1
16,business,-5.5668,1,1
17,environment,-5.6133,1,1
18,use,-5.6382,1,1
19,program,-5.6488,1,1
20,european,-4.7946,2,1
21,member,-4.8966,2,1
22,france,-4.9549,2,1
23,city,-5.0544,2,1
24,europe,-5.1184,2,1
25,french,-5.1495,2,1
26,council,-5.1727,2,1
27,marseille,-5.2253,2,1
28,association,-5.4097,2,1
29,region,-5.4267,2,1
30,international,-5.4327,2,1
31,water,-5.458,2,1
32,german,-5.4764,2,1
33,language,-5.4969,2,1
34,world,-5.5449,2,1
35,union,-5.6622,2,1
36,country,-5.6734,2,1
37,denmark,-5.7112,2,1
38,english,-5.7826,2,1
39,nordic_council,-5.8268,2,1
40,world,-4.5947,3,1
41,organization,-4.6574,3,1
42,international,-4.6876,3,1
43,development,-4.7296,3,1
44,work,-5.1899,3,1
45,member,-5.2657,3,1
46,people,-5.3063,3,1
47,country,-5.312,3,1
48,water,-5.3121,3,1
49,community,-5.3408,3,1
50,project,-5.4088,3,1
51,global,-5.4218,3,1
52,program,-5.4333,3,1
53,policy,-5.4594,3,1
54,news,-5.4665,3,1
55,africa,-5.5999,3,1
56,support,-5.618,3,1
57,sustainable,-5.6283,3,1
58,social,-5.6616,3,1
59,resource,-5.7235,3,1
60,university,-3.8997,4,1
61,student,-4.428,4,1
62,research,-4.8504,4,1
63,school,-4.9645,4,1
64,program,-5.0909,4,1
65,campus,-5.1508,4,1
66,college,-5.1857,4,1
67,study,-5.336,4,1
68,new,-5.4009,4,1
69,science,-5.4215,4,1
70,education,-5.4579,4,1
71,faculty,-5.4918,4,1
72,city,-5.5611,4,1
73,world,-5.6535,4,1
74,yale,-5.666,4,1
75,year,-5.6868,4,1
76,center,-5.6924,4,1
77,first,-5.7327,4,1
78,health,-5.7594,4,1
79,academic,-5.7996,4,1
