,word,frequency
0,we,8705
1,new,4944
2,use,4432
3,see,3823
4,one,2964
5,law,2553
6,us,2170
7,get,1931
8,job,1910
9,th,1857
10,day,1747
11,org,1721
12,top,1626
13,key,1432
14,map,1407
15,way,1388
16,co,1346
17,ngo,1280
18,art,1268
19,act,1229
20,go,1214
21,two,1200
22,log,1197
23,non,1106
24,aim,1070
25,add,943
26,set,941
27,gas,934
28,end,869
29,say,868
30,uk,859
31,inc,786
32,faq,768
33,web,760
34,aid,755
35,dr,744
36,oil,742
37,st,713
38,cop,678
39,usa,644
40,com,636
41,hub,556
42,old,554
43,pay,508
44,ph,496
45,ceo,480
46,run,478
47,low,474
48,big,471
49,due,467
50,net,451
51,air,449
52,eco,449
53,mr,431
54,aug,418
55,tax,403
56,km,372
57,via,368
58,uia,361
59,pdf,359
60,ca,357
61,fee,356
62,d,352
63,per,349
64,cat,340
65,age,338
66,car,327
67,pm,323
68,put,322
69,do,321
70,sdg,313
71,etc,312
72,nt,308
73,s,307
74,six,306
75,lab,299
76,cut,299
77,rd,295
78,box,291
79,app,291
80,sep,290
81,tel,288
82,ii,287
83,sq,284
84,ask,273
85,jul,267
86,yet,259
87,sub,256
88,fr,256
89,ten,241
90,nd,232
91,rio,232
92,i,231
93,try,230
94,sme,228
95,you,226
96,pre,225
97,tag,216
98,let,214
99,iso,214
100,gov,207
101,ms,206
102,mc,200
103,man,200
104,bio,199
105,god,198
106,far,197
107,ny,193
108,gen,193
109,san,192
110,utc,191
111,buy,190
112,mid,189
113,ad,189
114,tip,183
115,pro,180
116,gap,179
117,red,178
118,cc,174
119,tv,171
120,bar,171
121,iu,160
122,sun,159
123,opt,159
124,icc,159
125,acp,157
126,yes,157
127,oct,156
128,jun,156
129,lie,154
130,vte,153
131,win,153
132,uic,153
133,pa,152
134,kid,151
135,can,151
136,cta,149
137,re,149
138,ltd,149
139,edu,148
140,arm,146
141,iba,145
142,dry,143
143,jan,143
144,not,142
145,apr,141
146,ghg,141
147,epa,139
148,mar,139
149,bad,138
150,ed,135
151,url,130
152,fit,130
153,nov,129
154,van,129
155,fur,129
156,aer,129
157,slu,127
158,rss,124
159,wma,124
160,eli,124
161,bay,122
162,dec,121
163,cii,121
164,li,121
165,sit,119
166,own,118
167,gmb,118
168,iii,117
169,bus,117
170,lot,117
171,asu,116
172,hr,115
173,ccs,115
174,feb,115
175,bsr,115
176,wwf,114
177,ice,114
178,rue,113
179,na,113
180,eit,113
181,ev,113
182,ida,113
183,di,111
184,pam,111
185,uc,110
186,rep,108
187,hit,108
188,中文,105
189,mba,105
190,md,105
191,pt,103
192,ec,102
193,gdp,102
194,bc,102
195,kic,102
196,gwp,101
197,tie,100
198,fsc,100
199,ac,98
200,isa,98
201,eac,97
202,itf,97
203,fgv,97
204,cap,96
205,ert,96
206,sci,95
207,uua,95
208,ict,94
209,mix,94
210,af,93
211,eat,93
212,dc,93
213,ago,90
214,fax,89
215,hot,89
216,wcc,89
217,irs,88
218,ok,86
219,ise,86
220,fix,84
221,cn,84
222,pan,83
223,war,83
224,uf,83
225,edf,83
226,igu,83
227,fy,82
228,_,82
229,aaa,82
230,ba,82
231,lay,82
232,ll,82
233,gec,82
234,ban,81
235,kit,81
236,pl,80
237,cbd,80
238,gcf,80
239,hrc,80
240,lee,79
241,ri,79
