,word,frequency
0,etc,321
1,yes,139
2,menu,81
3,i.e.,44
4,vs.,40
5,pro,40
6,recherche,33
7,facto,31
8,videos,31
9,bono,24
10,vte,22
11,map,20
12,español,19
13,van,19
14,.the,18
15,youll,17
16,passe,17
17,leau,16
18,lenvironnement,15
19,desarrollo,13
20,e.g,13
21,mines,13
22,luniversité,13
23,non,12
24,latin,12
25,e.g.,12
26,leurope,12
27,etc.,11
28,versie,10
29,admin,10
30,más,10
31,+91,10
32,salud,9
33,rue,9
34,biodiversité,9
35,republika,9
36,.this,9
37,vida,9
38,verschenken,9
39,trabajo,8
40,lutte,8
41,officio,8
42,type,8
43,ville,8
44,website,7
45,organizaciones,7
46,marco,7
47,ecozystems,7
48,vie,7
49,nav,7
50,linstitut,7
51,tierra,7
52,conservación,7
53,join,7
54,está,6
55,financiamiento,6
56,programas,6
57,apoyo,6
58,souvenir,6
59,développement,6
60,servicios,6
61,عربي,6
62,doesnt,6
63,vue,6
64,investigación,6
65,lain,6
66,valoda,6
67,privacidad,6
68,mujeres,6
69,oops,6
70,economía,6
71,vinna,6
72,bois,5
73,données,5
74,comercio,5
75,información,5
76,oficial,5
77,empresas,5
78,derechos,5
79,commune,5
80,santé,5
81,matière,5
82,volunteer,5
83,droit,5
84,delle,5
85,say,5
86,avg,5
87,+/_layouts/hold.aspx,5
88,+/_layouts/reporting.aspx,5
89,+/_layouts/expirationconfig.aspx,5
90,visit,5
91,expert,5
92,gestión,5
93,manejo,5
94,fonctionnalité,5
95,tierras,5
96,agosto,5
97,loieau,5
98,internationale,5
99,pesquisa,5
100,avenue,4
101,valeur,4
102,uso,4
103,seguridad,4
104,gmail.com,4
105,video,4
106,suivi,4
107,intégré,4
108,lautorité,4
109,servicio,4
110,demanda,4
111,energía,4
112,+45,4
113,overall,4
114,dei,4
115,gemeinnützige,4
116,eius,4
117,prensa,4
118,klimabuendnis.at,4
119,masse,4
120,welcome,4
121,global,4
122,sociedad,4
123,recursos,4
124,lindustrie,4
125,página,4
126,mercado,4
127,basin,4
128,libros,4
129,mundo,4
130,staff,4
131,iclei.org,4
132,viverra,4
133,nisi,4
